issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,7,whether or not,"... skills to negotiate a creative future, **whether or not** they continue to study Art and Design.<...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'whether or not' is a standard and grammatically correct idiom in British English.
1,13,or,...niques that they are knowledgeable about** or** they might be delivered by outside agen...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,A comma before 'or' separating two independent clauses would improve readability but its omission does not create ambiguity.
2,16,drawingdrawing,"...could be considered, for example:figure **drawingdrawing** from a musical sourcemachine drawing Co...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This appears to be an OCR error where the word 'drawing' was duplicated during text extraction.
3,16,sourcemachine,...le:figure drawingdrawing from a musical **sourcemachine** drawing Colossal articledigital drawing...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where two distinct words, 'source' and 'machine', have been merged."
4,16,articledigital,... musical sourcemachine drawing Colossal **articledigital** drawingworking drawingsfound drawings |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where two distinct words, 'article' and 'digital', have been merged."
5,16,drawingworking,...machine drawing Colossal articledigital **drawingworking** drawingsfound drawings |               ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where two distinct words, 'drawing' and 'working', have been merged."
6,16,drawingsfound,... Colossal articledigital drawingworking **drawingsfound** drawings |                             ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where two distinct words, 'drawings' and 'found', have been merged."
7,16,outside of,...ers' work. Many learners have interests **outside of** the classroom into which they can be im...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'outside of' is a grammatically acceptable and common idiom in British English.
8,16,and,...ey can be immersed for their Unit 1 work** and** it might be in the skill of the teacher...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,A comma before 'and' separating two independent clauses would improve readability but its omission does not create ambiguity.
9,19,two dimensional,... across Pathways and provision made for **two dimensional** as well as three dimensional work shoul...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Two-dimensional' should be hyphenated as a compound adjective modifying 'work' in British English.
