issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,0,and design,"The GCSE Art and Design qualification is available in the following pathways: - Art, craft, **and design** - Fine art - Graphic communication",ErrorCategory.CONSISTENCY_ERROR,90,"The serial comma is used here ('craft, and design') but omitted in other similar lists within the document, creating an inconsistency. British English generally prefers to omit it."
1,0,'big ideas',The ESA contains five overarching **'big ideas'**. You must choose one big idea and use given stimuli as a starting point to inform your work.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'big ideas' is introduced in single quotes but then used without quotes immediately after, creating an inconsistency in terminology presentation."
2,0,during a during a,You will undertake contextual and practical research and supporting studies **during a during a** 10-hour 'sustained focus' period.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The phrase 'during a' is repeated consecutively, which is a grammatical error."
3,0,understand about,You will also learn and **understand about** working independently (with teacher support) to develop your own ideas and to meet deadlines set for your work.,ErrorCategory.STYLISTIC_PREFERENCE,85,The word 'about' is superfluous after 'understand' in this context; 'understand working independently' or 'understand how to work independently' would be more concise and professional.
4,0,Film researcher,"Advertising, Animator, Architect, Art Therapist, Book Designer, Cartoonist, Ceramicist, Cinematographer, Costume Designer, Digital Artist, Exhibition Designer, Furniture Designer, Fashion Designer, Fine Artist, **Film researcher**, Food Stylist, Graphic Artist, Game Designer, Interior Designer, Illustrator, Jewellery Designer, Knitwear designer, Landscape Architect, Lighting Designer, Make-up artist, Medical Illustrator, Model Maker, Muralist, Product Designer, Photographer, Potter, Puppet Maker, Printmaker, Production Designer, Sculptor, Silversmith, Special Effects Artist, Stained Glass Artist, Tattoo Artist, Teacher, Theatre Designer, TV Director, Textile Designer, Typographer, Urban Designer, Video artist.",ErrorCategory.CONSISTENCY_ERROR,95,"The job title 'Film researcher' is not capitalised consistently with other job titles in the list (e.g., 'Book Designer', 'Food Stylist')."
5,0,Knitwear designer,"Advertising, Animator, Architect, Art Therapist, Book Designer, Cartoonist, Ceramicist, Cinematographer, Costume Designer, Digital Artist, Exhibition Designer, Furniture Designer, Fashion Designer, Fine Artist, Film researcher, Food Stylist, Graphic Artist, Game Designer, Interior Designer, Illustrator, Jewellery Designer, **Knitwear designer**, Landscape Architect, Lighting Designer, Make-up artist, Medical Illustrator, Model Maker, Muralist, Product Designer, Photographer, Potter, Puppet Maker, Printmaker, Production Designer, Sculptor, Silversmith, Special Effects Artist, Stained Glass Artist, Tattoo Artist, Teacher, Theatre Designer, TV Director, Textile Designer, Typographer, Urban Designer, Video artist.",ErrorCategory.CONSISTENCY_ERROR,95,"The job title 'Knitwear designer' is not capitalised consistently with other job titles in the list (e.g., 'Book Designer', 'Fashion Designer')."
6,0,Make-up artist,"Advertising, Animator, Architect, Art Therapist, Book Designer, Cartoonist, Ceramicist, Cinematographer, Costume Designer, Digital Artist, Exhibition Designer, Furniture Designer, Fashion Designer, Fine Artist, Film researcher, Food Stylist, Graphic Artist, Game Designer, Interior Designer, Illustrator, Jewellery Designer, Knitwear designer, Landscape Architect, Lighting Designer, **Make-up artist**, Medical Illustrator, Model Maker, Muralist, Product Designer, Photographer, Potter, Puppet Maker, Printmaker, Production Designer, Sculptor, Silversmith, Special Effects Artist, Stained Glass Artist, Tattoo Artist, Teacher, Theatre Designer, TV Director, Textile Designer, Typographer, Urban Designer, Video artist.",ErrorCategory.CONSISTENCY_ERROR,95,"The job title 'Make-up artist' is not capitalised consistently with other job titles in the list (e.g., 'Book Designer', 'Fashion Designer')."
7,0,Video artist,"Advertising, Animator, Architect, Art Therapist, Book Designer, Cartoonist, Ceramicist, Cinematographer, Costume Designer, Digital Artist, Exhibition Designer, Furniture Designer, Fashion Designer, Fine Artist, Film researcher, Food Stylist, Graphic Artist, Game Designer, Interior Designer, Illustrator, Jewellery Designer, Knitwear designer, Landscape Architect, Lighting Designer, Make-up artist, Medical Illustrator, Model Maker, Muralist, Product Designer, Photographer, Potter, Puppet Maker, Printmaker, Production Designer, Sculptor, Silversmith, Special Effects Artist, Stained Glass Artist, Tattoo Artist, Teacher, Theatre Designer, TV Director, Textile Designer, Typographer, Urban Designer, **Video artist**.",ErrorCategory.CONSISTENCY_ERROR,95,"The job title 'Video artist' is not capitalised consistently with other job titles in the list (e.g., 'Book Designer', 'Fashion Designer')."
8,0,-TALK,FIND OUT MORE **-TALK** TO YOUR TEACHER TODAY!,ErrorCategory.STYLISTIC_PREFERENCE,80,"There should be a space after the dash for improved readability and correct punctuation, especially when separating two distinct phrases or commands."
9,1,Film researcher,"Fashion Designer, Fine Artist, **Film researcher**, Food Stylist, Graphic Artist, Game Designer, Interior Designer, Illustrator, Jewellery Designer, Knitwear designer, Landscape Architect, Lighting Designer, Make-up artist, Medical Illustrator, Model Maker, Muralist, Product Designer, Photographer, Potter, Puppet Maker, Printmaker, Production Designer, Sculptor, Silversmith, Special Effects Artist, Stained Glass Artist, Tattoo Artist, Teacher, Theatre Designer, TV Director, Textile Designer, Typographer, Urban Designer, Video artist.",ErrorCategory.CONSISTENCY_ERROR,90,Job title 'Film researcher' should be capitalised as 'Film Researcher' for consistency with other job titles in the list.
