issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,starting point,"through a sustained project demonstrating development, refinement, reflection and presentation
- that is internally set, in consultation with the teacher from personal and/or given **starting point**
- based on a theme, concept or specific design brief.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The singular 'starting point' does not grammatically agree with 'personal and/or given'; it should be 'starting points' or 'a personal and/or given starting point'.
1,4,in order to secure,Teachers can review learners' work and provide oral and written advice at a general level **in order to secure** a functional outcome.,ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrase 'in order to' can be concisely replaced with 'to' without altering the meaning, improving flow."
2,4,and/preparatory,"The centre must ensure that the work a learner submits for assessment is their own.

Learners can have access to resources **and/preparatory** notes.",ErrorCategory.SPELLING_ERROR,98,This appears to be a typographical error; it should be 'and/or preparatory notes'.
3,4,study The,It is recommended that portfolio work should begin during the spring or summer term in the first year of **study The** portfolio must be completed before Unit 2 (Externally Set Assignment) is released to learners in the spring term of the final year of study.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,99,"A full stop is missing after 'study', creating a run-on sentence."
4,4,Candidates work,"The portfolio must be completed before Unit 2 (Externally Set Assignment) is released to learners in the spring term of the final year of study. **Candidates work** should be stored securely after submission and during the marking, moderation and review periods. Candidates work should not be released until the Review of Marking and Moderation period has expired.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,99,The phrase 'Candidates work' should be 'Candidates' work' to indicate possession.
5,4,Candidates work,"Candidates work should be stored securely after submission and during the marking, moderation and review periods. **Candidates work** should not be released until the Review of Marking and Moderation period has expired.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,99,The phrase 'Candidates work' should be 'Candidates' work' to indicate possession.
6,7,and/preparatory,"The teacher cannot provide any advice or feedback on learners' work.
Learners can have access to resources **and/preparatory** notes produced in Part 1 only.
Learners have a maximum of 10 hours to produce their outcome, which must begin with a minimum 2-hour session.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The conjunction 'and/preparatory' is grammatically incorrect; it should be 'and/or preparatory' to indicate a choice between resources and preparatory notes.
7,8,Unit 1 The distribution,"# <span id=""page-8-1""></span>**Unit 1 The distribution** of the assessment objectives for this unit is:

| AO1 | AO2 | AO3 | AO4 | Total |
|-----|-----|-----|-----|-------|",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The heading 'Unit 1' is immediately followed by a descriptive sentence without any punctuation (e.g., a colon or full stop) to separate them, creating a run-on."
8,8,Unit 2 The distribution,"#### <span id=""page-8-2""></span>**Unit 2 The distribution** of the assessment objectives for this unit is:

| AO1 | AO2 | AO3 | AO4 | Total |
|-----|-----|-----|-----|-------|",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The heading 'Unit 2' is immediately followed by a descriptive sentence without any punctuation (e.g., a colon or full stop) to separate them, creating a run-on."
9,9,Materials(SAMs),"Assessment Pack this contains the Sample Assessment **Materials(SAMs)** i.e.: sample exam papers and sample NEA tasks, relevant controls for the NEA and, mark schemes",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is required between 'Materials' and the opening parenthesis for readability.
