issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Unit 1 Portfolio,"This pack contains the assessment materials for Unit 1: Portfolio.

Within this pack, you will find:

- information for teachers on how to manage arrangements for assessment
- a mark record sheet
- a **candidate pack** which includes:
  - details of the assignment
  - a detailed breakdown of each task
  - information for candidates, which tells candidates about things that they must and must not do when they are completing the assessment
  - the mark scheme which must be used to assess candidate work
  - a Candidate Declaration Form

#### **You must provide each candidate with a copy of the complete candidate assessment pack.**

# <span id=""page-3-1""></span>Managing the assessment

This is a centre-marked (internal) non-examination assessment. The following arrangements must be followed when managing and marking the assessment

#### **Time**

There are no set timings for **Unit 1 Portfolio**, but centres are encouraged to follow the suggested framework in the specification to ensure that time for learners is manageable.",ErrorCategory.CONSISTENCY_ERROR,95,The unit name is inconsistently presented as 'Unit 1: Portfolio' and 'Unit 1 Portfolio' within the same document.
1,4,is summarised,"#### **Candidate evidence**

The acceptable formats for evidence of each of the tasks **is summarised** in the task tables. Any modified assessment must enable the candidate to generate the evidence required in this table",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Subject-verb agreement error: 'formats' is plural, so the verb should be 'are summarised'."
2,4,authentic; reliable,"- they are clear about the requirements of the assessment and marking scheme prior to commencing assessment
- evidence presented for assessment is valid, **authentic; reliable** and credible
- assessment decisions are accurately recorded",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The semicolon is used incorrectly in a simple list of adjectives; commas should be used for consistency (e.g., 'valid, authentic, reliable, and credible')."
3,6,of the spring term,"It is recommended that portfolio work should begin during the spring or summer term in the first year of study, and end before Unit 2 (Externally Set Assignment) is released to learners **of the spring term** of final year of study.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The preposition 'of' is incorrect here; 'in' or 'by' would be more appropriate to indicate the timing of the release.
4,8,however;,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however;** the use of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice. A semicolon should precede 'however' when it introduces an independent clause, and 'however' should be followed by a comma."
5,8,look at and make notes about the candidate's response holistically to pick out,An assessor should first **look at and make notes about the candidate's response holistically to pick out** the evidence that is being assessed.,ErrorCategory.STYLISTIC_PREFERENCE,75,"The phrasing is somewhat awkward and could be rephrased for better flow and conciseness, e.g., 'holistically review the candidate's response and make notes to identify'."
6,8,Assessors,"Beginning at the lowest band, **Assessors** should look at the candidate's response and check whether it matches the descriptors for that band.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Assessors' is inconsistently capitalised; it appears in lowercase earlier in the document (e.g., 'Guidance for Assessors')."
7,9,is appropriate,"Assessors are reminded of the need to revisit the standardising material as they apply the mark scheme in order to confirm that the band and the mark allocated **is appropriate** to the work submitted.

Candidates are free to choose any approach that is relevant to the set task.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The compound subject 'the band and the mark allocated' is plural, requiring the verb 'are' instead of 'is'."
8,10,processes are that confidently controlled,"Ideas are refined and explored through relevant selection and creative experimentation. Effective use of media, materials, techniques and **processes are that confidently controlled** and exploited. Effective and thorough ongoing review and evaluation informs the refinement and development of work as it progresses.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrasing 'processes are that confidently controlled' is ungrammatical; it should be 'processes that are confidently controlled'.
9,11,processes are reasonably controlled,"Ideas are refined and explored through relevant selection and experimentation. Appropriate use of media, materials, techniques and **processes are reasonably controlled** and exploited. Reasonable ongoing review and evaluation of explorations supports the refinement and development of work as it progresses.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'Appropriate use' is singular, requiring the verb 'is' instead of 'are'. Alternatively, it could be 'processes that are reasonably controlled'."
