issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,GCSF,"GCSE Computer Science                                            |
GCSF **The** Sciences (Double)                                       | 22        |",ErrorCategory.SPELLING_ERROR,98,"The acronym 'GCSF' is likely a typographical error and should be 'GCSE', consistent with all other qualification titles in the document."
1,2,have decided,Qualifications Wales **have decided** that these qualifications will be introduced in a phased way; WJEC is now developing the qualifications that are to be available for first teaching from September 2025 to meet these requirements.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"'Qualifications Wales' is a singular entity (an organisation), and therefore requires the singular verb 'has decided' for subject-verb agreement."
2,3,nonexamination,This was particularly prevalent in qualifications where the **nonexamination** assessment is either new or significantly increased.,ErrorCategory.SPELLING_ERROR,95,The compound word 'non-examination' requires a hyphen in British English.
3,3,wellbeing,"A notable area of concern in consultation responses and discussions with stakeholder groups links to learners undertaking non-examination assessment across a number of subjects, and the potential negative impact this could have on learner **wellbeing**.",ErrorCategory.CONSISTENCY_ERROR,85,"The term 'well-being' is hyphenated elsewhere in the document (page 4), so it should be consistent for clarity and adherence to common British English usage."
4,4,nonexamination,"Some stakeholders felt that **nonexamination** assessment can further disadvantage some learners, for example, those who do not have support or access to adequate resources at home.",ErrorCategory.SPELLING_ERROR,95,The compound word 'non-examination' requires a hyphen in British English.
5,4,maximalise,"However, one stakeholder group had a different view on what impacted equity, requesting that the GCSEs have a range of assessment methods, focusing on competency-based continuous assessment methods, rather than coursework or mini-tests, to **maximalise** equity.",ErrorCategory.SPELLING_ERROR,95,'Maximalise' is not a standard British English word; 'maximise' is the correct term.
6,4,Qualification Wales,"When we submit our qualifications to **Qualification Wales** for approval, we must stipulate how we have managed the balance of manageability, engagement, reliability and validity.",ErrorCategory.CONSISTENCY_ERROR,95,"The official name 'Qualifications Wales' is used consistently throughout the document, except for this instance, indicating an inconsistency."
7,5,first first place,"While some positive comments were made around digital submission where learner work has been produced digitally, respondents expressed a concern linked to teacher workload and centre manageability where the infrastructure isn't available to schools to enable the work to be produced digitally by learners in the **first first place**.",ErrorCategory.SPELLING_ERROR,98,The repetition of 'first' is a typographical error; it should be 'first place'.
8,5,nonexamination,"Where this is the case, scanning and uploading of **nonexamination** assessment could be time-consuming, particularly when considering the scale of non-examination assessment across the suite of qualifications.",ErrorCategory.SPELLING_ERROR,95,The compound word 'non-examination' requires a hyphen in British English.
9,5,re-sits,"A number of Further Education providers raised concerns around **re-sits**, with particular concerns relating to Mathematics and Numeracy, and English Language and Literature.",ErrorCategory.STYLISTIC_PREFERENCE,80,"'Resits' is generally preferred as a single word in British English, especially in an educational context, over the hyphenated 're-sits'."
10,6,does not refer,"However, we have reviewed our use of concepts across the outlines and in some cases, where the word does not add value or the Approval Criteria **does not refer** to concepts, we have removed the references.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The noun 'Criteria' is plural, so the verb should be 'do not refer' to maintain subject-verb agreement."
11,7,on or volume of work,"A couple of respondents proposed setting limits on the time spent **on or volume of work** to be submitted for the portfolio; however, after consulting further with stakeholders via our Development Advisory Group, we have decided not to proceed with this but to retain the current flexibility.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The preposition 'on' applies to 'time spent' but not grammatically to 'volume of work'; the phrasing creates an awkward construction. It should be 'on the time spent or the volume of work'.
12,8,marks*.,"The Approval Criteria note that as part of the devising unit, learners must submit a reflective log in a non-prescribed format; this will be compulsory to access the full range of **marks*.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The asterisk is an extraneous character and incorrect punctuation at the end of the sentence.
13,8,states that,The Approval Criteria **states that** 30% of the qualification must be assessed by external examination which must include questions on unprepared works.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The noun 'Criteria' is plural, so the verb should be 'state' to maintain subject-verb agreement."
14,8,anytime,stipulating that both the performing and composing units could be assessed **anytime** during the course,ErrorCategory.STYLISTIC_PREFERENCE,80,"In formal British English, 'at any time' or 'any time' (two words) is generally preferred over the single word 'anytime'."
15,9,that the assessment approach is appropriate,"Respondents generally agreed or partially agreed that the proposed assessment approach is appropriate, that the unit purposes are appropriate and engaging for learners and meet the qualification purpose and aims, and **that the assessment approach is appropriate**.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrase 'that the assessment approach is appropriate' is repeated unnecessarily, making the sentence clunky and redundant."
16,9,stated as,"Some respondents felt that Unit 4 would be more appropriately **stated as** a synoptic unit. Consequently, we have updated the outline to reflect this.",ErrorCategory.STYLISTIC_PREFERENCE,70,'Stated as' is slightly awkward phrasing; 'described as' or 'more appropriate as' would improve flow.
