issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,portance,...----  |        | environment.         | **portance** of the circ | cular economy to t | ousi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'importance' is split and missing its initial 'im' due to a parsing error.
1,6,circ,... environment.         | portance of the **circ** | cular economy to t | ousinesses and t...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'circular' is incorrectly split across table cells due to a parsing error.
2,6,cular,...nment.         | portance of the circ | **cular** economy to t | ousinesses and the | [4]...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'circular' is incorrectly split across table cells due to a parsing error.
3,6,ousinesses,...ance of the circ | cular economy to t | **ousinesses** and the | [4]   | |--------|-----------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'businesses' is missing its initial 'b' and merged with 'to' due to a parsing error.
4,6,cate,...     |                    |       | | \ **cate** | sold the follo       | wing products ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'cafe' is incorrectly split and preceded by a parsing artifact.
5,6,follo,...          |       | | \ cate | sold the **follo**       | wing products last v | week:   ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'following' is incorrectly split across table cells due to a parsing error.
6,6,Produ,...       |                    |       | | **Produ**  | ucts                 | Quantity sold...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Products' is incorrectly split across table cells due to a parsing error.
7,6,ucts,...                   |       | | Produ  | **ucts**                 | Quantity sold        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Products' is incorrectly split across table cells due to a parsing error.
8,6,neals,...                   |       | | Hot m  | **neals**                | 420                  |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'meals' is incorrectly split from 'Hot' across table cells due to a parsing error.
9,6,wiches,...                   |       | | Sand   | **wiches**               | 265                  | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'sandwiches' is incorrectly split from 'Sand' across table cells due to a parsing error.
10,8,onl,...reers advice and guidance. | [1] | Exam **onl** | |----|-----|-------------------------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'onl' is a truncation of 'only', likely due to a parsing error during conversion."
11,8,bloyers,...althcare sector were two of the largest **bloyers** of people in Wales. |     |            ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The word 'bloyers' is a misspelling of 'employers'.
12,9,ra,...---------------------  | 10. | Amar   | **ra** produces wood blanket boxes from her ga...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'ra' is part of the name 'Amara', which has been incorrectly split due to a parsing error."
13,9,fi,...--------------------|-----| |     | Her **fi** | ixed costs are £4000 per year.       ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'fi' is part of the word 'fixed', which has been incorrectly split due to a parsing error."
14,9,ixed,...---------------|-----| |     | Her fi | **ixed** costs are £4000 per year.              ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'ixed' is part of the word 'fixed', which has been incorrectly split due to a parsing error."
15,9,Shes,...                        |     | |     | **Shes**   | sells the blanket boxes for £200 ea...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Shes' is a misspelling; it should be 'She' as the subject of the verb 'sells'.
16,10,1998,"...uses, began in 1971 in Seattle, USA. In **1998** it opened its first coffeehouse in the ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'1998' is a correctly written year and not an error.
17,12,and,"...omers.  Demand for the gym has increased** and** the gym is often full, with all the fit...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"The omission of a comma before 'and' connecting two independent clauses is a stylistic choice, not an absolute grammatical error."
18,21,cafe,...  |                                 | A **cafe** sold the following products last week: ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While 'café' with an accent is often preferred in formal UK English, 'cafe' without the accent is also widely accepted and not strictly incorrect."
19,22,buy one get one,...s could be a pricing strategy such as a **buy one get one** free (BOGOF) offer. Credit any other va...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"The phrase 'buy one get one free' is acceptable as written, but hyphenating it as a compound adjective ('buy-one-get-one-free') would improve clarity and formality."
20,22,so,...lent refund policies and loyalty schemes** so** customers are rewarded and feel valued....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The use of 'so' as a conjunction to introduce a clause of purpose or result is grammatically correct in this context.
21,22,instore,"...d. - Customers are able to buy products **instore**, online, or through an app so that it i...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"In UK English, 'in store' should be written as two words when used adverbially, or hyphenated as 'in-store' if used as an adjective."
22,27,1998,"...uses, began in 1971 in Seattle, USA. In **1998** it opened its first coffeehouse in the ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The year '1998' is correctly written and does not require any modification.
23,29,and,"...omers.  Demand for the gym has increased** and** the gym is often full, with all the fit...",PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,80,A comma should be placed before the coordinating conjunction 'and' when it connects two independent clauses to improve clarity.
