issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,Sopright,...mple not for use with live assessments  **Sopright**  WEE  © WJEC CBAC Limited 2024.  {4}---...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR error; 'Sopright' should be 'Copyright' given the context of the copyright notice.
1,5,assessmentthere,...t:<br>all candidates participate in the **assessmentthere** is sufficient supervision to ensure tha...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'assessment' and 'there' have been merged due to a PDF parsing error.
2,5,authenticatedthe,... supervision to ensure that work can be **authenticatedthe** work an individual candidate submits fo...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'authenticated' and 'the' have been merged due to a PDF parsing error.
3,5,outside of,...cess evidence they have been developing **outside of** supervised activities.  #### **Authenti...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Outside of' is a grammatically acceptable and common idiom in British English.
4,7,hand written,"...ust be submitted digitally (they may be **hand written** and scanned, or completed digitally).  ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Hand-written' should be hyphenated as it functions as a compound adjective.
5,10,independently from,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Independently from' is a grammatically acceptable phrasing.
6,21,selecteda,...ates:<br>appropriate and effective data **selecteda** wide range of appropriate data presente...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'selected' and 'a' have been merged due to a PDF parsing error.
7,21,presenteda,...electeda wide range of appropriate data **presenteda** highly organised layout which is very e...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'presented' and 'a' have been merged due to a PDF parsing error.
8,21,selecteda,...which demonstrates:<br>appropriate data **selecteda** range of appropriate data presentedan o...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'selected' and 'a' have been merged due to a PDF parsing error.
9,21,presentedan,...ata selecteda range of appropriate data **presentedan** organised layout which is easy to under...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'presented' and 'an' have been merged due to a PDF parsing error.
10,21,selectedsome,...tation which demonstrates:<br>some data **selectedsome** appropriate data presentedsome elements...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'selected' and 'some' are merged due to a PDF-to-text conversion artifact.
11,21,presentedsome,...some data selectedsome appropriate data **presentedsome** elements of the layout are disorganised...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'presented' and 'some' are merged due to a PDF-to-text conversion artifact.
12,21,selectedminimal,...ion which demonstrates:<br>minimal data **selectedminimal** data presenteda lack of organisation.  ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'selected' and 'minimal' are merged due to a PDF-to-text conversion artifact.
13,21,presenteda,...s:<br>minimal data selectedminimal data **presenteda** lack of organisation.                  ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'presented' and 'a' are merged due to a PDF-to-text conversion artifact.
14,25,societyarguments,...ysis of how the chosen business impacts **societyarguments** which evaluate a range of impacts that ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'society' and 'arguments' are merged due to a PDF-to-text conversion artifact.
15,25,one-sidedsome,...ch evaluate a range of impacts that are **one-sidedsome** judgements made but may not be supporte...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'one-sided' and 'some' are merged due to a PDF-to-text conversion artifact.
16,25,societya,...ysis of how the chosen business impacts **societya** limited number of impactsfew judgements...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'society' and 'a' are merged due to a PDF-to-text conversion artifact.
17,25,impactsfew,...ness impacts societya limited number of **impactsfew** judgements which lack support or no use...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'impacts' and 'few' are merged due to a PDF-to-text conversion artifact.
18,30,businesswell-developed,...impact of technology used by the chosen **businesswell-developed** and balanced arguments which evaluate a...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'business' and 'well-developed' are merged due to a PDF-to-text conversion artifact.
19,30,impactsfully,...rguments which evaluate a wide range of **impactsfully** considered judgements that are effectiv...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'impacts' and 'fully' are merged due to a PDF-to-text conversion artifact.
20,30,businessbalanced,...impact of technology used by the chosen **businessbalanced** arguments which evaluate a range of imp...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'business' and 'balanced' have been incorrectly merged during PDF extraction.
21,30,impactsa,...ced arguments which evaluate a range of **impactsa** well-developed argument which evaluate ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'impacts' and 'a' have been incorrectly merged during PDF extraction.
22,30,one-sidedconsidered,...evaluate a range of impacts that may be **one-sidedconsidered** judgements that are supported by resear...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'one-sided' and 'considered' have been incorrectly merged during PDF extraction.
