issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,Jet2holidays,...ys Jet2Holidays offers to customers:  | **Jet2holidays** ?- Package holidays you can trust |    ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The brand name is officially 'Jet2holidays' (lowercase 'h'), making the highlighted text correct and the tool's suggestion a false positive."
1,6,Waterpark,...lidays                                | **Waterpark**/theme park holidays     |  |  | |      ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"""Waterpark"" is an acceptable single-word compound noun, especially in a list of holiday types, making the tool's suggestion a false positive."
2,7,busined,...------------------  | 5. | Consider how **busined**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'businesses' has been incorrectly split across table cells, indicating a parsing error."
3,7,websit,...| 6. | and chocolates. Pau managing the **websit** bank. Paul makes all | conly shop selli...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"""websit"" is a misspelling of the word ""website""."
4,7,conly,"...aging the websit bank. Paul makes all | **conly** shop selling a range of luxury cookies,...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"""conly"" appears to be a fragment or merged word resulting from a parsing error, making the sentence nonsensical."
5,7,a the,...ers to customers. He works full-time in **a the** products in his kitchen at home and sto...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The phrase ""a the"" is grammatically incorrect and likely results from a parsing error where an article was duplicated or misplaced."
6,7,aging,... his kitchen at home and stores all the **aging** in his spare room. Paul is keen to grow...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"""aging"" is an incorrect word choice in this context; it is likely a parsing error for ""packaging"" or ""ingredients""."
7,7,hal,.... Paul is keen to grow the business and **hal** growth methods. |  |  | |    | (a) Iden...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"""hal"" is not a recognized word in this context and is likely a misspelling of ""has"" or a similar verb."
8,7,rea,... |  |  | |    | (a) Identify <b>two</b> **rea**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'reasons' has been incorrectly split across table cells, indicating a parsing error."
9,7,asons,...                                      | **asons** why businesses grow.                   ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'reasons' has been incorrectly split across table cells, indicating a parsing error."
10,9,instore,"...ade on site every day in each of its 28 **instore** kitchens.  As a successful business, Je...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'in-store' should be hyphenated in UK English.
11,9,onthe-job,"... competitive salary, staff discount and **onthe-job** training.  | (a) | make its products. |...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'on-the-job' should be correctly hyphenated.
12,11,ne,...---------------------  |  | employees | **ne** benefits to Jenkins s. | bakery or usin...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"'ne' appears to be a fragment of a word, likely 'new', resulting from a parsing error."
13,11,tra,...enkins s. | bakery or using | on-me-job **tra** | ining for new | [4] | |----------|---...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'tra' is a fragment of the word 'training' which has been split across table cells due to a parsing error.
14,11,ining,... s. | bakery or using | on-me-job tra | **ining** for new | [4] | |----------|-----------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'ining' is a fragment of the word 'training' which has been split across table cells due to a parsing error.
15,11,manuf,...                      | children's bike **manuf**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'manuf' is an incomplete word, likely a fragment of 'manufacturing' or 'manufacturer', caused by a parsing error."
16,11,ement,... table below shows | the income state | **ement** for Brat | s Bikes for 2024 |  | |  |  ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'ement' is a fragment of the word 'statement' which has been split across table cells due to a parsing error.
17,11,suc,...margin | 600 000 400 000 ? for business **suc** | 400 000 500 000 41.7% |  | [2] | |  |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'suc' is a fragment of the word 'success' which has been truncated due to a parsing error.
18,11,suc,...ortant | 600 000 400 000 ? for business **suc** | 400 000 500 000 41.7% |  |  |  {12}--...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'suc' is a fragment of the word 'success' which has been truncated due to a parsing error.
