issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,8,and,...ways in which businesses succeed or fail** and** the strategies required for success   -...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The conjunction 'and' is used correctly to connect two phrases within a single clause.
1,11,prosperitythe,...including its role in:opportunities for **prosperitythe** provision of goods and servicessatisfyi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'prosperity' and 'the' have been incorrectly merged during PDF-to-text conversion.
2,11,servicessatisfying,...or prosperitythe provision of goods and **servicessatisfying** wants and needsthe nature of business a...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'services' and 'satisfying' have been incorrectly merged during PDF-to-text conversion.
3,11,needsthe,... goods and servicessatisfying wants and **needsthe** nature of business activity including t...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'needs' and 'the' have been incorrectly merged during PDF-to-text conversion.
4,11,environmentdynamic,...ness activity including the:competitive **environmentdynamic** environmentinnovative environmentthe ro...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'environment' and 'dynamic' have been incorrectly merged during PDF-to-text conversion.
5,11,environmentinnovative,...ding the:competitive environmentdynamic **environmentinnovative** environmentthe role of the private sect...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'environment' and 'innovative' have been incorrectly merged during PDF-to-text conversion.
6,11,environmentthe,...nvironmentdynamic environmentinnovative **environmentthe** role of the private sector and public s...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'environment' and 'the' have been incorrectly merged during PDF-to-text conversion.
7,11,businesswhy,...derstand:<br>the reasons for starting a **businesswhy** people become entrepreneursthe importan...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'business' and 'why' have been incorrectly merged during PDF-to-text conversion.
8,11,entrepreneursthe,...or starting a businesswhy people become **entrepreneursthe** importance of identifying and respondin...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'entrepreneurs' and 'the' have been incorrectly merged during PDF-to-text conversion.
9,11,satisfactionenvironmental,"...f business aims, including:<br>customer **satisfactionenvironmental** and sustainabilityethicalgrowthmarket s...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'satisfaction' and 'environmental' have been incorrectly merged during PDF-to-text conversion.
10,11,sustainabilityethicalgrowthmarket,...>customer satisfactionenvironmental and **sustainabilityethicalgrowthmarket** shareprofit maximisationsocial/communit...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Multiple distinct business aims have been merged into a single word due to a PDF conversion error.
11,11,shareprofit,...l and sustainabilityethicalgrowthmarket **shareprofit** maximisationsocial/communitysurvival.Le...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The distinct business aims 'share' and 'profit' have been merged into a single word due to a PDF conversion error.
12,11,maximisationsocial,...nabilityethicalgrowthmarket shareprofit **maximisationsocial**/communitysurvival.Learners should be aw...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The distinct business aims 'maximisation' and 'social' have been merged into a single word due to a PDF conversion error.
13,11,communitysurvival,...thmarket shareprofit maximisationsocial/**communitysurvival**.Learners should be aware of:<br>the gro...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The distinct business aims 'community' and 'survival' have been merged into a single word due to a PDF conversion error.
14,11,aimshow,...importance of ethical and environmental **aimshow** business aims differ for different busi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'aims' and 'how' have been merged into a single word due to a PDF conversion error.
15,11,businesseshow,...show business aims differ for different **businesseshow** business aims can change in a competiti...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'businesses' and 'how' have been merged into a single word due to a PDF conversion error.
16,11,scalesthe,"...rating at local,<br>national and global **scalesthe** challenges and opportunities at each sc...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'scales' and 'the' have been merged into a single word due to a PDF conversion error.
17,11,tradedevelopment,"..., including:<br>increased international **tradedevelopment** of multinational companiesglobal brands...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'trade' and 'development' have been merged into a single word due to a PDF conversion error.
18,11,companiesglobal,...ional tradedevelopment of multinational **companiesglobal** brands and the free movement of goods a...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'companies' and 'global' have been merged into a single word due to a PDF conversion error.
19,11,marketsgrowthincreased,"...obal business, such as:<br>entering new **marketsgrowthincreased** sales and profitsthe challenges of glob...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple distinct opportunities ('markets', 'growth', 'increased') have been merged into a single word due to a PDF conversion error."
20,11,profitsthe,"...ng new marketsgrowthincreased sales and **profitsthe** challenges of global business, such as:...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'profits' and 'the' have been incorrectly merged due to a PDF conversion artifact.
21,11,differencesethical,"...ness, such as:<br>cultural and language **differencesethical** and environmental damageinternational r...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'differences' and 'ethical' have been incorrectly merged due to a PDF conversion artifact.
22,11,damageinternational,...ge differencesethical and environmental **damageinternational** regulations and lawssupply chain issues...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'damage' and 'international' have been incorrectly merged due to a PDF conversion artifact.
23,11,lawssupply,...tal damageinternational regulations and **lawssupply** chain issueswhat is meant by deglobalis...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'laws' and 'supply' have been incorrectly merged due to a PDF conversion artifact.
