issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,2,digitization,"The specification includes a broader range of technologies used in contemporary business, such as 3D printing, AI, automation, cloud storage, **digitization**, EPOS, online payment systems, QR codes, robotics, and social media.",ErrorCategory.SPELLING_ERROR,95,The British English spelling for this term is 'digitisation'.
1,2,environment,"Elkington's Triple Bottom Line Model: Learners will apply the model when evaluating entrepreneurial opportunities and their impact on people, the community, society, and the **environment**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,A full stop is missing at the end of the sentence.
2,2,program,"A: The specification recommends 120-140 guided learning hours, designed as a 2-year **program** for learners in Years 10 and 11.",ErrorCategory.SPELLING_ERROR,95,The British English spelling for this term is 'programme'.
3,2,breakeven,"A: Key areas include business fundamentals, careers in business, different scales of business activity, stakeholders, business ownership, the supply chain, location, and revenue, costs and **breakeven**.",ErrorCategory.SPELLING_ERROR,90,The compound noun/adjective 'break-even' should be hyphenated in British English.
4,2,for lifetime,"A: Part A will remain the same **for lifetime** of the qualification. It requires learners to summarise the operations of the chosen business, explain the impact society has on the business and analyse the impact of the business on society.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite article 'the' is missing before 'lifetime'.
5,2,environment and Business,"In Part B, WJEC will select two themes from the specification content (Business ethics, Business and the **environment and Business** and Technology) and centres and/or learners will choose one of the selected themes to investigate.",ErrorCategory.STYLISTIC_PREFERENCE,80,A serial comma (Oxford comma) should be used before 'and' in a list of three or more items for clarity in formal British English.
6,2,hence the better score from the resit will count.,"Should candidates wish to resit Unit 1 or Unit 2 in Year 11, whilst completing Units 3 and 4, the terminal rule has been met by Units 3 and 4, **hence the better score from the resit will count.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The conjunctive adverb 'hence' is used to join two independent clauses, which requires a semicolon or full stop before it, not a comma, to avoid a comma splice."
7,3,digitization,"The specification includes a broader range of technologies used in contemporary business, such as 3D printing, AI, automation, cloud storage, **digitization**, EPOS, online payment systems, QR codes, robotics, and social media.",ErrorCategory.SPELLING_ERROR,95,"The British English spelling is 'digitisation', not 'digitization'."
8,3,environment,"Elkington's Triple Bottom Line Model: Learners will apply the model when evaluating entrepreneurial opportunities and their impact on people, the community, society, and the **environment**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The sentence is missing a full stop at its conclusion.
9,3,program,"A: The specification recommends 120-140 guided learning hours, designed as a 2-year **program** for learners in Years 10 and 11.",ErrorCategory.SPELLING_ERROR,95,"The British English spelling for a course of study or curriculum is 'programme', not 'program'."
10,3,breakeven,"A: Key areas include business fundamentals, careers in business, different scales of business activity, stakeholders, business ownership, the supply chain, location, and revenue, costs and **breakeven**.",ErrorCategory.STYLISTIC_PREFERENCE,70,"In formal business writing, 'break-even' is typically hyphenated when used as a noun or adjective."
11,3,for lifetime,A: Part A will remain the same **for lifetime** of the qualification.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite article 'the' is missing before 'lifetime'; it should be 'for the lifetime'.
12,3,Business and Technology,"In Part B, WJEC will select two themes from the specification content (Business ethics, Business and the environment and **Business and Technology**) and centres and/or learners will choose one of the selected themes to investigate.",ErrorCategory.STYLISTIC_PREFERENCE,80,A serial comma (Oxford comma) should be used before 'and' in a list of three or more items for clarity in formal British English.
13,3,which learners are investigating,The centre will need to teach the content of the theme(s) **which learners are investigating**.,ErrorCategory.STYLISTIC_PREFERENCE,75,"'That' is generally preferred for restrictive clauses (essential information), while 'which' is used for non-restrictive clauses (additional information, usually preceded by a comma); here, the clause is restrictive."
