issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,9,judgementsto,"...omputational terms:<br>to make reasoned **judgementsto** design, program, evaluate, and refine s...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'judgements' and 'to' have been merged due to a parsing error.
1,11,ethernet,"...:   - **Wired NICs** use cable, such as **ethernet**, to connect a computer to a network   -...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'ethernet' is acceptable in lowercase when referring to the technology or cable type in general, though 'Ethernet' (capitalized) is also common."
2,12,PDIF,"...s, microphones, and speakers.     - **S/**PDIF** / TOSLINK:** For digital audio transmis...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'PDIF' is part of the acronym 'S/PDIF', which is a correct technical term."
3,15,ser ves,...2:** Larger than level 1 but slower. It **ser ves** as bridge between level 1 and level 3 o...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'serves' has been incorrectly split into two words due to a parsing error.
4,16,Hexa,... cores - Quad -core will have 4 cores - **Hexa** -core will have 6 cores - Deca -core wi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Hexa' is a correct prefix used in the compound term 'Hexa-core'.
5,16,Deca,... cores - Hexa -core will have 6 cores - **Deca** -core will have 10 cores - it is also p...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Deca' is a correct prefix used in the compound term 'Deca-core'.
6,17,multi tasking,"...t a time, which improves performance in **multi tasking** and parallel processing.  ### **RAM**  ...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Multitasking' should be written as a single word in British English.
7,23,Blu,"...  ### **Optical Storage**  - CDs, DVDs, **Blu** -ray discs. - Uses laser technology to ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Blu' is part of the proper noun 'Blu-ray', which is a correct technical term."
8,23,Blu,"... content, software, and data storage. - **Blu** -ray Discs :   - Single -layer Blu -ray...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Blu' is part of the proper noun 'Blu-ray', which is a correct technical term."
9,23,Blu,"...e. - Blu -ray Discs :   - Single -layer **Blu** -ray discs can hold **25 GB**, and dual...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Blu' is part of the proper noun 'Blu-ray', which is a correct technical term."
10,24,Blu,"...by format, with newer technologies like **Blu** -ray offering faster performance and gr...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The term 'Blu-ray' is a compound noun that should be hyphenated without a space, indicating a PDF conversion artifact."
11,26,there is scalable options,"...  - This could be considered unlimited, **there is scalable options** of data capacity, but often at a price,...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The plural subject 'options' requires the plural verb 'are', making 'there is scalable options' grammatically incorrect."
12,28,Therefore,...he bottom put the remainders in order.  **Therefore** binary = 100101  **Binary to Denary**: ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,The omission of a comma after 'Therefore' is a stylistic choice for conciseness in this technical explanation and does not hinder comprehension.
13,30,bit,"... binary value. - Each image will have a **bit** depth, which impacts on the size and qu...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Bit depth' is a correct and standard technical term in the context of digital graphics.
14,31,bpc,"...to, this will be as ""bits per channel"" (**bpc**). - Example: 8-bit colour depth for ""RG...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'bpc' is a correctly used and defined technical abbreviation for 'bits per channel'.
15,31,bpp,...pth systems mainly used bits per pixel (**bpp**). This specification uses modern conven...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'bpp' is a correctly used and defined technical abbreviation for 'bits per pixel'.
16,31,bpc,...onent (also known as bits per channel) (**bpc**)  ## **Colour Model:**  - A mathematica...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'bpc' is a correctly used and defined technical abbreviation for 'bits per channel'.
17,31,Bit,...e number of bits used per channel. - 3. **Bit** Depth: The number of bits used per pixe...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Bit Depth' is a correct and standard technical term used as a heading in a list.
18,32,$$Total,"...with a resolution of 1920x1080 pixels:  **$$Total**\ Pixels = 1920 \times 1080 = 2,073,600\...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The `$$` are LaTeX delimiters for a mathematical expression, and 'Total' is correctly used within this context, indicating a parsing artifact."
19,32,pixels$$,"... Pixels = 1920 \times 1080 = 2,073,600\ **pixels$$**  ## **Calculate Bits Per Pixel (bpp):**...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The `$$` are LaTeX delimiters for a mathematical expression, and 'pixels' is correctly used as a unit within this context, indicating a parsing artifact."
20,32,bpp,...ixels$$  ## **Calculate Bits Per Pixel (**bpp**):**  - Multiply the bit depth by the nu...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`bpp` is a standard technical abbreviation for 'bits per pixel' and is correctly used in this context.
21,32,$$Bits,...ls. - Example: For an 8-bit RGB image:  **$$Bits** \ Per \ Pixel = 8 \ (bits - Red) + 8 \ ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The `$$` is a LaTeX delimiter for a math block and is not part of the word 'Bits'.
22,32,textit,"...s by the bits per pixel. - Example:  $$\**textit**{Total bits} = 2,073,600 \ \textit{pixel...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,`\textit` is a LaTeX command for italicizing text within a math environment and is not a grammatical error.
23,32,textit,"...:  $$\textit{Total bits} = 2,073,600 \ \**textit**{pixels} \times 24 \ \textit{bits} = 49,...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,`\textit` is a LaTeX command for italicizing text within a math environment and is not a grammatical error.
24,32,textit,"...,073,600 \ \textit{pixels} \times 24 \ \**textit**{bits} = 49,766,400 \ \textit{bits}$$  #...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,`\textit` is a LaTeX command for italicizing text within a math environment and is not a grammatical error.
25,32,textit,"...imes 24 \ \textit{bits} = 49,766,400 \ \**textit**{bits}$$  ## **Convert bits to bytes:** ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,`\textit` is a LaTeX command for italicizing text within a math environment and is not a grammatical error.
26,32,$$Total,"...its by 8 (1 byte = 8 bits). - Example:  **$$Total**\ bytes = \frac{49,766,400\ bits}{8} = 6...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The `$$` is a LaTeX delimiter for a math block and is not part of the word 'Total'.
27,32,frac,"... 8 bits). - Example:  $$Total\ bytes = \**frac**{49,766,400\ bits}{8} = 6,220,800\ bytes...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,`\frac` is a LaTeX command for creating fractions within a math environment and is not a grammatical error.
28,32,bytes$$,"...\frac{49,766,400\ bits}{8} = 6,220,800\ **bytes$$**  ### **Convert bytes to kilobytes (KB):...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The `$$` is a LaTeX delimiter for a math block and is not part of the word 'bytes'.
29,33,$$Total,"...--------------------------  • Example:  **$$Total**\ KB = \frac{6,220,800\ bytes}{1024} \ap...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The `$$` is a LaTeX delimiter for a math block and is not part of the word 'Total'.
30,33,frac,"...-----------  • Example:  $$Total\ KB = \**frac**{6,220,800\ bytes}{1024} \approx 6075\ K...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`\frac` is a LaTeX command for fractions, not a linguistic error in the text."
31,33,KB$$,"...c{6,220,800\ bytes}{1024} \approx 6075\ **KB$$**  ### **Convert kilobytes to megabytes (...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The `$$` denotes the end of a LaTeX math block and is not part of the word 'KB'.
32,33,$$Total,...024 (since 1 MB = 1024 KB). - Example:  **$$Total**\ MB = \frac{6075\ KB}{1024} \approx 5.9...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The `$$` denotes the start of a LaTeX math block and is not part of the word 'Total'.
33,33,frac,... = 1024 KB). - Example:  $$Total\ MB = \**frac**{6075\ KB}{1024} \approx 5.93\ MB$$  ## ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`\frac` is a LaTeX command for fractions, not a linguistic error in the text."
34,33,MB$$,...B = \frac{6075\ KB}{1024} \approx 5.93\ **MB$$**  ## **The digital storage of sound**  S...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The `$$` denotes the end of a LaTeX math block and is not part of the word 'MB'.
35,33,�Sample,...Requirements Formula:**  Storage Size = **�Sample** Rate × Bit Depth × Channels × Duration ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The `�` character is an OCR artifact and not part of the word 'Sample'.
36,34,Bit,"...s:**  - Multiply the given Sample Rate, **Bit** Depth, Number of Channels and Duration ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Bit Depth' is a correct technical term, and 'Bit' is appropriately capitalized as part of it."
37,34,frac,... (1 byte = 8 bits).  Total bytes =   $$\**frac**{\text{(Sample Rate } \times \text{ Bit ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`\frac` is a LaTeX command for fractions, not a linguistic error in the text."
38,34,frac,"...t{ Duration )}}{8}$$ Total bytes =   $$\**frac**{254,016,000}{8} = 31,752,000 \text{ byt...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`\frac` is a LaTeX command for fractions, not a linguistic error in the text."
39,34,frac,"...4 bytes). - Example:  Total bytes =  $$\**frac**{31,752,000 \ bytes}{1024} \approx 31,00...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`\frac` is a LaTeX command for fractions, not a linguistic error in the text."
40,34,kilobytes$$,"...752,000 \ bytes}{1024} \approx 31,008 \ **kilobytes$$**  ### **Convert kilobytes to megabytes (...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The `$$` is a LaTeX/MathJax artifact marking the end of a mathematical expression, not a grammatical error."
41,34,frac,"...1024 KB). - Example:  Total bytes =  $$\**frac**{31,008 \ kilobytes}{1024} \approx 30.2 ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word `frac` is part of the LaTeX command `\frac` used for fractions, which is a parsing artifact."
42,34,megabytes$$,"...1,008 \ kilobytes}{1024} \approx 30.2 \ **megabytes$$**  {35}----------------------------------...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The `$$` is a LaTeX/MathJax artifact marking the end of a mathematical expression, not a grammatical error."
43,36,$$compression,...iles based on the compression ratio:**  **$$compression** \ ratio = \frac{original \ data \ size}...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The `$$` is a LaTeX/MathJax artifact marking the start of a mathematical expression, not a grammatical error."
44,36,frac,...sion ratio:**  $$compression \ ratio = \**frac**{original \ data \ size}{compressed \ da...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word `frac` is part of the LaTeX command `\frac` used for fractions, which is a parsing artifact."
45,36,frac,"...ize = 200  Therefore, the ratio is:  $$\**frac**{1000}{200}$$  or  $\frac{10}{2}$  or 10...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word `frac` is part of the LaTeX command `\frac` used for fractions, which is a parsing artifact."
46,36,frac,... ratio is:  $$\frac{1000}{200}$$  or  $\**frac**{10}{2}$  or 10: 2  **Calculating the co...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word `frac` is part of the LaTeX command `\frac` used for fractions, which is a parsing artifact."
