issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,Wales,"...that, we identified when Qualifications **Wales**<br>flagged contradictory wording on pag...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Qualifications Wales is a proper noun and 'Wales' is correctly capitalized as part of it.
1,10,NetPay,...>mark for the complete line of code:<br>**NetPay**.set(Gross -<br>(Gross * 0.19 + Gross * ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'NetPay' is a variable name in a code snippet and should not be flagged as a spelling error.
2,13,pseudo-code,...for each correct concept designed in<br>**pseudo-code** (Pseudo-code syntax and examples are<br...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Pseudo-code' is a correctly hyphenated term in computer science, and the unhyphenated form is also acceptable."
3,13,HasNumeric,...br>Declare Surname is String<br>Declare **HasNumeric** is Boolean<br>Declare CurrentChar is Ch...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'HasNumeric' is a variable name in pseudo-code and should not be flagged as a spelling error.
4,13,CurrentChar,...eclare HasNumeric is Boolean<br>Declare **CurrentChar** is Character<br>Set HasNumeric = FALSE<...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'CurrentChar' is a variable name in pseudo-code and should not be flagged as a spelling error.
5,13,HasNumeric,"...Declare CurrentChar is Character<br>Set **HasNumeric** = FALSE<br>Output ""Enter the surname: ""...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'HasNumeric' is a variable name in pseudo-code and should not be flagged as a spelling error.
6,13,"""","...ter<br>Set HasNumeric = FALSE<br>Output **""**Enter the surname: ""<br>Input Surname<br...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The `&quot;` is an HTML entity for a double quote, indicating a parsing artifact from PDF conversion."
7,13,"""","...c = FALSE<br>Output ""Enter the surname: **""**<br>Input Surname<br>/** Check if the in...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The `&quot;` is an HTML entity for a double quote, indicating a parsing artifact from PDF conversion."
8,13,CurrentChar,"... */<br>For i = 1 To Len(Surname)<br>Set **CurrentChar** = Mid(Surname, i, 1)<br>If Val(CurrentC...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'CurrentChar' is a variable name in pseudo-code and should not be flagged as a spelling error.
9,13,CurrentChar,"...rentChar = Mid(Surname, i, 1)<br>If Val(**CurrentChar**) >= 0 AND<br>Val(CurrentChar) <= 9 Then...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'CurrentChar' is a variable name in pseudo-code and should not be flagged as a spelling error.
10,13,CurrentChar,...<br>If Val(CurrentChar) >= 0 AND<br>Val(**CurrentChar**) <= 9 Then<br>Set HasNumeric = TRUE<br>...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""CurrentChar"" is a correctly used variable name in pseudo-code."
11,13,<=,...rrentChar) >= 0 AND<br>Val(CurrentChar) **<=** 9 Then<br>Set HasNumeric = TRUE<br>Exit...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""<="" is a correctly used relational operator in pseudo-code."
12,13,HasNumeric,...ND<br>Val(CurrentChar) <= 9 Then<br>Set **HasNumeric** = TRUE<br>Exit For<br>End If<br>Next i<...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""HasNumeric"" is a correctly used variable name in pseudo-code."
13,13,HasNumeric,"...E<br>Exit For<br>End If<br>Next i<br>If **HasNumeric** = TRUE Then<br>Output ""Error: Surname s...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""HasNumeric"" is a correctly used variable name in pseudo-code."
14,15,case sensitive,"...e on window reads ""Add Pupil Data"" (not **case sensitive**) 1 (c) • Entry or text widget allowing ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"""case sensitive"" is a common and understandable compound adjective in a technical context, and its unhyphenated form is widely accepted."
15,16,IncorrectPassword,...r>Username: office_manager<br>Password: **IncorrectPassword**                                        ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""IncorrectPassword"" is a specific string literal used as an example of test data, not a grammatical error."
16,17,the each,... |   |  | | (c) | Award one<br>mark for **the each** of the following:<br>•<br>Code added to...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"""the each"" is grammatically incorrect; it should be ""each"" or ""each of the""."
17,18,the each,...   |            | Award one<br>mark for **the each** of the following:<br>•<br>entry/text wi...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"""the each"" is grammatically incorrect; it should be ""each"" or ""each of the""."
18,18,the each,...   | (ii)       | Award one<br>mark for **the each** of the following up to a<br>maximum of ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"""the each"" is grammatically incorrect; it should be ""each"" or ""each of the""."
19,18,the each,...   | (iii)      | Award one<br>mark for **the each** of the following:<br>•<br>calculation f...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"""the each"" is grammatically incorrect; it should be ""each"" or ""each of the""."
20,24,onscreen,...te User Guide for candidates completing **onscreen** assessments. The Surpass software will ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The word 'onscreen' is an acceptable single-word spelling in British English, especially in technical contexts."
21,25,encrypted,"...ich only permits access to the required **encrypted** media files, necessaryapplications or d...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'encrypted' is spelled correctly and used grammatically in the given context.
22,25,necessaryapplications,"... to the required encrypted media files, **necessaryapplications** or designated storage device (if requir...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'necessary' and 'applications' have been incorrectly merged due to a PDF parsing error.
23,25,keycode,...he examination**.   - An administrative **keycode** will also be available on the Surpass s...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The word 'keycode' is an acceptable single-word spelling for 'key code' in technical documentation.
24,25,keycodes,"... the encrypted media files. - Candidate **keycodes**, which will need to be used to upload e...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The word 'keycodes' is an acceptable single-word plural spelling for 'key codes' in technical documentation.
25,25,candidate 's,...ich will need to be used to upload each **candidate 's** examination work after the examination ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The apostrophe in 'candidate's' is incorrectly separated by a space, indicating a PDF parsing error."
26,24,candidate 's,...ich will need to be used to upload each **candidate 's** examination work after the examination ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"There is an extraneous space between 'candidate' and the apostrophe, which should be removed."
