issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,"What are, and how are the assessment objectives weighted?","#### **Q: **What are, and how are the assessment objectives weighted?**",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing is grammatically awkward and could be rephrased for better flow and clarity, e.g., 'What are the assessment objectives, and how are they weighted?'"
1,1,reenter,"However, for Unit 2 they would need to **reenter** all units for a 'fresh start'.",ErrorCategory.STYLISTIC_PREFERENCE,80,'Re-enter' is grammatically correct but 're-enrol' or 're-take' would be more precise in the context of re-taking units.
2,1,'fresh start',"However, for Unit 2 they would need to reenter all units for a **'fresh start'**.",ErrorCategory.STYLISTIC_PREFERENCE,85,The use of single quotes around 'fresh start' is informal for a formal document.
3,2,TKINTER,"There are no specific computer hardware requirements, software required is the Python 3 IDE with IDLE and **TKINTER** (the specific version of Python 3 will be indicated on the Unit 2 pre-release each year), internet access will be helpful for activities within teaching.",ErrorCategory.SPELLING_ERROR,98,Tkinter is a proper noun for a Python library and should be capitalized as 'Tkinter'.
4,2,within teaching,internet access will be helpful for activities **within teaching**.,ErrorCategory.STYLISTIC_PREFERENCE,80,'In teaching' or 'during teaching' would be more concise and natural phrasing.
5,2,"qualifications, please view","The WJEC offers professional development opportunities, guidance documents, and resources to support the delivery of new **qualifications, please view** the WJEC course webpage for details of upcoming events and resources available.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,99,"This is a comma splice, joining two independent clauses with only a comma. It should be separated by a semicolon or a full stop."
6,2,TKINTER,"Any Python 3 IDE can be used for teaching, but the Python IDLE and **TKINTER** library version specified must be used for the Unit 2 assessment.",ErrorCategory.SPELLING_ERROR,98,Tkinter is a proper noun for a Python library and should be capitalized as 'Tkinter'.
7,2,"computers, real-world","Unplugged activities are also suggested to help explore concepts without **computers, real-world** examples demonstrate programming applications, and design thinking encourages creative problem-solving.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This sentence contains a comma splice, incorrectly joining two independent clauses with only a comma."
8,2,reenter,"Yes, this is a unitised qualification where students can re-sit Unit 1 once if they wish to improve their score for that unit's uniform mark. However, for Unit 2 they would need to **reenter** all units for a 'fresh start'.",ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with 're-sit' used earlier in the sentence, 're-enter' should also be hyphenated."
9,3,TKINTER,"A: There are no specific computer hardware requirements, software required is the Python 3 IDE with IDLE and **TKINTER** (the specific version of Python 3 will be indicated on the Unit 2 pre-release each year), internet access will be helpful for activities within teaching.",ErrorCategory.SPELLING_ERROR,95,'Tkinter' is a proper noun for a Python library and is conventionally spelled with a capital 'T' followed by lowercase letters.
10,3,"qualifications, please","A: The WJEC offers professional development opportunities, guidance documents, and resources to support the delivery of new **qualifications, please** view the WJEC course webpage for details of upcoming events and resources available.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This sentence contains a comma splice, incorrectly joining two independent clauses with only a comma."
11,3,TKINTER,"Any Python 3 IDE can be used for teaching, but the Python IDLE and **TKINTER** library version specified must be used for the Unit 2 assessment.",ErrorCategory.SPELLING_ERROR,95,'Tkinter' is a proper noun for a Python library and is conventionally spelled with a capital 'T' followed by lowercase letters.
12,2,"What are, and how are the assessment objectives weighted?","### **Q: **What are, and how are the assessment objectives weighted?**

A: AO1 (30%) - Knowledge and understanding.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The phrasing is grammatically incomplete and awkward; it should be 'What are the assessment objectives, and how are they weighted?'"
13,2,reenter all units for a 'fresh start',"Yes, this is a unitised qualification where students can re-sit Unit 1 once if they wish to improve their score for that unit's uniform mark. However, for Unit 2 they would need to **reenter all units for a 'fresh start'**.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrase ""'fresh start'"" is informal for a formal document and could be rephrased for greater clarity and professionalism."
14,2,program,"The specification recommends 120-140 guided learning hours, primarily designed as a 2 year **program** for learners in Years 10 and 11.",ErrorCategory.SPELLING_ERROR,98,"In British English, 'programme' is used for educational courses and plans, while 'program' is typically reserved for computer code."
15,3,"requirements, software required is the Python 3 IDE with IDLE and TKINTER (the specific version of Python 3 will be indicated on the Unit 2 pre-release each year), internet access will be helpful","A: There are no specific computer hardware **requirements, software required is the Python 3 IDE with IDLE and TKINTER (the specific version of Python 3 will be indicated on the Unit 2 pre-release each year), internet access will be helpful** for activities within teaching.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This sentence contains multiple independent clauses joined only by commas, which constitutes a comma splice. It should be broken into separate sentences or joined with appropriate conjunctions/semicolons."
16,3,"qualifications, please view","A: The WJEC offers professional development opportunities, guidance documents, and resources to support the delivery of new **qualifications, please view** the WJEC course webpage for details of upcoming events and resources available.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This sentence contains two independent clauses joined only by a comma, which constitutes a comma splice. It should be broken into separate sentences or joined with an appropriate conjunction."
