issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,however; the use,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however; the use** of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A semicolon is incorrectly used after 'however' within a parenthetical clause; a comma should be used instead.
1,5,The MOTHERBOARD board of a computer. It holds and connects all other essential components. is the primary circuit,Award one mark for the following: <ul><li>**The MOTHERBOARD board of a computer. It holds and connects all other essential components. is the primary circuit**</li></ul>,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The predicate 'is the primary circuit' is misplaced at the end of the sentence, making the sentence grammatically incorrect and difficult to understand. It should be 'The MOTHERBOARD is the primary circuit board of a computer. It holds and connects all other essential components.'"
2,5,The RAM of currently running programs and data. will be used for the temporary storage,Award one mark for the following: <ul><li>**The RAM of currently running programs and data. will be used for the temporary storage**</li></ul>,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The predicate 'will be used for the temporary storage' is misplaced at the end of the sentence, making the sentence grammatically incorrect and difficult to understand. It should be 'The RAM will be used for the temporary storage of currently running programs and data.'"
3,5,The SOUND CARD signals into digital data and reverse this process for output. will convert analogue audio,Award one mark for the following: <ul><li>**The SOUND CARD signals into digital data and reverse this process for output. will convert analogue audio**</li></ul>,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The predicate 'will convert analogue audio' is misplaced at the end of the sentence, making the sentence grammatically incorrect and difficult to understand. It should be 'The SOUND CARD will convert analogue audio signals into digital data and reverse this process for output.'"
4,8,a secondary storage media,An organisation needs to make **a secondary storage media**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'media' is plural; therefore, it should not be preceded by the singular indefinite article 'a'. It should be 'secondary storage media' or 'a secondary storage medium'."
5,9,Award one 3216 mark,• | **Award one 3216 | mark** for the following:,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The answer '3216' is incorrectly inserted into the phrase 'Award one mark', making it grammatically incorrect."
6,9,Award one 16 mark,• | **Award one 16 | mark** for the following:,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The answer '16' is incorrectly inserted into the phrase 'Award one mark', making it grammatically incorrect."
7,9,Award one 001110002 mark,• | **Award one 001110002 | mark** for the following:,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The answer '001110002' is incorrectly inserted into the phrase 'Award one mark', making it grammatically incorrect."
8,10,three ... marks,"Award one mark for each of the following, up to a maximum of **three** <ul><li>Source IP address</li><li>Destination IP address</li><li>Information which enables the data to be reassembled into its original form</li><li>Other tracking information</li><li>The data itself</li><li>A checksum that authenticates the data, i.e. checks it hasn't been corrupted.</li></ul> | **marks:**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The word 'marks' is separated from 'maximum of three' by the bulleted list content, breaking the grammatical flow of the sentence."
9,11,Award one ... mark for each of the following,below. **Award one** <ul><li>7 (B  C  G  K) 12 (H  B  C </li></ul> | | Suggest the lowest cost routes between each origin and destination. Complete the table | | | | | | | **mark for each of the following: G  K  J)**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The marking instruction 'Award one mark for each of the following' is split and interleaved with the answers, creating an ungrammatical sentence structure."
10,12,is,Decision symbol: Check if username and password **is** correct Output symbol: Message if successful login Stop procedure symbol: End.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Subject-verb agreement error; 'username and password' is a compound subject requiring the plural verb 'are'.
11,13,1,"(i) Award one mark for the following: **1** <ul><li>Project objectives are defined, alternative solutions are explored, and the project's viability is assessed at the SCOPING AND FEASIBILITY stage.</li></ul>",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The numeral '1' is misplaced and disrupts the grammatical flow of the instructional sentence.
12,13,Award one TESTING mark,(ii) **Award one TESTING mark** for the following: <ul><li>evaluated to ensure it meets specified requirements before release. verifies that the software is rigorously</li></ul>,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase incorrectly uses 'TESTING' as an adjective for 'mark' instead of presenting it as the term being defined.
13,13,evaluated to ensure it meets specified requirements before release. verifies that the software is rigorously,(ii) Award one <ul><li>TESTING</li></ul> mark for the following: **evaluated to ensure it meets specified requirements before release. verifies that the software is rigorously**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The sentence is fragmented and poorly structured, making the definition unclear as it appears to be two incomplete clauses."
14,13,Award one MAINTENANCE mark,"(iii) **Award one MAINTENANCE mark** for the following: <ul><li>and improved over time. entails the ongoing support where the software system is updated, fixed,</li></ul>",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase incorrectly uses 'MAINTENANCE' as an adjective for 'mark' instead of presenting it as the term being defined.
15,13,"and improved over time. entails the ongoing support where the software system is updated, fixed,","(iii) Award one <ul><li>MAINTENANCE</li></ul> mark for the following: **and improved over time. entails the ongoing support where the software system is updated, fixed,**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The sentence is fragmented and poorly structured, making the definition unclear as it appears to be two incomplete clauses."
16,13,Award one • mark,"(iv) **Award one • mark** for the following: The creation of a blueprint for the system's is determined at the DESIGN architecture, user interface, and data structures stage.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The phrase is grammatically incorrect, and the bullet point symbol is an OCR artefact that disrupts the sentence structure."
17,13,"The creation of a blueprint for the system's is determined at the DESIGN architecture, user interface, and data structures stage.","(iv) Award one • mark for the following: **The creation of a blueprint for the system's is determined at the DESIGN architecture, user interface, and data structures stage.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The sentence structure is garbled, making it difficult to understand the intended meaning, likely due to misplaced words."
18,15,help spot,• Progress can be easily tracked as each phase has set milestones providing clear indicators of project status and **help spot** issues early.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The verb 'help' is not parallel with the preceding participle 'providing'; it should be 'helping to spot' or the sentence restructured for grammatical consistency.
19,17,issues escalating,"• Explicitly addresses risk management in each iteration, which helps to prevent potential **issues escalating**.",ErrorCategory.STYLISTIC_PREFERENCE,80,"For improved clarity and formality in British English, 'prevent potential issues from escalating' is generally preferred."
