issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,16,of of,...velop an understanding and appreciation **of of** how meaning is communicated through dan...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The word 'of' is redundantly repeated, creating a grammatical error."
1,16,Avant,...mpany)<br>2. <b>Fagin's Twist</b><br>by **Avant**<br>Garde Dance (Chor<br>Tony Adigun)<br...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Avant' is part of the proper noun 'Avant Garde Dance' and is correctly spelled and used in context.
2,16,Garde,...>2. <b>Fagin's Twist</b><br>by Avant<br>**Garde** Dance (Chor<br>Tony Adigun)<br>3. <b>Pi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Garde' is part of the proper noun 'Avant Garde Dance' and is correctly spelled and used in context.
3,16,Xie,... National Ballet<br>2. <b>Ripple</b> by **Xie** Xin for The<br>Ballet Boyz<br>3. <b>Hen...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'Xie' is a proper noun, part of a choreographer's name, and is correctly spelled."
4,17,movementsrelationships,...ent material including:<br>the dancers' **movementsrelationships** between dancersactions of the bodydynam...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'movements' and 'relationships' are merged due to a parsing error, requiring separation and punctuation."
5,17,dancersactions,...dancers' movementsrelationships between **dancersactions** of the bodydynamicsspace and how it is ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'dancers' and 'actions' are merged due to a parsing error, requiring separation and punctuation."
6,17,bodydynamicsspace,...tionships between dancersactions of the **bodydynamicsspace** and how it is used by the dancersthe ty...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'body', 'dynamics', and 'space' are merged due to a parsing error, requiring separation and punctuation."
7,17,dancersthe,...dynamicsspace and how it is used by the **dancersthe** type(s) of dance useddance styles/genre...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'dancers' and 'the' are merged due to a parsing error, requiring separation."
8,17,useddance,...used by the dancersthe type(s) of dance **useddance** styles/genreschoreographic devices and ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'used' and 'dance' are merged due to a parsing error, requiring separation."
9,17,genreschoreographic,...rsthe type(s) of dance useddance styles/**genreschoreographic** devices and structure.<br>Learners shou...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'genres' and 'choreographic' are merged due to a parsing error, requiring separation and punctuation."
10,17,propslightingcostumeset,... physical setting including:<br>set and **propslightingcostumeset** designstaging for example:proscenium ar...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Multiple distinct terms have been merged into a single token due to a PDF parsing error.
11,17,designstaging,...ing:<br>set and propslightingcostumeset **designstaging** for example:proscenium archthrustdance ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Two distinct terms, 'design' and 'staging', have been merged into a single token due to a PDF parsing error."
12,17,archthrustdance,...et designstaging for example:proscenium **archthrustdance** for camerasite specificoutdoor.<br>Lear...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Multiple distinct terms have been merged into a single token due to a PDF parsing error.
13,17,camerasite,... example:proscenium archthrustdance for **camerasite** specificoutdoor.<br>Learners should und...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Two distinct terms, 'camera' and 'site', have been merged into a single token due to a PDF parsing error."
14,17,specificoutdoor,...oscenium archthrustdance for camerasite **specificoutdoor**.<br>Learners should understand the aura...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Two distinct terms, 'specific' and 'outdoor', have been merged into a single token due to a PDF parsing error."
15,17,textscoremusic,...nd the aural setting used including:<br>**textscoremusic**. |  {18}-------------------------------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Multiple distinct terms have been merged into a single token due to a PDF parsing error.
16,27,but,...cles. - use or **Mirroring** like unison** but** dancers use the opposite side of the bo...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The word 'but' is used correctly as a conjunction within a telegraphic definition in a bullet point.
17,28,overlayed,"...ue** where phrases and sequences return **overlayed**, fragmented, and developed. - **Narrati...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The correct past participle of 'overlay' is 'overlaid', not 'overlayed', according to standard British English dictionaries (OED, Collins)."
