issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,MMAR,...------------------  # Contents  | SUI | **MMAR**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'SUMMARY' has been incorrectly split during the conversion process.
1,3,INTR,...-------------------------|----| | 1   | **INTR**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'INTRODUCTION' has been incorrectly split during the conversion process.
2,3,ODUCTION,...                                      | **ODUCTION**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'INTRODUCTION' has been incorrectly split during the conversion process.
3,3,SUBJ,...                         | 8  | | 2   | **SUBJ**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'SUBJECT' has been incorrectly split during the conversion process.
4,3,SSMENT,...                                      | **SSMENT**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'ASSESSMENT' has been incorrectly split during the conversion process.
5,3,MALF,...                         | 26 | | 4   | **MALF**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'MALPRACTICE' has been incorrectly split during the conversion process.
6,3,endix,...                         | 29 | | App | **endix**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Appendix' has been incorrectly split during the conversion process.
7,3,endix,...the Curriculum for Wales | 30 | | App | **endix**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Appendix' has been incorrectly split during the conversion process.
8,7,enables,"...es, tools, materials and practices that **enables** them to become curious and creative ind...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The verb 'enables' should be 'enable' to agree with the plural subject 'genres, techniques, tools, materials and practices'."
9,10,crosscutting,"...ecessary skills required to explore the **crosscutting** themes of human-rights and diversity, i...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'cross-cutting' should be hyphenated when preceding the noun it modifies.
10,11,Celine Sciamma,"...us, UK, 2014), 15\* **and** *Girlhood* (**Celine Sciamma**, France, 2014), 15\*  *Dream Horse* (Eu...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Celine Sciamma is the correct spelling of the director's name and is a proper noun.
11,12,low key,"...ghting (for example, high key lighting, **low key** lighting).</li></ul> | | 1.1.2 How film...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,Low-key should be hyphenated as a compound adjective modifying 'lighting'.
12,19,live streaming,"...releases)   - video games (for example; **live streaming**, free demos)   - television/streaming (...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Live streaming as two words is acceptable as a noun phrase, though 'live-streaming' is also common."
13,22,audio-visual,...velop their ideas into a final: <ul><li>**audio-visual**/audio product:</li><li>social media cam...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Audio-visual is correctly hyphenated as a compound adjective.
14,22,post production,... their technical and creative skills in **post production** by:</li><li>editing the digital media o...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,Post-production should be hyphenated as a compound noun in this context.
15,26,audio-visual,...d brief. One production piece should be **audio-visual**/audio and the other should be digital/o...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Audio-visual is correctly hyphenated as a compound adjective.
16,35,screen writer,... | | Screenplay | A script written by a **screen writer** for a film or television show that tell...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,Screenwriter should be written as a single word.
