issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,2,subject specific,[Approval Criteria for GCSE] Digital Media and Film which sets out the **subject specific** requirements for Digital Media and Film from September 2025 and beyond.,ErrorCategory.STYLISTIC_PREFERENCE,85,"The compound adjective 'subject-specific' should be hyphenated when preceding a noun, as per British English conventions (OED)."
1,4,Summary of assessment,"# <span id=""page-4-0""></span>SUMMARY OF ASSESSMENT

**Unit 1: Exploring key concepts and issues On-screen examination: 1 hour 30 minutes 30% of qualification**

**60 marks**

# **Summary of assessment**

The paper will consist of questions requiring objective responses, short and extended answers, in response to set films, a studied video game and unseen media works.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The heading 'Summary of assessment' is repeated as a sub-heading for each unit, which is redundant and creates an awkward document structure, hindering clarity and professionalism."
2,6,subject specific,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/expressive-arts/principles-of-progression/) along with the [statements of](https://hwb.gov.wales/curriculum-for-wales/expressive-arts/statements-of-what-matters/) [what matters](https://hwb.gov.wales/curriculum-for-wales/expressive-arts/statements-of-what-matters/) and those **subject specific** skills and concepts outlined in the '[Designing](https://hwb.gov.wales/curriculum-for-wales/expressive-arts/designing-your-curriculum/) [your Curriculum](https://hwb.gov.wales/curriculum-for-wales/expressive-arts/designing-your-curriculum/)' section of the Expressive Arts Area of Learning and Experiences.",ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'subject-specific' should be hyphenated when it precedes the noun 'skills'.
3,7,impact,"explore work from diverse cultures and societies and learn about these influences, histories and **impact**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"To maintain parallelism with the plural nouns 'influences' and 'histories', 'impact' should be pluralised to 'impacts'."
4,7,new context,develop a more sophisticated use of relevant skills and the ability to transfer existing skills and knowledge into **new context**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,'Context' is a countable noun here and should be plural ('contexts') or preceded by an article ('a new context').
5,7,subject specific,Supporting the **subject specific** considerations for Digital Media and Film[2](#page-7-2) by giving learners the opportunity to consider:,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'subject-specific' should be hyphenated when it precedes the noun 'considerations'.
6,7,cinematography;,"Aspects of pre-production, production and post-production, including editing, **cinematography;** sound, production design (including mise-en-scène), narrative, style, genre.",ErrorCategory.CONSISTENCY_ERROR,85,A semicolon is used inconsistently in a list where other items are separated by commas; a comma would be more appropriate for parallel structure.
7,8,specific as possible,Language used should be **specific as possible**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The phrase requires a second 'as' to form the correct comparative structure 'as specific as possible'.
8,8,up to date,WJEC will inform centres of any amendments and the most **up to date** version of the specification will always be on the website.,ErrorCategory.STYLISTIC_PREFERENCE,90,'Up-to-date' should be hyphenated when used as a compound adjective modifying 'version'.
9,10,its,"explore how digital media and film products represent identity and place
- explore ethical issues surrounding social media platforms and **its** impact.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The pronoun 'its' should be 'their' to agree with the plural noun 'platforms'.
