issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,consequences to,"...ere are broad legal, social and ethical **consequences to** the use of technology  <span id=""page-5...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'consequences to' is grammatically correct and acceptable in British English.
1,10,numberstextimagessoundthe,"...igits in data representation, including:**numberstextimagessoundthe** relationship between binary data and st...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Multiple words have been incorrectly merged together due to a PDF parsing error.
2,10,unitsthe,...ionship between binary data and storage **unitsthe** impact of data size on performance and ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'units' and 'the' have been incorrectly merged due to a PDF parsing error.
3,10,storagemagnetic,"...diums, use and characteristics of:cloud **storagemagnetic** storageoptical storagesolid state stora...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'storage' and 'magnetic' have been incorrectly merged due to a PDF parsing error.
4,10,storageoptical,...haracteristics of:cloud storagemagnetic **storageoptical** storagesolid state storage. | |        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'storage' and 'optical' have been incorrectly merged due to a PDF parsing error.
5,10,storagesolid,...of:cloud storagemagnetic storageoptical **storagesolid** state storage. | |                     ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'storage' and 'solid' have been incorrectly merged due to a PDF parsing error.
6,10,storagedata,"...individuals, including:cost per unit of **storagedata** retrieval speeddata retrieval accessibi...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'storage' and 'data' have been incorrectly merged due to a PDF parsing error.
7,10,speeddata,...:cost per unit of storagedata retrieval **speeddata** retrieval accessibilitydata securitypro...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'speed' and 'data' have been incorrectly merged due to a PDF parsing error.
8,10,accessibilitydata,...oragedata retrieval speeddata retrieval **accessibilitydata** securityprocessing efficiency          ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'accessibility' and 'data' have been incorrectly merged due to a PDF parsing error.
9,10,securityprocessing,...l speeddata retrieval accessibilitydata **securityprocessing** efficiency                             ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'security' and 'processing' have been incorrectly merged due to a PDF parsing error.
10,12,mousetouchbiometricsgesture,"...actions, including:traditional keyboard/**mousetouchbiometricsgesture** controladvanced and immersive interacti...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Multiple words have been merged into a single token due to a PDF parsing error.
11,12,controladvanced,"...al keyboard/mousetouchbiometricsgesture **controladvanced** and immersive interactions, including:s...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Two distinct words have been merged into a single token due to a PDF parsing error.
12,12,speechhaptic,"...d and immersive interactions, including:**speechhaptic** feedbackAugmented Reality (AR)Virtual R...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Two distinct words have been merged into a single token due to a PDF parsing error.
13,12,feedbackAugmented,"...ve interactions, including:speechhaptic **feedbackAugmented** Reality (AR)Virtual Reality (VR).Learne...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Two distinct words have been merged into a single token due to a PDF parsing error.
14,12,transmissiondevice,"...ples of the internet,<br>including:data **transmissiondevice** communicationrole of protocols.Learners...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Two distinct words have been merged into a single token due to a PDF parsing error.
15,12,communicationrole,"...t,<br>including:data transmissiondevice **communicationrole** of protocols.Learners should know:the p...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Two distinct words have been merged into a single token due to a PDF parsing error.
16,12,bridgegatewayrouterswitchthe,"...onnecting digital<br>devices, including:**bridgegatewayrouterswitchthe** key components that enable internet com...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Multiple words have been merged into a single token due to a PDF parsing error.
17,12,modelInternet,"...munication,<br>including:client, server **modelInternet** Service Providers (ISP)the role of key ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Two distinct words have been merged into a single token due to a PDF parsing error.
18,12,enginesWorld,"...ocols and<br>services, including:search **enginesWorld** Wide Web (WWW)web serversUniform Resour...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Two distinct words have been merged into a single token due to a PDF parsing error.
19,12,serversUniform,...g:search enginesWorld Wide Web (WWW)web **serversUniform** Resource Locators (URLs)Domain Name Sys...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Two distinct words have been merged into a single token due to a PDF parsing error.
20,12,broadbandsatellite,"...r>used for transmitting data, including:**broadbandsatellite** |  {13}--------------------------------...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'broadband' and 'satellite' have been merged during PDF extraction and should be separated, likely by a comma or space, as distinct technologies."
