issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,on-going,...spond to the feedback from others as an **on-going** process throughout the development peri...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The hyphenated form 'on-going' is an acceptable and common variant of 'ongoing' in British English.
1,9,live streamed,...flecting linked to live and/or recorded/**live streamed** performances as possible theatrical inf...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The compound adjective 'live-streamed' requires a hyphen for clarity when preceding a noun, likely a missing hyphen due to parsing."
2,13,br,...sed command words. If an explanation is<**br**/>required then use two command words: '...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The 'br' tag is a PDF-to-markdown conversion artifact and not a linguistic error.
3,15,and,...pected to demonstrate in their responses** and** they are then used in marking the work....,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"A comma before 'and' separating independent clauses is a stylistic choice, not a grammatical requirement here."
4,15,ly,...ld be considered and marked appropriate***ly**.*  - An angry tone and a fast tempo to ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'appropriately' has been split by markdown formatting, indicating a parsing error."
5,17,extractSatisfactory,... character motivation within the chosen **extractSatisfactory** knowledge and understanding of how voic...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Satisfactory' have been merged due to a PDF-to-text conversion error.
6,17,extractSatisfactory,...communicate the character in the chosen **extractSatisfactory** knowledge and understanding of how move...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Satisfactory' have been merged due to a PDF-to-text conversion error.
7,17,extractGeneral,...communicate character within the chosen **extractGeneral** references to the extract to support th...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'General' have been merged due to a PDF-to-text conversion error.
8,17,suggestedGenerally,"...t the vocal/movement/interaction skills **suggestedGenerally** relevant knowledge, understanding and u...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'suggested' and 'Generally' have been merged due to a PDF-to-text conversion error.
9,17,extractBasic,... character motivation within the chosen **extractBasic** knowledge and understanding of how voic...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Basic' have been merged due to a PDF-to-text conversion error.
10,17,extractBasic,...communicate the character in the chosen **extractBasic** knowledge and understanding of how move...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Basic' have been merged due to a PDF conversion error.
11,17,extractBasic,...communicate character within the chosen **extractBasic** knowledge and understanding of how inte...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Basic' have been merged due to a PDF conversion error.
12,17,extractSome,...communicate character within the chosen **extractSome** references to the extract to support th...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Some' have been merged due to a PDF conversion error.
13,17,suggestedSome,"...t the vocal/movement/interaction skills **suggestedSome** relevant knowledge, understanding and u...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'suggested' and 'Some' have been merged due to a PDF conversion error.
14,17,extractLimited,... character motivation within the chosen **extractLimited** knowledge and understanding of how voic...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Limited' have been merged due to a PDF conversion error.
15,17,extractLimited,...communicate the character in the chosen **extractLimited** knowledge and understanding of how move...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Limited' have been merged due to a PDF conversion error.
16,17,extractLimited,...communicate character within the chosen **extractLimited** knowledge and understanding of how inte...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Limited' have been merged due to a PDF conversion error.
17,17,extractLimited,...communicate character within the chosen **extractLimited** references to the extract to support th...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'extract' and 'Limited' have been merged due to a PDF conversion error.
18,17,suggestedLimited,"...t the vocal/movement/interaction skills **suggestedLimited** knowledge, understanding and use of rel...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'suggested' and 'Limited' have been merged due to a PDF conversion error.
19,17,credit worthy,...             | | 0 marks | Response not **credit worthy** / not attempted                        ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"The compound adjective 'creditworthy' should be written as a single word according to British English conventions (OED, Collins)."
20,20,three dimensional,...t and control - naturalistic movement - **three dimensional** characters. - Brecht: - direct address ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The instruction explicitly states not to report hyphenation issues, treating them as potential parsing errors or acceptable stylistic choices."
21,24,Flood light,...e (in/out)  Fade  Crossfade  Spotlight  **Flood light**  Follow spot  Lights up  Lights down  P...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"According to standard British English dictionaries (e.g., Collins, OED), 'floodlight' is a single, closed compound word."
