issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,7,on-going,...spond to the feedback from others as an **on-going** process throughout the development peri...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"On-going is an acceptable hyphenated form of the adjective in British English, and hyphenation issues are to be ignored as per instructions."
1,11,volumetonepitchpacesilence,"...erent aspects of voice, for example:<br>**volumetonepitchpacesilence** and pausenonsense conversationssound ma...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple words are merged together without spaces or punctuation, indicating a PDF-to-text conversion error."
2,11,pausenonsense,...mple:<br>volumetonepitchpacesilence and **pausenonsense** conversationssound makingsoundscapeshum...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Two words are merged together without a space, indicating a PDF-to-text conversion error."
3,11,conversationssound,...etonepitchpacesilence and pausenonsense **conversationssound** makingsoundscapeshumming and singing.  ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Two words are merged together without a space, indicating a PDF-to-text conversion error."
4,11,makingsoundscapeshumming,...ce and pausenonsense conversationssound **makingsoundscapeshumming** and singing.                           ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple words are merged together without spaces or punctuation, indicating a PDF-to-text conversion error."
5,11,tensionblooming,"... physicality, for example:<br>levels of **tensionblooming** and witheringfreezeframesadding animal ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Two words are merged together without a space, indicating a PDF-to-text conversion error."
6,11,witheringfreezeframesadding,...ample:<br>levels of tensionblooming and **witheringfreezeframesadding** animal characteristics to walkingexagge...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple words are merged together without spaces or punctuation, indicating a PDF-to-text conversion error."
7,11,walkingexaggerationslow,...eframesadding animal characteristics to **walkingexaggerationslow** motion 70's disco moves with eyes close...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple words are merged together without spaces or punctuation, indicating a PDF-to-text conversion error."
8,11,70's,...stics to walkingexaggerationslow motion **70's** disco moves with eyes closed to<br>avoi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The `&#x27;` is an HTML entity for an apostrophe, indicating a parsing artifact rather than a linguistic error."
9,11,embarrassmentcentringmimesimplified,"...isco moves with eyes closed to<br>avoid **embarrassmentcentringmimesimplified** Laban's efforts focussing on direction,...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple words are merged together without spaces or punctuation, indicating a PDF-to-text conversion error."
10,11,exercisessimple,...                    | trust and balance **exercisessimple** liftssimple contact work.              ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'exercises' and 'simple' are merged due to a PDF parsing error and require separation.
11,11,liftssimple,...    | trust and balance exercisessimple **liftssimple** contact work.                          ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'lifts' and 'simple' are merged due to a PDF parsing error and require separation.
12,11,sSmall,...ir tasks – two cats chatting at the vet'**sSmall** group task – each person is a component...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The possessive 's' is merged with the start of the next word, indicating a parsing error and missing punctuation."
13,16,and,...                            | What it is** and** what needs to be in it?Rehearsal notes ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The conjunction 'and' correctly connects two parts of a single question and does not require a preceding comma.
14,24,Signes,... in<br>a range of ways<br>Projection<br>**Signes** and<br>placards                        ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,'Signes' is a misspelling of the English word 'Signs' in this context.
15,33,a small number of,"...nd in themselves. The audience might be **a small number of** people invited by the performers, their...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'a small number of' is grammatically correct and stylistically acceptable.
16,34,and,...s required. Working lights will fade out** and** the next scene will commence. - A costu...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'and' when it joins two independent clauses.
17,34,makeup,"... costume on a character or change their **makeup**, or a lighting designer might need to c...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"In formal British English, 'make-up' is typically hyphenated when referring to cosmetics."
18,34,mid performance,"...ght need to change a gel in a sidelight **mid performance**. Again, it is perfectly acceptable for ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"Although 'mid-performance' is often hyphenated, the instruction is to not report hyphenation issues."
19,43,and,...overed?   - Is there a range of examples** and** how detailed is the level of analysis a...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The conjunction 'and' correctly connects two interrogative phrases within a single question and does not require a preceding comma.
20,44,hand-written,...rial. - This document could be typed or **hand-written**. It could be divided into sub-headed se...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The compound adjective 'hand-written' is correctly hyphenated and widely accepted.
21,44,as to whether,"... example, consideration should be given **as to whether** a series of images of rehearsal demonst...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The phrase 'as to whether' is grammatically correct, though 'whether' alone would also suffice."
22,46,to analysis,...• Within the reflective log there needs **to analysis** and evaluation of both process and perf...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The phrase 'there needs to analysis' is grammatically incorrect; it should be 'there needs to be analysis'.
23,49,makeup,"...f their decision. A **costume, hair and **makeup** designer** working in the style of phys...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,'Make-up' (hyphenated) is generally preferred as a noun in formal British English and for consistency with other instances in the document.
24,49,chair chair,... could focus on the different styles of **chair chair** duet in performance and talk about how ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The repetition of 'chair' in 'chair chair duet' is a clear grammatical error.
25,50,voice over,"... why they made the decision to record a **voice over**.  more lighting design skills, such as ...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Voiceover' or 'voice-over' should be used as a single compound noun in this context.
26,52,live streaming,"...                           | •<br>Using **live streaming**, theatre trips, workshops (online or li...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Live streaming' is an acceptable and commonly used term as a noun phrase.
