issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,Proforma,...ecord Form Unit 1         | | Programme **Proforma** Unit 1                 | | Candidate As...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The term 'Proforma' is a valid noun and is correctly used in this title context.
1,7,audio visual,...itable format):  - audio presentation - **audio visual** presentation - PowerPoint - written pro...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The instruction is to ignore hyphenation issues, and 'audio visual' as two words is acceptable, even if 'audio-visual' is more common as a compound adjective."
2,10,has,...mining the extent to which the learners **has** met the criteria within the relevant ba...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The plural subject 'learners' requires the plural verb 'have', not 'has'."
3,15,has,...mining the extent to which the learners **has** met the criteria within the relevant ba...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The plural subject 'learners' requires the plural verb 'have', not 'has'."
4,15,and,...tifying individual levels of achievement** and** they do not correlate with grade bounda...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While a comma before 'and' could separate two independent clauses, its omission here does not create ambiguity or a grammatical error."
5,19,Proforma,"...pan id=""page-18-0""></span>  # Programme **Proforma** Unit 1  ## Unit 1: Devising Theatre  Th...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The term 'Proforma' is a valid noun and is correctly used in this title context.
6,19,pro-forma,"...u wish to do so, please photo-copy this **pro-forma** for additional groups. Please ensure th...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The hyphenated 'pro-forma' is a correct and acceptable form, and hyphenation issues are to be ignored."
7,19,or,...esign √ as applicable | Character played** or** design skill selected | |              ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"In a concise table header, omitting a comma before 'or' is acceptable and does not hinder clarity."
8,20,or,...gn √<br>as applicable | Character played** or** design skill selected |  | |           ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"In a concise table header, omitting a comma before 'or' is acceptable and does not hinder clarity."
9,20,ead,...-----|-------|-----|---|-------| | Н  | **ead** of Drama | :     | 120 |   | Date: | | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is an OCR error where 'Н' (Cyrillic N) has been incorrectly transcribed, resulting in 'Н ead' instead of 'Head'."
10,20,Mh,...     |       |     |   |       | | C2 | **Mh**           |       |     |   |       | |...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"This appears to be an abbreviation or code within a table, not a spelling error."
11,23,independently from,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'independently from' is a grammatically acceptable construction in British English.
12,26,makeup,"...erent characters (two costume, hair and **makeup** designs in total) - sketches of both co...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Makeup' is an accepted spelling for the noun in British English, and hyphenation issues are not to be reported."
13,26,audio visual,...itable format):  - audio presentation - **audio visual** presentation - PowerPoint - written pro...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"Hyphenation issues are not to be reported, and 'audio visual' as a noun phrase or unhyphenated compound is sometimes used."
14,30,marksGood,"...                       | | 4    | 19-24 **marksGood**, imaginative ideas, created in response...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'marks' and 'Good' have been incorrectly merged during PDF to text conversion and require a space.
15,30,well developed,"...in response to the chosen stimulus, are **well developed** to produce a refined and coherent piece...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Well developed' is correctly unhyphenated when it follows the verb 'to be'.
16,30,marksEffective,... most of the rehearsal process. | 19-24 **marksEffective** and appropriate application of physical...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'marks' and 'Effective' have been incorrectly merged during PDF to text conversion and require a space.
17,30,throughout throughout,...appropriate application of vocal skills **throughout throughout** most of the performance.Effective and a...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The word 'throughout' is unnecessarily repeated, creating a grammatical error."
18,30,marksEffective,...                                  | 8-9 **marksEffective** and coherent interpretation of characte...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'marks' and 'Effective' have been incorrectly merged during PDF to text conversion and require a space.
19,30,marksEffective,...                                  | 8-9 **marksEffective** individual contribution to the performa...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'marks' and 'Effective' have been incorrectly merged during PDF to text conversion and require a space.
20,35,makeup,"...erent characters (two costume, hair and **makeup** designs in total) - sketches of both co...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The document consistently uses the hyphenated form 'make-up' in headings and other instances, making 'makeup' an inconsistent spelling."
21,50,marksNo,...                              | | 0 | 0 **marksNo** ideas are created or developed.        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'marks' and 'No' have been incorrectly merged during PDF-to-text conversion and should be separated.
22,50,marksNo,...                                    | 0 **marksNo** design skills evident.                 ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'marks' and 'No' have been incorrectly merged during PDF-to-text conversion and should be separated.
23,50,marksNo,...                                    | 0 **marksNo** interpretation of the piece.No communic...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'marks' and 'No' have been incorrectly merged during PDF-to-text conversion and should be separated.
24,50,marksNo,...ication of meaning to the audience. | 0 **marksNo** contribution through design to the perf...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'marks' and 'No' have been incorrectly merged during PDF-to-text conversion and should be separated.
25,52,makeup,"... contribution through costume, hair and **makeup** design to the performance. - The overal...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The document consistently uses the hyphenated form 'make-up' in headings and other instances, making 'makeup' an inconsistent spelling."
26,53,makeup,"... contribution through costume, hair and **makeup** design to the performance. - The overal...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The document consistently uses the hyphenated form 'make-up' in headings and other instances, making 'makeup' an inconsistent spelling."
27,54,makeup,"... contribution through costume, hair and **makeup** design to the performance. - The overal...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The document consistently uses the hyphenated form 'make-up' in headings and other instances, making 'makeup' an inconsistent spelling."
28,19,gro,...No more than five candidates acting per **gro** more than four design candidates per gr...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The word 'gro' is a truncation of 'group' due to a parsing error, likely from the PDF conversion."
29,19,tha,...                       |  |  | | more e **tha** | 8 |  |  |  |  |  |  | | No I         ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The word 'tha' appears to be a fragment of misrecognized text within a table, indicating a parsing error from the PDF conversion."
30,19,ead,...-----|-------|-----|---|-------| | Н  | **ead** of Drama | :     | 120 |   | Date: | | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'ead' is a parsing error and should be 'Head' in the context 'Head of Drama'.
31,19,Mh,...     |       |     |   |       | | C2 | **Mh**           |       |     |   |       | |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'Mh' appears to be a parsing error within the table, likely a corrupted character or abbreviation."
32,22,independently from,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While 'independently from' is grammatically acceptable, 'independently of' is generally preferred in formal UK English."
33,25,makeup,"...erent characters (two costume, hair and **makeup** designs in total) - sketches of both co...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Makeup' should be hyphenated as 'make-up' to align with UK English spelling conventions and internal document consistency.
34,25,audio visual,...itable format):  - audio presentation - **audio visual** presentation - PowerPoint - written pro...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Audio visual' should be hyphenated as 'audio-visual' when used as a compound adjective modifying 'presentation'.
35,30,well developed,"...in response to the chosen stimulus, are **well developed** to produce a refined and coherent piece...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Well developed' is correctly unhyphenated as it functions as a predicate adjective in this sentence.
36,34,makeup,"...erent characters (two costume, hair and **makeup** designs in total) - sketches of both co...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Makeup' should be hyphenated as 'make-up' to align with UK English spelling conventions and internal document consistency.
37,51,makeup,"... contribution through costume, hair and **makeup** design to the performance. - The overal...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Makeup' should be hyphenated as 'make-up' to align with UK English spelling conventions.
38,52,makeup,"... contribution through costume, hair and **makeup** design to the performance. - The overal...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Makeup' should be hyphenated as 'make-up' to align with UK English spelling conventions.
39,53,makeup,"... contribution through costume, hair and **makeup** design to the performance. - The overal...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Makeup' should be hyphenated as 'make-up' to align with UK English spelling conventions.
40,57,Candidate Candidate,... this form**  | Centre No: Centre Name: **Candidate Candidate** No: Name: Unit Title: List of software ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'Candidate' is erroneously duplicated, indicating a parsing error during document conversion."
