issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,7,"""","...y Queen, to dew her orbs upon the green.**""** - 'Farewell thou lob of spirit I'll be ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The highlighted character is a correctly placed closing quotation mark for a line of dialogue.
1,7,"""","... you are that shrewd and knavish sprite.**""** - And here my mistress. Would that he w...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The highlighted character is a correctly placed closing quotation mark for a line of dialogue.
2,7,here,"... that shrewd and knavish sprite."" - And **here** my mistress. Would that he were gone."" ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The word 'here' is correctly used within the context of the Shakespearean quote.
3,7,"""","...re my mistress. Would that he were gone.**""**  Award one mark for a brief explanation...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The highlighted character is a correctly placed closing quotation mark for a line of dialogue.
4,9,and,"...he finds all of Puck's antics very funny** and** they make her laugh, she enjoys recalli...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Adding a comma before 'and' in this compound sentence would be a stylistic choice, as its absence does not create ambiguity."
5,11,periodgarmentscolourhair,...br>In your answer refer to:<br>style or **periodgarmentscolourhair** and make-up.Give two reasons for your s...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple words have been merged together without spaces or punctuation, indicating a PDF-to-text conversion error."
6,11,and,... white. - His hair would be in a Mohican** and** he would have black eyeliner around his...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Adding a comma before 'and' in this compound sentence would be a stylistic choice, as its absence does not create ambiguity."
7,13,credit worthy,...        | | 0 marks | •<br>Response not **credit worthy** / not attempted.                       ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The term 'creditworthy' should be written as a single word according to standard British English dictionaries (OED, Collins)."
8,14,octagonal shaped,... at The Curtain Theatre. It was a large **octagonal shaped** building with a thrust/apron stage.  ##...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"This is a hyphenation issue, which the instructions state should be ignored as a parsing artifact."
9,14,or,"...le, they could be part of the set a bush** or** they may decide to use personal props s...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,The word 'or' is correctly used as a conjunction; the grammatical issue lies in the preceding awkward phrasing 'part of the set a bush'.
10,16,credit worthy,...             | | 0 marks | Response not **credit worthy** / not attempted.                       ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'creditworthy' should be written as a single word in British English.
11,17,Thesus,...nnot score higher than band 2.**  ### ****Thesus**' character**  He is the Duke of Athens ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The correct spelling of the character's name is 'Theseus', not 'Thesus'."
12,18,"""","...- **""**I have, that's true, *driven* out**""**. - ""Look! I've got *no thing*, no singl...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The `&quot;` is an HTML entity resulting from PDF-to-text conversion and should be a standard quotation mark.
13,18,no thing,"...true, *driven* out"". - ""Look! I've got ***no thing***, no single thing."" - ""Yesterday you co...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'no thing' is used intentionally for emphasis within a quote and is grammatically acceptable in this context.
