issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,7,and,...developing artistic skills and knowledge** and** it enables learners to become curious a...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Adding a comma before 'and' connecting two independent clauses is a stylistic choice, and its omission here does not create ambiguity."
1,10,on-going,...spond to the feedback from others as an **on-going** process throughout the development peri...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Both 'on-going' (hyphenated) and 'ongoing' (closed compound) are acceptable spellings for the adjective in British English.
2,14,live streamed,...flecting linked to live and/or recorded/**live streamed** performances as possible theatrical inf...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"While 'live-streamed' is often hyphenated as a compound adjective, the unhyphenated form 'live streamed' is also commonly used and clear in context."
3,26,Flood light,.../out)  Fade  Crossfade  **Spotlight**   **Flood light**  Follow spot  Lights up  Lights down  P...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"The correct spelling for the lighting term is 'floodlight' as a single closed compound word, according to standard dictionaries like OED and Collins."
4,2,HNICAL,...| 5   | TEC                           | **HNICAL** INFORMATION                            ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'TECHNICAL' has been incorrectly split across two table cells due to a parsing error.
5,2,endi,...                         | 22 | | App | **endi**                          | x A: Opportu...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Appendix' has been incorrectly split across two table cells due to a parsing error.
6,2,Wa,...elements of the Curriculum for |    | | **Wa**  | les                           |     ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Wales' has been incorrectly split across two table cells due to a parsing error.
7,2,les,...ts of the Curriculum for |    | | Wa  | **les**                           |            ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Wales' has been incorrectly split across two table cells due to a parsing error.
8,2,endi,...                         | 23 | | App | **endi**                          | x B: Glossar...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Appendix' has been incorrectly split across two table cells due to a parsing error.
9,6,and,...developing artistic skills and knowledge** and** it enables learners to become curious a...,PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,85,A comma should be inserted before the coordinating conjunction 'and' when it connects two independent clauses to improve clarity.
10,9,on-going,...spond to the feedback from others as an **on-going** process throughout the development peri...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'on-going' is not strictly incorrect, 'ongoing' (one word) is the more common and generally preferred form in modern UK English."
11,13,live streamed,...flecting linked to live and/or recorded/**live streamed** performances as possible theatrical inf...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"As a compound adjective modifying 'performances', 'live-streamed' requires a hyphen for clarity in UK English."
12,25,Flood light,.../out)  Fade  Crossfade  **Spotlight**   **Flood light**  Follow spot  Lights up  Lights down  P...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The compound noun 'floodlight' is universally written as a single word in theatrical terminology.
