issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,10,"""","...-------------------------------  **8.** **""**John Cooper Clarke presents a more posit...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The quotation mark is correctly used to introduce a direct quote or title.
1,17,i,...your dust let me be your ford cortina\* **i** will never rust 5 if you like your coff...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The lowercase 'i' is a deliberate stylistic choice by the poet in the original poem.
2,17,i,...teddy bear 15 take me with you anywhere **i** don't care i wanna be yours - let me be...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The lowercase 'i' is a deliberate stylistic choice by the poet in the original poem.
3,17,i,...ours - let me be your electric meter 20 **i** will not run out let me be the electric...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The lowercase 'i' is a deliberate stylistic choice by the poet in the original poem.
4,17,atlantic ocean,... 25 with deep devotion deep as the deep **atlantic ocean** that's how deep is my emotion deep deep...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Atlantic Ocean is a proper noun and requires capitalization.
5,17,deep deep,...ep is my emotion deep deep deep deep de **deep deep** 30 i don't wanna be hers i wanna be you...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The repetition of 'deep' is a deliberate poetic device used in the original poem.
6,17,i,...ion deep deep deep deep de deep deep 30 **i** don't wanna be hers i wanna be yours  J...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The lowercase 'i' is a deliberate stylistic choice by the poet in the original poem.
7,21,superficialThe,...rd satin suggests that the gift is fake/**superficialThe** word red suggests that the gift is a ve...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'superficial' and 'The' are merged due to a PDF conversion error and require a space.
8,21,cliched,"...the gift is a very familiar,<br>perhaps **cliched** oneThese two words emphasise that they ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Cliche' is a valid spelling for the adjective in British English.
9,21,oneThese,"... is a very familiar,<br>perhaps cliched **oneThese** two words emphasise that they are comme...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'one' and 'These' are merged due to a PDF conversion error and require a space.
10,25,wellselected,...out how meaning is created supported by **wellselected** examples and purposeful textual referen...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The compound adjective 'well-selected' requires a hyphen for correct British English spelling, indicating a parsing error where the hyphen was dropped."
11,26,wouldbe,"...cal masculine way, intending to woo his **wouldbe** lover, whereas Duffy's representation o...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The compound adjective 'would-be' requires a hyphen for correct British English spelling, indicating a parsing error where the hyphen was dropped."
12,26,',...of the unselfish aspects of love - that **'**i wanna be yours can be seen as presenti...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The HTML entity `&#x27;` is a parsing artifact and should be a standard apostrophe or single quote.
13,27,offer,...gements or considered personal response.**offer** a sustained and convincing selection of...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The word 'offer' should be capitalised as it follows a full stop, indicating a new sentence, likely due to PDF extraction merging text."
14,27,make,... illustrate and support interpretations.**make** developed and sustained comparisons and...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The word 'make' should be capitalised as it follows a full stop, indicating a new sentence, likely due to PDF extraction merging text."
