issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,12,"the,","...shoulda seen his face, I mean the fear, **the,** it was so, you had to laugh, the expres...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The comma is used stylistically to indicate a pause or hesitation in the narrative, not a grammatical error."
1,13,tr,...         |  |  | |            | <table><**tr**><td>The stones</td><td></td></tr><tr><t...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The token 'tr' is an HTML tag for a table row, indicating a parsing artifact from the PDF conversion."
2,13,tr,...e><tr><td>The stones</td><td></td></tr><**tr**><td>The boy</td><td></td></tr><tr><td>T...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The token 'tr' is an HTML tag for a table row, indicating a parsing artifact from the PDF conversion."
3,13,tr,...</tr><tr><td>The boy</td><td></td></tr><**tr**><td>The grille</td><td></td></tr><tr><t...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The token 'tr' is an HTML tag for a table row, indicating a parsing artifact from the PDF conversion."
4,13,tr,...r><tr><td>The grille</td><td></td></tr><**tr**><td>The gang</td><td></td></tr></table>...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The token 'tr' is an HTML tag for a table row, indicating a parsing artifact from the PDF conversion."
5,24,but,...s deserted. The street lights are broken** but** the lights are on in every house and a ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"While a comma before 'but' is often recommended when joining independent clauses, its omission here does not create ambiguity and is a stylistic choice."
6,29,tabbycat,"...ere, her soft skin white, dotted like a **tabbycat**'s coat, but with red. Pigeon looks at C...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Tabbycat' is a commonly accepted compound noun, and its use as a single word here is not a grammatical or spelling error."
7,29,tabbycat,"..., her soft skin white, dotted <u>like a **tabbycat**'s</u> | coat, but with red.”           ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Tabbycat's' is the correct possessive form of the commonly accepted compound noun 'tabbycat'.
8,29,or,...                       |     | | (c) Who** or** what does the underlined word here refe...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'Who or what' is grammatically correct and does not require a comma.
9,47,"""","... earth"" suggests they have no fixed home**""**can't find rest"" suggests rootlessness /...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"There is a missing space between the closing quotation mark of 'home' and the opening quotation mark of 'can't', indicating a parsing error."
10,64,tabbycat,"...ere, her soft skin white, dotted like a **tabbycat**'s coat, but with red."" What is the tech...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,The compound noun 'tabby cat' should be written as two separate words in formal UK English.
11,70,"""","...rk together to implement Snowball's plan**""**gave the signal for the charge""</li></ul...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The `&quot;` is a misplaced closing quotation mark, indicating a parsing error where a space or opening quote is missing before the subsequent quoted phrase."
