issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,1hour,...ouble Award Only) Connections**  # Time **1hour** 30 minutes SAMPLE ASSESSMENT MATERIALS ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"A space is missing between the number and the unit of time, indicating a parsing error."
1,7,tr,...                              | <table><**tr**><td>people</td><td>culture</td><td>vari...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"`<tr>` is an HTML tag and not part of the intended human-readable text, indicating a parsing error."
2,7,tr,...<td>variety</td><td>alienated</td></tr><**tr**><td>unique</td><td>words</td><td>divers...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"`<tr>` is an HTML tag and not part of the intended human-readable text, indicating a parsing error."
3,21,say,"...y Ethnic' (17%). The youngest age group **say** they don't understand it, 23% of those ...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The singular subject 'age group' requires the singular verb 'says' for subject-verb agreement.
4,23,to to,...ly** want you to just take a **minute** **to to** kind of understand how much it **means*...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The repetition of 'to' is a grammatical error and should be corrected to a single instance.
5,23,tv,...ee** yourself in a magazine a billboard **tv** film (2) it's a message that (.) that y...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,'TV' is an abbreviation that should be capitalized.
6,23,far far,...reminds** us that what **unites** us is **far far** greater than what **divides** us (2) cu...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The repetition 'far far' is an intentional stylistic choice for emphasis in a speech transcript.
7,23,er,...ronically named (.) John Blanke (1) and **er** actually **even** our England's first b...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'er' is a discourse marker accurately transcribed from spoken language and is not a grammatical error in this context.
8,23,worldconquering,...) grime (.) dubstep (.) these are (.) ****worldconquering**** musical genres that are only possible...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'world-conquering' is a compound adjective that requires a hyphen.
9,24,',...ittedly hilarious likeness to 'Batman' (**'**Satman!) – more amusing than my hair. Bu...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The apostrophe is correctly used as part of the quoted nickname 'Satman!'.
10,24,in 1970s,"... our textbooks for protection, I did so **in 1970s** floral wallpaper, while the boys around...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The use of '1970s' as an adjective describing the style of the wallpaper is grammatically acceptable in this context.
11,27,"""","...in what the writer means when they say: **""**blood,<br>sweat, tears, hopes and fears ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The reported issue is an opening quotation mark correctly used, but flagged in isolation due to a parsing artifact from the PDF-to-text conversion."
12,31,to emphasis,"...ng right"" - he lists points of contrast **to emphasis** the differences between himself and the...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The noun 'emphasis' is incorrectly used where the verb 'emphasise' (British English) is required.
13,33,multi-cultural,...|------------| | 10.      | Compare how **multi-cultural** Britain is presented in Text B and Text...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"Both 'multicultural' and 'multi-cultural' are acceptable spellings, with the unhyphenated form being increasingly common and valid."
14,33,marginalised,"...                                | He is **marginalised** at school ""I ate<br>alone outside""     ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Marginalised' is the correct British English spelling of the word.
15,22,to to,...ly** want you to just take a **minute** **to to** kind of understand how much it **means*...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The repetition 'to to' is redundant and should be corrected to a single 'to'.
16,22,tv,...ee** yourself in a magazine a billboard **tv** film (2) it's a message that (.) that y...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"In the context of a transcript, 'tv film' is an acceptable and common compound noun, accurately reflecting spoken language."
17,22,far far,...reminds** us that what **unites** us is **far far** greater than what **divides** us (2) cu...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,"As this is a transcript of a speech, 'far far' is used for emphatic repetition and accurately reflects the speaker's delivery."
18,22,er,...ronically named (.) John Blanke (1) and **er** actually **even** our England's first b...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"As this is a transcript of a speech, 'er' is a common discourse marker or filler word and is accurately transcribed."
19,22,worldconquering,...) grime (.) dubstep (.) these are (.) ****worldconquering**** musical genres that are only possible...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The compound adjective 'world-conquering' should be hyphenated, indicating a parsing error where the hyphen was lost."
20,23,',...ittedly hilarious likeness to 'Batman' (**'**Satman!) – more amusing than my hair. Bu...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The single quote is likely a mis-rendered smart quote or part of an inconsistent quotation mark usage; it should be ‘Satman!’ or 'Satman!'.
21,23,in 1970s,"... our textbooks for protection, I did so **in 1970s** floral wallpaper, while the boys around...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The use of '1970s' as an adjective without an apostrophe is grammatically correct and widely accepted in UK English.
22,27,"""","...in what the writer means when they say: **""**blood, sweat, tears, hopes and fears are...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The opening double quotation mark is not closed, which is a clear grammatical error."
23,30,to emphasis,"...ng right"" - he lists points of contrast **to emphasis** the differences between himself and the...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"'Emphasis' is a noun, but the verb form 'emphasise' (UK English) is required in this context."
24,32,multi-cultural,...--|---------------| | 10. | Compare how **multi-cultural** Britain is presented in Text B and Text...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'multi-cultural' is acceptable, the unhyphenated 'multicultural' is generally preferred in modern UK English and formal writing."
25,32,under representation,"...larly crap part of town"" | | Effects of **under representation** | If people of colour aren't represente...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Under-representation' should be hyphenated as a compound noun.
26,32,marginalised,"...arned about the British Empire"" | He is **marginalised** at school ""I ate alone outside"" |  {33}...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Marginalised' is the correct UK English spelling and is appropriate for a WJEC document.
