issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,audio-visual,...in developing a title for this task. An **audio-visual** recording must be made for each learner...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The compound adjective 'audio-visual' is correctly hyphenated when used attributively in British English.
1,6,outside of,...ch and planning work related to the NEA **outside of** the centre.  #### **Resources**  During...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,"'Outside of' is an acceptable, though sometimes less concise, prepositional phrase in British English and not an absolute error."
2,9,outside of,...ch and planning work related to the NEA **outside of** the centre.  #### **Resources**  During...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,"'Outside of' is an acceptable, though sometimes less concise, prepositional phrase in British English and not an absolute error."
3,10,audio-visual,"...on, the teacher should:<br>•<br>make an **audio-visual** recording of the<br>presentation<br>•<b...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The compound adjective 'audio-visual' is correctly hyphenated when used attributively in British English.
4,11,audio-visual,... of the response or by listening to the **audio-visual** recording at a later time. Teachers sho...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The compound adjective 'audio-visual' is correctly hyphenated when used attributively in British English.
5,17,ideasselect,...he main points with some development of **ideasselect** a broad range of appropriate points wit...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'ideas' and 'select' are merged due to a PDF parsing error, requiring a space and punctuation."
6,17,interpretationsoffer,...f how the points illustrate and support **interpretationsoffer** straightforward explanations of how dif...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'interpretations' and 'offer' are merged due to a PDF parsing error, requiring a space and punctuation."
7,17,themesgive,"... presentation of information, ideas and **themesgive** straightforward explanations about the ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'themes' and 'give' are merged due to a PDF parsing error, requiring a space and punctuation."
8,17,show,"... impact of language, structure and form.**show** clear understanding of how contexts may...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'show' is merged with the preceding sentence due to a PDF parsing error, requiring a space and capitalisation."
9,17,approachselect,...o be undeveloped and take a descriptive **approachselect** some points with some basic evidence of...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'approach' and 'select' are merged due to a PDF parsing error, requiring a space and punctuation."
10,17,interpretationscomment,"...f how the points illustrate and support **interpretationscomment** on some basic examples of how language,...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'interpretations' and 'comment' are merged due to a PDF extraction error and should be separated.
11,17,themesmake,"... presentation of information, ideas and **themesmake** basic comments on the impact of languag...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'themes' and 'make' are merged due to a PDF extraction error and should be separated.
12,17,show,...hough not all will be clear or relevant.**show** basic understanding of how contexts may...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The word 'show' begins a new sentence and requires capitalization.
13,17,simpleoffer,"...t; responses are likely to be brief and **simpleoffer** a limited number of points, without dev...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'simple' and 'offer' are merged due to a PDF extraction error and should be separated.
14,17,evaluationmake,"...umber of points, without development or **evaluationmake** simple and limited comments on how lang...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'evaluation' and 'make' are merged due to a PDF extraction error and should be separated.
15,17,themesmake,"... presentation of information, ideas and **themesmake** limited comments on the impact of langu...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'themes' and 'make' are merged due to a PDF extraction error and should be separated.
16,17,show,"... impact of language, structure and form.**show** limited understanding of how contexts i...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The word 'show' begins a new sentence and requires capitalization.
17,17,approachselect,...o be undeveloped and take a descriptive **approachselect** some points with some basic evidence of...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'approach' and 'select' are merged due to a PDF extraction error and should be separated.
18,17,interpretationscomment,"...f how the points illustrate and support **interpretationscomment** on some basic examples of how language,...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'interpretations' and 'comment' are merged due to a PDF extraction error and should be separated.
19,17,themesmake,"... presentation of information, ideas and **themesmake** basic comments on the impact of languag...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'themes' and 'make' are merged due to a PDF extraction error and should be separated.
20,17,show,...hough not all will be clear or relevant.**show** basic understanding of how contexts may...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"A period is missing between 'relevant' and 'show', indicating a parsing error from PDF conversion."
21,17,simpleoffer,"...t; responses are likely to be brief and **simpleoffer** a limited number of points, without dev...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'simple' and 'offer' have merged due to a PDF conversion error.
22,17,evaluationmake,"...umber of points, without development or **evaluationmake** simple and limited comments on how lang...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'evaluation' and 'make' have merged due to a PDF conversion error.
23,17,themesmake,"... presentation of information, ideas and **themesmake** limited comments on the impact of langu...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'themes' and 'make' have merged due to a PDF conversion error.
24,17,show,"... impact of language, structure and form.**show** limited understanding of how contexts i...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"A period is missing between 'form' and 'show', indicating a parsing error from PDF conversion."
25,17,simpleoffer,"...t; responses are likely to be brief and **simpleoffer** a limited number of points, without dev...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'simple' and 'offer' have merged due to a PDF conversion error.
26,17,evaluationmake,"...umber of points, without development or **evaluationmake** simple and limited comments on how lang...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'evaluation' and 'make' have merged due to a PDF conversion error.
27,17,themesmake,"... presentation of information, ideas and **themesmake** limited comments on the impact of langu...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'themes' and 'make' have merged due to a PDF conversion error.
