issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,,,,,PARSING_ERROR,100,The word 'INTRODUCTION' has been incorrectly split into 'INTE' and 'RODUCTION' due to a parsing error.
1,,,,,PARSING_ERROR,100,The word 'INTRODUCTION' has been incorrectly split into 'INTE' and 'RODUCTION' due to a parsing error.
2,,,,,PARSING_ERROR,100,The word 'SUBJECT' has been incorrectly split into 'SUE' and 'JECT' due to a parsing error.
3,,,,,PARSING_ERROR,100,The word 'Integration' has been incorrectly split into 'Inte' and 'gration' due to a parsing error.
4,,,,,PARSING_ERROR,100,The word 'Integration' has been incorrectly split into 'Inte' and 'gration' due to a parsing error.
5,,,,,PARSING_ERROR,100,The word 'Opportunities' is missing its initial 'Opp' due to a parsing error.
6,,,,,PARSING_ERROR,100,The word 'ASSESSMENT' has been incorrectly split into 'ASS' and 'ESSMENT' due to a parsing error.
7,,,,,PARSING_ERROR,100,The word 'TECHNICAL' has been incorrectly split into 'TEC' and 'HNICAL' due to a parsing error.
8,,,,,PARSING_ERROR,100,"The word 'Appendix' has been incorrectly rendered as 'Apı' due to a parsing error, likely an OCR misinterpretation of 'pp'."
9,,,,,PARSING_ERROR,100,"The word 'Appendix' has been incorrectly split, with 'pendi' being part of the parsing error that rendered the first part as 'Apı'."
10,,,,,FALSE_POSITIVE,95,"The demonstrative pronoun 'This' correctly refers to the preceding clause, making the sentence grammatically sound."
11,,,,,FALSE_POSITIVE,100,'th' is correctly used as an ordinal indicator for '19th' and '20th' and is not an error.
12,,,,,FALSE_POSITIVE,100,'th' is correctly used as an ordinal indicator for '19th' and '20th' and is not an error.
13,,,,,FALSE_POSITIVE,100,'th' is correctly used as an ordinal indicator for '19th' and '20th' and is not an error.
14,,,,,PARSING_ERROR,100,"'Non-fiction' should be hyphenated as a compound adjective in UK English, indicating a parsing error where the hyphen was lost."
15,,,,,FALSE_POSITIVE,100,'Audio-visual' is correctly hyphenated as a compound adjective.
16,,,,,FALSE_POSITIVE,100,The verb 'requires' correctly agrees with the singular subject 'Task A'.
17,,,,,FALSE_POSITIVE,100,The verb 'requires' correctly agrees with the singular subject 'Task A'.
18,,,,,FALSE_POSITIVE,100,'Audio-visual' is correctly hyphenated as a compound adjective.
19,,,,,ABSOLUTE_GRAMMATICAL_ERROR,100,The repetition of 'in' ('cashed in in') is a grammatical error; one 'in' is redundant.
