issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,,,,,PARSING_ERROR,95,"The term 'pre-released' should be hyphenated as a compound adjective, consistent with other instances in the document and standard UK English usage."
1,,,,,PARSING_ERROR,95,"The term 'pre-released' should be hyphenated as a compound adjective, consistent with other instances in the document and standard UK English usage."
2,,,,,FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
3,,,,,FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
4,,,,,FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
5,,,,,FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
6,,,,,FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
7,,,,,FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
8,,,,,FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
9,,,,,FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
10,,,,,STYLISTIC_PREFERENCE,80,The single-word spelling 'wholewheat' is acceptable and commonly used as an adjective in UK English.
11,,,,,SPELLING_ERROR,100,The word 'through' is incorrectly used; it should be 'thorough' to convey a complete explanation.
12,,,,,STYLISTIC_PREFERENCE,80,The single-word spelling 'wholewheat' is acceptable and commonly used as an adjective in UK English.
13,,,,,STYLISTIC_PREFERENCE,80,The single-word spelling 'wholewheat' is acceptable and commonly used as an adjective in UK English.
14,,,,,PARSING_ERROR,100,"'Creditworthy' should be written as a single compound word, not two separate words."
