issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,prereleased,...ear. Learners can choose one of the two **prereleased** briefs they would like to complete.  Th...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The compound adjective 'pre-released' is typically hyphenated in British English, and the document uses this form elsewhere."
1,8,Vitamin D,"...---  An older person would require more **Vitamin D** and Calcium rich foods such as milk, sp...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,Capitalization of 'Vitamin D' is an acceptable stylistic choice in formal educational contexts.
2,8,:,... and prepare and cook their own meals.  **:**  - Nutritional needs across life stages...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The isolated colon is a formatting artifact from PDF conversion and serves no grammatical purpose.
3,8,',"...nsume alcohol. Meat and poultry must be **'**halal ', meaning that the animals have b...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The HTML entity '&#x27;' is a PDF conversion artifact and should be a single quote.
4,8,',"...lcohol. Meat and poultry must be 'halal **'**, meaning that the animals have been sla...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The HTML entity '&#x27;' is a PDF conversion artifact and should be a single quote.
5,8,Qur,...cording to Islamic law as stated in the **Qur** 'an. Muslims will also fast between sun...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'Qur'an' has been incorrectly split due to the HTML entity for the apostrophe during PDF conversion.
6,8,',...ing to Islamic law as stated in the Qur **'**an. Muslims will also fast between sunri...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The HTML entity '&#x27;' is a PDF conversion artifact and should be a single quote, forming part of 'Qur'an'."
7,9,Buy One Get One,...can make learners aware of supermarkets **Buy One Get One** Free (BOGOF ) offers and reduced cost f...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Buy One Get One Free' is a widely recognized and acceptable idiomatic marketing phrase.
8,9,cost effective,...foods with a longer shelf life are more **cost effective** due to them being able to be stored for...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The compound adjective 'cost-effective' should be hyphenated in British English, indicating a missing hyphen likely due to parsing."
9,10,:,...he local economy and food provenance .  **:**  ### Example activities :  Learners cou...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The isolated colon is a formatting artifact from PDF conversion and serves no grammatical purpose.
10,12,quantitiestimings,...uding adapting a recipe)ingredients and **quantitiestimings** (including contingency plans)food hygie...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'quantities' and 'timings' have been merged due to a PDF parsing error.
11,12,safetysequencingpresentingservingevaluating,...ding contingency plans)food hygiene and **safetysequencingpresentingservingevaluating**.Learners should be able to produce a ti...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Multiple words in a list have been merged together due to a PDF parsing error.
12,12,outcomea,...rk to be able to cook:<br>a single food **outcomea** number of food outcomes. | Learners nee...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'outcome' and 'a' have been merged due to a PDF parsing error.
13,12,placecookingpresenting,...ude<br>three clear sections:<br>mise en **placecookingpresenting** and serving.Accurate timings should be ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Multiple words in a list have been merged together due to a PDF parsing error.
14,14,brûlée,"...give a<br>crunchy<br>texture | Crème<br>**brûlée**, spun<br>sugar,<br>caramel<br>sauce    ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Crème brûlée is a correctly spelled French culinary term commonly used in English.
15,15,and,.... A range of textures have been provided** and** the lunchbox meets the requirements of ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The absence of a comma before 'and' connecting two independent clauses is a stylistic choice and does not create ambiguity.
16,17,An ingredients,...elevant food hygiene and safety points. **An ingredients** list<br>with accurate weights and quant...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"'An ingredients list' is an acceptable compound noun phrase, and the article 'An' is correctly used before a vowel sound."
17,19,Sauteing,...     | Slicing ** Peeling * Dicing ** | **Sauteing** ** Boiling *             | | Chilli con...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,The correct British English spelling for the cooking technique is 'sautéing' with a diacritic.
18,19,Sauteing,...     | Slicing ** Peeling * Dicing ** | **Sauteing** ** Boiling *             | | Apple crum...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,The correct British English spelling for the cooking technique is 'sautéing' with a diacritic.
19,21,classroombased,... the dish. This could be completed as a **classroombased** exercise or be set as a homework task. ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Classroom-based' is a compound adjective that requires hyphenation.
20,28,and,...f the<br>factors listed in Section 3.1.1** and** they will need to<br>be able to provide...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While a comma before 'and' joining two independent clauses is often preferred for clarity, its omission here does not create ambiguity or mislead the reader."
21,34,esearch,"...ers because it will enable them to** r****esearch**, analyse, and present information effec...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'research' has been split into 'r' and 'esearch' due to a PDF-to-text conversion artifact.
22,36,glutenfree,"...to meet specific dietary needs, such as **glutenfree**, vegan, or low-sugar diets. By thinking...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The instruction explicitly states not to report hyphenation issues, as they are often parsing errors or stylistic choices."
23,39,auto-immune,... disease                  | A life-long **auto-immune** disorder that occurs when the body's<br...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The term 'auto-immune' is correctly hyphenated as a compound adjective according to British English conventions (OED, Collins)."
