issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,,,,,PARSING_ERROR,100,The compound adjective 'two-stage' requires a hyphen in UK English.
1,,,,,FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
2,,,,,FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
3,,,,,FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
4,,,,,FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
5,,,,,FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
6,,,,,FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
7,,,,,FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
8,,,,,FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
9,,,,,SPELLING_ERROR,100,The word 'through' is incorrectly used; it should be 'thorough' to mean complete or detailed.
10,,,,,SPELLING_ERROR,95,The compound adjective 'creditworthy' should be written as a single word in UK English.
11,,,,,FALSE_POSITIVE,100,The word 'accept' is correctly used here in an instructional context within an answer key.
12,,,,,FALSE_POSITIVE,100,'Vitamin A' is a correct and standard term for a nutrient.
13,,,,,FALSE_POSITIVE,100,'Vitamin C' is a correct and standard term for a nutrient.
14,,,,,ABSOLUTE_GRAMMATICAL_ERROR,100,The repetition of 'the' is a clear grammatical error and should be corrected to a single instance.
15,,,,,SPELLING_ERROR,95,The compound adjective 'creditworthy' should be written as a single word in UK English.
16,,,,,FALSE_POSITIVE,100,'Yoghurt' is the correct UK English spelling for the dairy product.
17,,,,,PARSING_ERROR,90,The compound adjective 'cost-effective' requires a hyphen in UK English when preceding a noun or used predicatively.
18,,,,,PARSING_ERROR,90,The compound adjective 'cost-effective' requires a hyphen in UK English when preceding a noun or used predicatively.
19,,,,,SPELLING_ERROR,95,The UK English spelling for 'flavor' is 'flavour'.
20,,,,,SPELLING_ERROR,95,"The compound adjective 'creditworthy' should be written as a single word, as per standard UK English (OED)."
21,,,,,FALSE_POSITIVE,100,'Vitamin C' is the correct and standard scientific term for the vitamin.
22,,,,,SPELLING_ERROR,95,"The compound adjective 'creditworthy' should be written as a single word, as per standard UK English (OED)."
23,,,,,PARSING_ERROR,95,"The text 'n o sti' is a fragmented word, likely a parsing error from the original document, and appears to be part of a malformed table header."
24,,,,,PARSING_ERROR,95,"The text 'otal T' is a fragmented word, clearly intended to be 'Total', indicating a parsing error in the table header."
25,,,,,PARSING_ERROR,90,The compound adjective 'onscreen' should be hyphenated as 'on-screen' for consistency with other uses within the document and to align with common UK English style for compound adjectives.
26,,,,,PARSING_ERROR,95,"The character '&#x27;' is an escaped apostrophe, indicating a parsing error from the original document, and the spacing around 'Home' is incorrect."
27,,,,,PARSING_ERROR,95,"The character '&#x27;' is an escaped apostrophe, indicating a parsing error from the original document, and the spacing around 'Home' is incorrect."
