issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,outside of,...cess evidence they have been developing **outside of** supervised activities.  {5}------------...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The phrase ""outside of"" is a grammatically acceptable idiom, though ""outside"" is often preferred for conciseness in formal writing."
1,5,are,... The marking scheme for this assessment **are** included in the candidate pack.  All ma...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The singular subject ""The marking scheme"" requires the singular verb ""is,"" not ""are,"" for correct subject-verb agreement."
2,8,independently from,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The phrase ""independently from"" is grammatically correct and commonly used."
3,13,investigationa,...nd results collected<br>during the food **investigationa** comparison of actual results collected<...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where ""investigation"" and ""a"" have merged, likely due to PDF conversion, and requires a space and punctuation."
4,13,resultsan,...hods used to collect and analyse the<br>**resultsan** evaluation of the working characteristi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where ""results"" and ""an"" have merged, likely due to PDF conversion, and requires a space and punctuation."
5,13,investigationa,...ta and results collected in the<br>food **investigationa** comparison of actual results compared t...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where ""investigation"" and ""a"" have merged, likely due to PDF conversion, and requires a space and punctuation."
6,13,usedan,...ty tests<br>and the sensory descriptors **usedan** evaluation of the working characteristi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where ""used"" and ""an"" have merged, likely due to PDF conversion, and requires a space and punctuation."
7,15,credit worthy,"...o the work submitted. Where work is not **credit worthy**, that is, contains nothing of any signi...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"The compound adjective ""creditworthy"" should be written as a single word, not two separate words."
8,16,purposesuitable,... list of the required equipment and its **purposesuitable** variables have been identified with the...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where ""purpose"" and ""suitable"" have merged, likely due to PDF conversion, and requires a space and punctuation."
9,16,describeda,... identified with their roles thoroughly **describeda** thorough description of the methods use...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where ""described"" and ""a"" have merged, likely due to PDF conversion, and requires a space and punctuation."
10,16,testinga,...to collect data using sensory qualities **testinga** thorough description of the methods use...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'testing' and 'a' have been merged due to a PDF-to-text conversion error.
11,17,purposeidentification,... list of the required equipment and its **purposeidentification** of suitable variables with their roles ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'purpose' and 'identification' have been merged due to a PDF-to-text conversion error.
12,17,detaila,...variables with their roles described in **detaila** thorough detailed description of the me...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'detail' and 'a' have been merged due to a PDF-to-text conversion error.
13,17,testinga,...to collect data using sensory qualities **testinga** thorough detailed description of the me...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'testing' and 'a' have been merged due to a PDF-to-text conversion error.
14,17,purposeidentification,... list of the required equipment and its **purposeidentification** of suitable variables with their roles ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'purpose' and 'identification' have been merged due to a PDF-to-text conversion error.
15,17,describeddescriptions,... of suitable variables with their roles **describeddescriptions** of the methods used to collect data usi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'described' and 'descriptions' have been merged due to a PDF-to-text conversion error.
16,17,testingdescriptions,...to collect data using sensory qualities **testingdescriptions** of the methods used to analyse results ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'testing' and 'descriptions' have been merged due to a PDF-to-text conversion error.
17,17,purposeidentification,... list of the required equipment and its **purposeidentification** of suitable variables with a basic desc...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'purpose' and 'identification' have been merged due to a PDF-to-text conversion error.
18,17,rolesa,...ables with a basic description of their **rolesa** list of the methods used to collect dat...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'roles' and 'a' have been merged due to a PDF-to-text conversion error.
19,17,testinga,...to collect data using sensory qualities **testinga** list of methods used to analyse results...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'testing' and 'a' have been merged due to a PDF-to-text conversion error.
20,17,equipmentidentification,...he plan includes:a list of the required **equipmentidentification** of some variables with little or no des...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'equipment' and 'identification' have been merged during PDF-to-text conversion.
21,17,rolea,... with little or no description of their **rolea** list of the methods used to collect dat...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'role' and 'a' have been merged during PDF-to-text conversion.
22,17,dataa,...lea list of the methods used to collect **dataa** list of methods used to analyse results...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'data' and 'a' have been merged during PDF-to-text conversion.
23,20,collectionthorough,... includes:<br>thorough evidence of data **collectionthorough** description of the modified variables i...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'collection' and 'thorough' have been merged during PDF-to-text conversion.
24,20,adjustmentsthorough,...riables including the modifications and **adjustmentsthorough** descriptions of sensory quality testing...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'adjustments' and 'thorough' have been merged during PDF-to-text conversion.
25,20,claritybar,"...ges with detailed annotations which add **claritybar**/pie charts are highly effective, correc...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'clarity' and 'bar' have been merged during PDF-to-text conversion.
26,20,formattedstar,"...ighly effective, correctly labelled and **formattedstar** diagrams are highly effective, correctl...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'formatted' and 'star' have been merged during PDF-to-text conversion.
27,20,formattedtables,"...ighly effective, correctly labelled and **formattedtables** are effectively organised, demonstratin...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'formatted' and 'tables' have been merged during PDF-to-text conversion.
28,24,collectionlimited,...h includes:<br>limited evidence of data **collectionlimited** description of the modified variablesli...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'collection' and 'limited' have been merged during PDF-to-text conversion.
29,24,variableslimited,...tionlimited description of the modified **variableslimited** descriptions of sensory quality testing...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'variables' and 'limited' have been merged during PDF-to-text conversion.
30,24,annotationbar,...ographs/illustrations with little or no **annotationbar** or pie charts are with some labelsstar ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'annotation' and 'bar' have been incorrectly merged during PDF to text conversion; it should likely refer to 'bar charts'.
31,24,labelsstar,...notationbar or pie charts are with some **labelsstar** diagrams are with some labelstables may...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'labels' and 'star' have been incorrectly merged during PDF to text conversion; it should likely refer to 'star diagrams'.
32,24,labelstables,... some labelsstar diagrams are with some **labelstables** may lack clarity.(c) Results are analys...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'labels' and 'tables' have been incorrectly merged during PDF to text conversion; it should likely refer to 'tables'.
