issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,,,,,STYLISTIC_PREFERENCE,80,The word 'outside' is more concise and stylistically preferred in formal writing than 'outside of'.
1,,,,,ABSOLUTE_GRAMMATICAL_ERROR,100,"The singular subject 'The marking scheme' requires the singular verb 'is', not 'are'."
2,,,,,STYLISTIC_PREFERENCE,85,'Independently of' is the more idiomatic and preferred phrasing in standard English compared to 'independently from'.
3,,,,,SPELLING_ERROR,100,"In UK English, the correct spelling for the present participle of 'to trial' is 'trialling', not 'trialing'."
4,,,,,SPELLING_ERROR,100,"In UK English, the correct spelling for the present participle of 'to trial' is 'trialling', not 'trialing'."
5,,,,,SPELLING_ERROR,100,"In UK English, the correct spelling for the present participle of 'to trial' is 'trialling', not 'trialing'."
6,,,,,PARSING_ERROR,95,The compound adjective '3-hour' should be hyphenated when preceding the noun it modifies.
7,,,,,SPELLING_ERROR,100,"In UK English, the correct spelling for the present participle of 'to trial' is 'trialling', not 'trialing'."
8,,,,,SPELLING_ERROR,100,The word 'a' is incorrect and should be 'at' to form the phrase 'at least three suitable factors'.
9,,,,,STYLISTIC_PREFERENCE,70,Using 'ALL' in all caps for emphasis is a stylistic choice that could be replaced with bolding or simply 'all the' for a more formal tone.
10,,,,,PARSING_ERROR,95,"The compound adjective 'creditworthy' should be written as one word in UK English, indicating a parsing error from the original document."
11,,,,,PARSING_ERROR,95,"The compound adjective 'creditworthy' should be written as one word in UK English, indicating a parsing error from the original document."
12,,,,,PARSING_ERROR,95,"The compound adjective 'creditworthy' should be written as one word in UK English, indicating a parsing error from the original document."
13,,,,,PARSING_ERROR,95,"The compound adjective 'creditworthy' should be written as one word in UK English, indicating a parsing error from the original document."
14,,,,,PARSING_ERROR,95,"The compound adjective 'creditworthy' should be written as one word in UK English, indicating a parsing error from the original document."
15,,,,,SPELLING_ERROR,100,"The British English spelling for 'skillfully' is 'skilfully', which is standard for WJEC documents."
16,,,,,SPELLING_ERROR,100,"The British English spelling for 'colors' is 'colours', which is standard for WJEC documents."
17,,,,,SPELLING_ERROR,100,"The British English spelling for 'skillfully' is 'skilfully', which is standard for WJEC documents."
18,,,,,PARSING_ERROR,95,"The compound adjective 'creditworthy' should be written as one word in UK English, indicating a parsing error from the original document."
19,,,,,PARSING_ERROR,95,"A space is missing between 'toasting' and the opening parenthesis, which is a common parsing error."
20,,,,,FALSE_POSITIVE,100,The parenthesis is correctly used to enclose a clarifying term and is not an error.
