issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,1,',...1.jpeg)  Yn arbennig i Gymru. Yn barod i**'**r byd.  Made for Wales. Ready for the wo...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The apostrophe is correctly used in the Welsh contraction 'i'r'.
1,5,wjec-gcse-food-and-nutrition,... adapted?  ![](_page_4_Figure_5.jpeg)  [**wjec-gcse-food-and-nutrition**](https://www.wjec.co.uk/media/kz4d5q2l/...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"This is part of a URL and filename, which is technical text and not subject to standard grammatical or spelling rules."
2,10,really really,"...9_Picture_5.jpeg)  Munsell charts are a **really really** good tool for showing results. But, the...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The repetition of 'really' is a stylistic choice for emphasis and does not constitute an error.
3,12,cup cakes,"... – not so much. Get yourself a batch of **cup cakes**, a desk lamp, different coloured plates...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"'Cupcakes' should be written as a single compound word in British English, as per Oxford English Dictionary."
4,12,softwear,"...ks well, or wrap text, depending on the **softwear** you have in school. How would you label...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,'Softwear' is a misspelling of 'software' in this technological context.
5,13,classbooks,...om wall or make a sheet to put in their **classbooks** to complete every time they cook.  {14}...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"'Classbooks' should typically be written as two words, 'class books', in standard British English."
6,14,wnload,...face/blobstorage/download?nodeId=5384) [**wnload**?nodeId=5384](https://www.wjec.co.uk/umb...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'wnload' is a parsing error, resulting from the word 'download' being split across two parts of a URL link."
7,14,nodeId,...obstorage/download?nodeId=5384) [wnload?**nodeId**=5384](https://www.wjec.co.uk/umbraco/su...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'nodeId' is a technical term used correctly within a URL parameter.
8,17,really good,...or the comparisons. Cocktail sticks are **really good** when it comes to measuring the depth  {...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Really good' is a common and acceptable informal phrase for emphasis, not an objective error."
9,19,a,...cture_1.jpeg)  Yn arbennig i Gymru. Yn b**a**rod i'r byd.  Made for Wales. Ready for ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The letter 'a' is correctly part of the Welsh word 'barod' and is not an error.
