issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,10,',"...ded answers could be '*Parle-moi de*…', **'***Décrismoi*…'or '*Que penses-tu de*…?' f...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The apostrophe is part of the correct formatting for quoted French phrases in the original text.
1,10,',"...ould be '*Parle-moi de*…', '*Décrismoi*…**'**or '*Que penses-tu de*…?' for example.  ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The apostrophe is part of the correct formatting for quoted French phrases in the original text.
2,13,but,...and role play is approximately 2 minutes** but** this will depend on each candidate. The...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before 'but' when it connects two independent clauses.
3,14,role play,... verbs to support them in responding to **role play** tasks and that they have the opportunit...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,"'Role play' as two words is an acceptable compound noun in British English, and hyphenation issues are to be ignored."
4,17,and,...use the *tu* and *vous* forms of address** and** they should have opportunities in role ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before 'and' when it connects two independent clauses.
5,19,famous celebrity,"...terview-style activity where they are a **famous celebrity**, and their partner asks them unseen que...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"'Famous celebrity' is a common and acceptable phrase, not a grammatical error."
6,19,and,...ons for such activities would be crucial** and** it would be important to highlight that...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before 'and' when it connects two independent clauses.
7,21,preparation,"...he learners are the chat-show hosts. In **preparation** they could<br>devise questions, giving ...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,A comma after the introductory phrase 'In preparation' would improve readability but its omission is not an absolute grammatical error.
8,30,week-end,...? Pourquoi ?  Qu'est-ce que tu feras le **week-end** ?  Quel est ton plat préféré ?  Qu'est-...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Week-end' is an acceptable spelling for the French anglicism, as listed in authoritative French dictionaries."
9,30,bu,...anger ? Pourquoi ?  Qu'est-ce que tu as **bu** hier ?  Parle-moi de la dernière fois q...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Bu' is the correct past participle of the French verb 'boire' (to drink) and is used grammatically correctly in the sentence.
10,30,au,...i de la dernière fois que tu es allé(e) **au** restaurant.  Préfères- tu célébrer les ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The French word 'au' is correctly used as a contraction of 'à le' in this context.
11,32,week-end,...quoi pas ?  Qu'est-ce que tu as fait le **week-end** dernier dans ta ville / ton village ?  ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'Week-end' is a commonly accepted and correctly spelled anglicism in French, as confirmed by Larousse."
