issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,Language for leisure and wellbeing,"| Language for travel | 28 |
| **Language for leisure and wellbeing** | 26 |
| **Language for leisure and wellbeing** | 26 |",ErrorCategory.CONSISTENCY_ERROR,95,"The entry 'Language for leisure and wellbeing' is listed twice in the table of contents with the same page number, indicating a redundant entry."
1,6,15%<br>assessment,"| Unit 1 | Oracy | Non-examination<br>assessment | 30% |
| Unit 2 | Reading and Writing | Non-examination<br>**15%**<br>assessment | |
| Unit 3 | Listening | Written examination<br>**20%** | |
| Unit 4 | Reading and Writing | Written examination | 35% |",ErrorCategory.STYLISTIC_PREFERENCE,90,"The weightings for Unit 2 and Unit 3 are inconsistently placed within the 'Type of Assessment' column, rather than the dedicated 'Weighting' column, which affects clarity and consistency of presentation compared to Unit 1 and Unit 4."
2,8,one-side,Candidates can make notes on **one-side** of A4 paper for the read aloud and role play during the preparation time (the notes will not be marked as part of the assessment).,ErrorCategory.SPELLING_ERROR,95,"The noun phrase 'one side' should be written as two separate words, not hyphenated."
3,8,they are,"The role play contains **four** interactions. The teacher will start the role play, **they are** not required to read out the scenario to the candidate and **must not** rephrase the prompts.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"In formal writing, the plural pronoun 'they' should not be used to refer to a singular noun 'teacher' to maintain strict subject-verb and pronoun agreement. Consider 'he/she is' or rephrasing."
4,9,events. The presentation,"- give an oral presentation in which they communicate information, describe and narrate **events. The presentation** may be prepared two weeks in advance of the first timetabled assessment. The presentation can be on a subject of the candidate's choosing which falls within one of the following three broad themes:",ErrorCategory.STYLISTIC_PREFERENCE,85,"A single bullet point should ideally express a single, cohesive idea or action. Splitting it into two grammatically distinct sentences, even with a full stop, creates an awkward and less professional flow for a list item."
5,9,and continuous,"Candidates may refer to prepared bullet points to support them with the delivery of their presentation [max. 30 words], complete **and continuous** sentences are not permitted.",ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrase 'continuous sentences' is redundant and awkward when 'complete sentences' already conveys the intended meaning of prohibiting full, flowing prose."
6,10,one-side,Candidates can make notes on **one-side** of A4 paper on the theme of the conversation during the preparation time (the notes will not be marked as part of the assessment).,ErrorCategory.SPELLING_ERROR,95,"The term 'one side' should be written as two separate words, not hyphenated."
7,10,Or,"Closed questions, which generally lead to yes/no answers, should be followed-up with an opportunity to express opinions or give more information (prompted, for example, by '*Pourquoi* ?' **Or** '*Pourquoi pas* ?').",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The conjunction 'Or' should be lowercase 'or' as it appears mid-sentence.
8,10,Décrismoi,"Useful question openers for extended answers could be '*Parle-moi de*…', '**Décrismoi**…'or '*Que penses-tu de*…?' for example.",ErrorCategory.SPELLING_ERROR,95,"In French, the imperative verb 'Décris' combined with the pronoun 'moi' requires a hyphen: 'Décris-moi'."
9,10,or,"Useful question openers for extended answers could be '*Parle-moi de*…', '*Décrismoi*…'**or** '*Que penses-tu de*…?' for example.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The conjunction 'or' should be lowercase as it appears mid-sentence.
10,11,questions Teachers,When asking **questions Teachers** should use the different areas of the broad theme as well as the candidate's interests and experiences to continue the conversation.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after the introductory participial phrase 'When asking questions' to separate it from the main clause.
11,11,presentations,"If the candidate's choice of **presentations** is from Theme 1, they must be allocated a role play from Theme 2.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase should be 'choice of presentation' (singular) as the candidate makes one choice for their presentation.
12,11,presentations,"If the candidate's choice of **presentations** is from Theme 2, they must be allocated a role play from Theme 1.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase should be 'choice of presentation' (singular) as the candidate makes one choice for their presentation.
13,11,presentations,"If the candidate's choice of **presentations** is from Theme 3, they may be allocated a role play from either Theme 1 or Theme 2.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase should be 'choice of presentation' (singular) as the candidate makes one choice for their presentation.
14,11,"presentation), this","The second candidate must be given the prescribed card from the next row (depending on their choice of **presentation), this** sequence will continue for each teacher (not by the centre as a whole).",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses with only a comma. A semicolon or a conjunction (e.g., 'and') is needed after 'presentation'."
15,12,audio recorded,"The assessment will be carried out by teachers at the centre, **audio recorded** and marked by external examiners.",ErrorCategory.SPELLING_ERROR,90,"As a compound adjective modifying 'assessment', 'audio-recorded' should be hyphenated."
16,12,The Teacher,**The Teacher** may open the packs up to three working days in advance of the first assessment date at the centre.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'teacher' is generally not capitalised unless it is part of a specific title. For consistency with other uses in the document, it should be lowercase."
17,12,conducted on the declaration form,Centres must keep a record of the schedule (including dates) on which the assessments are **conducted on the declaration form**.,ErrorCategory.AMBIGUOUS_PHRASING,85,"The phrasing 'conducted on the declaration form' is ambiguous; it implies the assessments happen *on* the form, rather than being recorded *on* or *using* the form."
18,12,Pack and this,This form is for the centre and candidates to sign and declare that assessments have been conducted according to the requirements in the Assessment **Pack and this** must be submitted to WJEC with the audio recordings.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a comma splice. A comma is needed before 'and' to correctly join the two independent clauses.
19,12,"preparation time,","Candidates are advised to spend their 10 minutes **preparation time,** practising the readaloud sub-vocally, making notes on what to say in the role play and conversation and of course, practising their presentation.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The comma after 'preparation time' is unnecessary and incorrectly separates the noun phrase from its modifying participle.
20,12,readaloud,"Candidates are advised to spend their 10 minutes preparation time, practising the **readaloud** sub-vocally, making notes on what to say in the role play and conversation and of course, practising their presentation.",ErrorCategory.SPELLING_ERROR,95,'Read aloud' should be written as two separate words.
21,12,support with the delivery,The candidate may bring prepared bullet points [maximum 30 words] to **support with the delivery** of the presentation into the assessment.,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'support with the delivery' is less idiomatic; 'support the delivery' or 'support in the delivery' would be more concise and natural.
22,12,one-side,"During the preparation time, the candidate may, if they wish, make notes on the read aloud and role play, and the allocated theme of the conversation on **one-side** of A4 paper and refer to these during the assessment.",ErrorCategory.SPELLING_ERROR,95,"The term 'one side' should be written as two separate words, not hyphenated."
23,13,begins it,Once the recording **begins it** cannot be paused or stopped until the end of the assessment.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after the introductory dependent clause 'Once the recording begins' to separate it from the independent clause.
24,14,understanding including,"• use their knowledge of grammar and vocabulary to support their **understanding including** the relationship between the past, present and future tenses",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"A comma is required before 'including' to separate the participial phrase from the main clause, improving clarity."
25,14,allowing them opportunities,Such activities could be tailored to different contexts and themes and would allow learners to respond to what they hear as well as **allowing them opportunities** to read aloud.,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'allowing them opportunities' is grammatically acceptable but could be improved for better flow; 'providing them with opportunities' or 'allowing them the opportunity' would be more idiomatic.
26,15,in using,"- Support candidates to develop a bank of useful opinions and complex phrases which they are confident **in using**, through including these in starter tasks – for example, categorise the phrases into sentence starter/opinion/reason and consider creating cross topic knowledge organisers from which learners can select a range of phrases.",ErrorCategory.STYLISTIC_PREFERENCE,85,The preposition 'in' is redundant here; 'which they are confident using' or 'with which they are confident' would be more concise and idiomatic.
27,15,cross topic,...categorise the phrases into sentence starter/opinion/reason and consider creating **cross topic** knowledge organisers from which learners can select a range of phrases.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Cross-topic' is typically hyphenated as a compound adjective when preceding a noun in British English.
28,15,questions words,"Again, these may not be linked to a particular theme but would encourage learners to draw upon and recycle **questions words** and structures learned through one theme in a new context.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,'Question words' is a compound noun and should use the singular form 'question' to modify 'words'.
29,16,à mon avis,"Providing a list of sentence starters with opinion phrases such as *je pense que*, **à mon avis**, *selon moi* would be helpful for learners to refer to during such oral activities and to keep as a future reference.",ErrorCategory.CONSISTENCY_ERROR,95,"The French phrase 'à mon avis' is not italicised, unlike 'je pense que' and 'selon moi', creating an inconsistency."
30,17,on online,you may wish to set vocabulary learning tasks **on online** using language learning sites such as ['Memrise'](https://www.memrise.com/) or ['Quizlet'](https://quizlet.com/gb).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The preposition 'on' is redundant before 'online' in this context.
31,17,wholeclass,Online activities such as ['Kahoot'](https://kahoot.it/) and ['Blooket'](https://www.blooket.com/) can also be used as **wholeclass** vocabulary learning activities for specific themes.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'wholeclass' should be hyphenated as 'whole-class' when preceding a noun.
32,17,In order to,"• **In order to** develop learners' vocabulary to speak in different settings,",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'in order to' can often be replaced by the more concise 'to' without loss of meaning.
33,17,role play practice,• It is important that learners can use the *tu* and *vous* forms of address and they should have opportunities in **role play practice** to use both of these to form questions and provide information.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Role-play practice' is a more idiomatic and commonly accepted compound noun phrase.
34,17,"example*, il","Making learners aware of negative phrases for transactions is also advisable, for **example*, il** n'y a pas de…, je n'ai pas de… Opinion phrases such as *je pense que/je crois que/* à *mon avis/selon moi and c*onjunctions for presenting reasons such as *parce que* and *car* should also be practised explicitly*.*",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"A comma is missing after 'example', and an extraneous asterisk is present, likely an OCR error."
35,17,* à,Opinion phrases such as *je pense que/je crois que/** à** *mon avis/selon moi and c*onjunctions for presenting reasons such as *parce que* and *car* should also be practised explicitly*.*,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"Extraneous asterisk before 'à', likely an OCR error."
36,17,mon avis/selon moi and c*onjunctions,Opinion phrases such as *je pense que/je crois que/* à **mon avis/selon moi and c*onjunctions** for presenting reasons such as *parce que* and *car* should also be practised explicitly*.*,ErrorCategory.CONSISTENCY_ERROR,95,"'à mon avis' should be italicised for consistency with other French phrases, and 'conjunctions' should not have an extraneous asterisk."
37,17,explicitly*.*,...should also be practised **explicitly*.*,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"Extraneous asterisk after the full stop, likely an OCR error."
38,17,role play scenarios,It would be helpful to regularly provide learners with different **role play scenarios** from across the 3 themes so they can practise using this language.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Role-play scenarios' is a more idiomatic and commonly accepted compound noun phrase.
39,18,role plays,"Learners may wish to write and perform their own **role plays** around contexts from theme one (language for leisure and wellbeing) and theme two (language for travel), the two themes from which the transactional settings for role plays will be drawn.",ErrorCategory.STYLISTIC_PREFERENCE,85,'Role-plays' is a more idiomatic and commonly accepted compound noun.
40,18,any of the 2 themes,Question phrases could also be practised in this way and taken from **any of the 2 themes** that role plays are set in so that learners are aware that these structures are transferable across themes.,ErrorCategory.STYLISTIC_PREFERENCE,80,'Either of the two themes' is more precise when referring to a choice between exactly two options.
41,18,role plays,Question phrases could also be practised in this way and taken from any of the 2 themes that **role plays** are set in so that learners are aware that these structures are transferable across themes.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Role-plays' is a more idiomatic and commonly accepted compound noun.
42,18,Frenchspeaking,"Presentations could also be encouraged in the style of a podcast on aspects such as a typical dish from a **Frenchspeaking** country, or a learner's favourite music group.",ErrorCategory.SPELLING_ERROR,95,The compound adjective 'Frenchspeaking' should be hyphenated as 'French-speaking'.
43,21,Such as interview,"In preparation they could devise questions, giving consideration to a suitable register. **Such<br>as interview** could be based around any of the 3 themes but may fit particularly well with Theme 3; as student ambassadors are studying at Welsh universities it may be valuable to focus on areas such as their higher education and future plans, looking at how their language journey has informed their study and career choices.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The indefinite article 'an' is missing before 'interview', which is a countable noun starting with a vowel sound."
44,21,In order to support,"•<br>**In order to support** learners to express themselves for different purposes and audiences you could ensure that they are exposed to different text types, for example, listening to or reading language which is designed to persuade, inform, instruct, recount.",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'in order to' can often be replaced by 'to' for greater conciseness without changing the meaning.
45,22,", throughout","Learners will have the opportunity to use their translanguaging<br>skills, **, throughout** the specification.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The comma before 'throughout' is grammatically unnecessary and disrupts the flow of the sentence.
46,22,cross curricular,Learners will be encouraged to make connections with other parts<br>of the curriculum throughout their learning of German with **cross curricular** connections to humanities subjects and of course with the<br>other languages within the LLC Area of Learning Experience.,ErrorCategory.CONSISTENCY_ERROR,90,The compound adjective 'cross-curricular' should be hyphenated for consistency and standard British English usage.
47,22,3 Themes,"Learners can communicate with French speakers via Teams and<br>present PowerPoint or Sway presentations on aspects of the **3 Themes**, such as the effects of climate change in the local area.",ErrorCategory.CONSISTENCY_ERROR,88,"For consistency with 'Theme 2' on page 23, 'Themes' should be capitalised when referring to specific curriculum themes."
48,22,cross curricular,Learners will be encouraged to make connections with other parts<br>of the curriculum throughout their learning of German with **cross curricular** connections to humanities subjects and of course with the<br>other languages within the LLC Area of Learning Experience.,ErrorCategory.CONSISTENCY_ERROR,90,The compound adjective 'cross-curricular' should be hyphenated for consistency and standard British English usage.
49,22,patters,"You could, for example, compare<br>grammatical **patters** such as the placement of adjectives in different<br>languages or the use of formal and informal forms of address.",ErrorCategory.SPELLING_ERROR,95,The word 'patters' is a misspelling of 'patterns'.
50,23,learners,These opportunities are important to Learners because they allow **learners** to develop their curiosity about the French language and French-speaking cultures as well as gaining an understanding of the importance of international languages.,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Learners' is inconsistent; if it refers to a specific group, it should be consistently capitalised throughout the document."
51,23,context,"Study of local, national and international **context** in Theme 2 will also give them a greater awareness of environmental issues and potential solutions.",ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with 'Local, National & International Contexts' as a specific theme, 'Context' should be capitalised here."
52,24,learners,"These opportunities are important to Learners because **learners** will develop respect for<br>languages spoken by others and empathise with other cultural identities, understanding<br>similarities and differences.",ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Learners' is inconsistent; if it refers to a specific group, it should be consistently capitalised throughout the document."
53,24,Career,There are many opportunities to include **Career** and Work-Related Experiences (CWRE) in GCSE<br>French.,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with the heading 'Careers and Work Related Experiences' below, 'Career' should be pluralised to 'Careers'."
54,24,learners,These opportunities are important to Learners because **learners** can appreciate the<br>importance of being multilingual to expand their career opportunities and gain a greater<br>understanding of career options open to them as a result of their study of French,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Learners' is inconsistent; if it refers to a specific group, it should be consistently capitalised throughout the document."
55,24,Work Related,Careers and **Work Related** Experiences,ErrorCategory.CONSISTENCY_ERROR,90,The compound adjective 'Work-Related' should be hyphenated for consistency with its usage elsewhere in the document and standard British English.
56,24,learners,"In pairs, **learners** could plan questions and answers for a mock interview for a part-time job.",ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Learners' is inconsistent; if it refers to a specific group, it should be consistently capitalised throughout the document."
57,25,Learners,There are many opportunities to include Literacy in GCSE French. These opportunities are<br>important to **Learners** because<br>learners will develop listening skills to respond effectively to<br>questions in different contexts.,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Learners' is inconsistent with the subsequent use of 'learners' and the general style of the document, which typically uses lowercase for 'learners'."
58,26,Learners,There are many opportunities to include Numeracy in GCSE French. These opportunities are important to **Learners** because they support learners to analyse numbers and the information they provide in real-life situations.,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Learners' is inconsistent with the subsequent use of 'learners' and the general style of the document, which typically uses lowercase for 'learners'."
59,26,sentences starters,Learners could be provided with **sentences starters** to support their speaking work.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The plural 'sentences' is incorrectly used as an adjective; it should be 'sentence starters' (singular 'sentence' modifying 'starters').
60,28,which,They will learn to manage the timing of their speaking work and identify prompts and bullet points **which** will best support them in their speaking presentations.,ErrorCategory.STYLISTIC_PREFERENCE,90,"For a restrictive clause, 'that' is generally preferred over 'which' in formal British English."
61,28,which,"Learners could plan a presentation on a topic of their choice by identifying key points, researching important information and ensuring that their presentation contains a variety of language **which** allows them to communicate information, describe and narrate events.",ErrorCategory.STYLISTIC_PREFERENCE,90,"For a restrictive clause, 'that' is generally preferred over 'which' in formal British English."
62,29,which,Learners could identify any sound-spelling correspondence rules **which** they need to work on further in preparation for their next oral activity.,ErrorCategory.STYLISTIC_PREFERENCE,90,"For a restrictive clause, 'that' is generally preferred over 'which' in formal British English."
63,29,but transferring it,They could then be asked to re-read the conversation **but transferring it** to the past tense.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The conjunction 'but' implies a contrast which is not present; 'by transferring it' or 'and transfer it' would be grammatically correct.
64,30,N.B these,**N.B these** are not prescriptive or exhaustive and teacher-examiners may ask any questions which elicit a response appropriate to the broad themes.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The abbreviation 'N.B.' should be followed by a full stop and the next word should be capitalised as it starts a new sentence.
65,30,which,N.B. These are not prescriptive or exhaustive and teacher-examiners may ask any questions **which** elicit a response appropriate to the broad themes.,ErrorCategory.STYLISTIC_PREFERENCE,90,"For a restrictive clause, 'that' is generally preferred over 'which' in formal British English."
66,30,ta portable,Est-ce que tu pourrais vivre sans **ta portable**? Pourquoi ? / Pourquoi pas ?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"In French, 'portable' (referring to a mobile phone) is masculine, so it should be 'ton portable'."
67,30,manges sain,Est-ce que tu **manges sain** ?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"In French, the adverb 'sainement' (healthily) should be used with the verb 'manger' (to eat), not the adjective 'sain' (healthy)."
68,30,Préfères- tu,**Préfères- tu** célébrer les anniversaires en famille ou avec les amis ? Pourquoi ?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"In French, when using inversion for a question, there should be no space between the verb and the hyphen (e.g., 'Préfères-tu')."
69,32,normalerment,Comment voyages-tu **normalerment** au collège ?,ErrorCategory.SPELLING_ERROR,98,The word 'normalerment' is a misspelling of the French adverb 'normalement' (normally).
