issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,in both speaking in writing,You will learn how to understand the language and communicate **in both speaking in writing** in realistic settings.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The conjunction 'and' is missing between 'speaking' and 'writing' to form a parallel structure.
1,1,Unit 3,### **Unit 3** - Listening,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Unit' is inconsistent; 'UNIT 1' and 'UNIT 2' are fully capitalised, while 'Unit 3' and 'Unit 4' are not."
2,1,listen a range,"You will **listen a range** of speakers in French/German/Spanish and will demonstrate your understanding of what you have heard by for example, answering multiple choice questions or questions in English/Cymraeg.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'listen' requires the preposition 'to' when followed by an object (e.g., 'listen to a range of speakers')."
3,1,by for example,"You will listen a range of speakers in French/German/Spanish and will demonstrate your understanding of what you have heard **by for example**, answering multiple choice questions or questions in English/Cymraeg.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after 'by' when introducing an example phrase like 'for example'.
4,1,Unit 4,### **Unit 4** - Reading and Writing,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Unit' is inconsistent; 'UNIT 1' and 'UNIT 2' are fully capitalised, while 'Unit 3' and 'Unit 4' are not."
5,1,answers questions,"For this assessment, you will read texts in French/German/Spanish and **answers questions** on them in English/Cymraeg.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"Subject-verb agreement: 'you will read... and answer' is required, not 'answers'."
6,1,in speaking in writing,- You will learn how to communicate clearly and accurately **in speaking in writing**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The conjunction 'and' is missing between 'speaking' and 'writing' to form a parallel structure.
7,1,listening items,- You will develop your understanding of the language by reading and **listening items** in French/German/Spanish.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'listening' requires the preposition 'to' when followed by an object (e.g., 'listening to items')."
8,1,"zone"" highly desirable","A qualification in International Languages shows that you are a good communicator, are willing to learn, adapt and step out of your ""comfort **zone"" highly desirable** for any prospective employer.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a run-on sentence or a comma splice. A conjunction or relative pronoun (e.g., 'which is') is needed to connect 'comfort zone' with 'highly desirable'."
9,1,-TALK,FIND OUT MORE **-TALK** TO YOUR TEACHER TODAY!,ErrorCategory.STYLISTIC_PREFERENCE,85,"A space is typically required after a dash for readability, especially when used as a separator between phrases."
