issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,5,7–10 minutes Preparation time: 10 minutes 30% of qualification 60 marks,The assessment lasts for **7–10 minutes Preparation time: 10 minutes 30% of qualification 60 marks**,ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing is telegraphic and lacks proper sentence structure or punctuation, which is informal for a formal document and hinders professional tone."
1,5,one-side,Candidates can make notes on **one-side** of A4 paper for the read aloud and role play during the preparation time (the notes will not be marked as part of the assessment).,ErrorCategory.SPELLING_ERROR,95,"'One side' should be two words when used as a noun phrase, not hyphenated."
2,5,The candidate will begin by reading aloud the short sentence in the assessed language to demonstrate their understanding of sound-spelling correspondence.,**The candidate will begin by reading aloud the short sentence in the assessed language to demonstrate their understanding of sound-spelling correspondence.**,ErrorCategory.STYLISTIC_PREFERENCE,80,"This sentence is largely redundant as it repeats the instruction from the preceding bolded sentence, which is more specific to the document's subject (French)."
3,5,"role play, they","The teacher will start the **role play, they** are not required to read out the scenario to the candidate and **must not** rephrase the prompts.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses without a coordinating conjunction."
4,5,role play which,Candidates may refer to notes to support them with the read aloud and the role play **which** must be given to the teacher immediately after the assessment.,ErrorCategory.AMBIGUOUS_PHRASING,90,"The pronoun 'which' ambiguously refers to 'the read aloud and the role play' rather than clearly to 'notes', creating confusion about what must be given to the teacher."
5,6,2 minutes Total marks: 11 marks (AO2 – 8 marks) (AO3 – 3 marks),**Total time for read aloud and role play: 2 minutes Total marks: 11 marks (AO2 – 8 marks) (AO3 – 3 marks)**,ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing is telegraphic and lacks proper sentence structure or punctuation, which is informal for a formal document and hinders professional tone."
6,6,events. The presentation,"- give an oral presentation in which they communicate information, describe and narrate **events. The presentation** may be prepared two weeks in advance of the first timetabled assessment.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This bullet point contains a run-on sentence, joining two independent clauses without proper punctuation or a conjunction."
7,6,Marks: (AO1 – 6 marks) (AO3 – 3 marks),### **Marks: (AO1 – 6 marks) (AO3 – 3 marks)**,ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing is telegraphic and lacks proper sentence structure or punctuation, which is informal for a formal document and hinders professional tone."
8,6,"words], complete","Candidates may refer to prepared bullet points to support them with the delivery of their presentation [max. 30 **words], complete** and continuous sentences are not permitted.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses without a coordinating conjunction."
9,6,tenses. Teachers,"- take part in an **unprepared** discussion relating to the presentation in the present, past and future **tenses. Teachers** will lead the discussion by asking questions relating to the presentation.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This bullet point contains a run-on sentence, joining two independent clauses without proper punctuation or a conjunction."
10,7,one-side,Candidates can make notes on **one-side** of A4 paper on the theme of the conversation during the preparation time (the notes will not be marked as part of the assessment).,ErrorCategory.SPELLING_ERROR,95,"The term 'one side' should be written as two separate words, not hyphenated."
11,7,Or,"...prompted, for example, by '*Pourquoi ?*' **Or** '*Pourquoi pas ?').*",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The conjunction 'Or' should not be capitalized mid-sentence.
12,8,questions Teachers,When asking **questions Teachers** should use the different areas of the broad theme as well as the candidate's interests and experiences to continue the conversation.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after the introductory participial phrase 'When asking questions'.
13,8,"presentation), this","...depending on their choice of **presentation), this** sequence will continue for each teacher (not by the centre as a whole).",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, incorrectly joining two independent clauses with only a comma."
14,9,The Teacher,**The Teacher** may open the packs up to three working days in advance of the first assessment date at the centre.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The common noun 'teacher' should not be capitalized in this context.
