issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,6,multiple choice questions,"- answer the following question types: **multiple choice questions**, short answer questions [3-4 words], identifying true statements, matching statements with their source, gap-fill, finish the sentences",ErrorCategory.STYLISTIC_PREFERENCE,85,"The compound adjective 'multiple-choice' should be hyphenated when preceding a noun (e.g., 'multiple-choice questions') for standard British English usage."
1,8,Eric,Listen to Éric and Laura discussing going out. **Eric** speaks first.,ErrorCategory.CONSISTENCY_ERROR,95,"The name of the character is spelled inconsistently as 'Éric' and 'Eric' within the same sentence. Given it's a French exam, 'Éric' should be used consistently."
2,17,one box only for each question,Complete the sentences in English.<br>**one box only for each question.**,ErrorCategory.STYLISTIC_PREFERENCE,80,"This instruction is a fragment and could be rephrased for better grammatical completeness and clarity, such as 'Tick one box only for each question.'"
3,19,however;,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however;** the use of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"When 'however' introduces a parenthetical clause or connects two independent clauses, it should be followed by a comma, not a semicolon."
4,19,.*',The inclusion of *'Credit any other valid response.**'* (or similar instruction) within mark schemes allows for the possible variation in candidates' responses.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The asterisk should not be placed inside the closing single quotation mark unless it is part of the quoted material itself. If it's a footnote indicator, it should be outside."
5,20,Eric,Listen to Éric and Laura discussing going out. **Eric** speaks first.,ErrorCategory.CONSISTENCY_ERROR,90,The name is consistently spelled 'Éric' in the French dialogue and subsequent English questions; this instance should match for consistency.
6,21,Je,"Béatrice : Moi, **Je** voudrais travailler à l'étranger !",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"In French, the pronoun 'je' is not capitalised mid-sentence, even after a comma, unless it begins a new sentence."
7,21,Award mark,"(a) Tick (✓) the three correct statements.

**Award mark** for each correct tick:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase 'Award mark' is grammatically incomplete; it should be 'Award one mark' to specify the quantity.
8,27,work experience,(f) Frédéric thinks that the work experience will be...<br>Award one mark for ticking:<br>• **work experience**.,ErrorCategory.FACTUAL_INACCURACY,98,The provided answer 'work experience' is a repetition of the subject and does not reflect Frédéric's opinion as stated in the French dialogue ('la meilleure chose à faire' - the best thing to do).
9,30,Eric,**M1 : **Eric** : « On peut y aller un autre jour ? »,ErrorCategory.CONSISTENCY_ERROR,95,The name 'Éric' is spelled inconsistently; it should consistently include the acute accent as used elsewhere in the document.
10,32,M1 Frédéric,F1 : Solange : Bon choix - ce sera intéressant ! **M1 Frédéric** : Et le stage en entreprise sera la meilleure chose à faire.,ErrorCategory.CONSISTENCY_ERROR,95,"The format for speaker identification is inconsistent; a colon is missing between 'M1' and 'Frédéric' compared to other instances on the same page (e.g., 'M1 : Frédéric')."
