issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,have decided,Qualifications Wales **have decided** that these qualifications will be introduced in a phased way; WJEC is now developing the qualifications that are to be available for first teaching from September 2025 to meet these requirements.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"As 'Qualifications Wales' refers to a singular entity (an organisation), the verb should be singular ('has decided') to maintain subject-verb agreement in formal British English."
1,4,wellbeing,"A notable area of concern in consultation responses and discussions with stakeholder groups links to learners undertaking non-examination assessment across a number of subjects, and the potential negative impact this could have on learner **wellbeing**.",ErrorCategory.CONSISTENCY_ERROR,90,The term 'wellbeing' is inconsistently hyphenated within the document; 'well-being' is the preferred British English spelling for the noun and is used elsewhere.
2,4,nonexamination,This was particularly prevalent in qualifications where the **nonexamination** assessment is either new or significantly increased.,ErrorCategory.SPELLING_ERROR,95,The term 'non-examination' is a compound adjective and requires a hyphen for correct British English spelling.
3,5,nonexamination,"Some stakeholders felt that **nonexamination** assessment can further disadvantage some learners, for example, those who do not have support or access to adequate resources at home.",ErrorCategory.SPELLING_ERROR,95,The term 'non-examination' is a compound adjective and requires a hyphen for correct British English spelling.
4,5,maximalise,"However, one stakeholder group had a different view on what impacted equity, requesting that the GCSEs have a range of assessment methods, focusing on competency-based continuous assessment methods, rather than coursework or mini-tests, to **maximalise** equity.",ErrorCategory.SPELLING_ERROR,98,'Maximalise' is not a standard British English word; the correct term is 'maximise'.
5,5,Qualification Wales,"When we submit our qualifications to **Qualification Wales** for approval, we must stipulate how we have managed the balance of manageability, engagement, reliability and validity.",ErrorCategory.FACTUAL_INACCURACY,99,"The correct name of the body is 'Qualifications Wales' (plural), as consistently used throughout the rest of the document."
6,6,decision making,"Whilst these are clearly very important considerations, we now propose that we put learner equity at the heart of our design and **decision making** in relation to non-examination assessments.",ErrorCategory.STYLISTIC_PREFERENCE,85,'Decision-making' is typically hyphenated when used as a compound noun in British English for clarity and consistency.
7,6,nonexamination,"Where this is the case, scanning and uploading of **nonexamination** assessment could be time-consuming, particularly when considering the scale of non-examination assessment across the suite of qualifications.",ErrorCategory.SPELLING_ERROR,95,The term 'non-examination' is a compound adjective and requires a hyphen for correct British English spelling.
8,9,states,The Approval Criteria **states** that 30% of the qualification must be assessed by external examination which must include questions on unprepared works.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The noun 'criteria' is plural, therefore the verb should be 'state' to maintain subject-verb agreement."
9,10,and that the assessment approach is appropriate,"Respondents generally agreed or partially agreed that the proposed assessment approach is appropriate, that the unit purposes are appropriate and engaging for learners and meet the qualification purpose and aims, **and that the assessment approach is appropriate**.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrase is a direct repetition of an earlier clause in the same sentence, making it redundant and verbose."
10,10,It also states,"The Approval Criteria from Qualifications Wales state that learners need to develop their knowledge and understanding of different business models, technology and the role of enterprise and entrepreneurship from a local perspective. **It also states** that learners must develop 'an understanding of business processes, incentives, and outcomes, within their cynefin'.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The pronoun 'It' refers to 'Approval Criteria', which is a plural noun, requiring the plural verb 'state' for subject-verb agreement."
11,11,As the Approval Criteria state that one of the non-examination assessments must be marked by the centre and moderated by the WJEC,"Consequently, we have now decided that the fieldwork will be set and marked by WJEC. **As the Approval Criteria state that one of the non-examination assessments must be marked by the centre and moderated by the WJEC**, the Decision Making Exercise will now be marked by centres and moderated by WJEC; this non-examination assessment is 15% of the qualification and is therefore smaller than the fieldwork non-examination assessment at 25%.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The clause repeats information already provided in the preceding sentence, making it redundant and verbose."
12,11,submission we,Following feedback on digital **submission we** will be exploring this further at the next stage of development.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required after the introductory participial phrase 'Following feedback on digital submission'.
13,12,states,"We have retained the focus of Unit 1 on specifically Welsh history, in line with the Approval Criteria, which **states** learners must be given an opportunity to demonstrate their knowledge and understanding of Welsh history, along with Wales and the Welsh perspective.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The noun 'Criteria' is plural, so the verb should be 'state' to maintain subject-verb agreement."
14,13,was manageable,Respondents generally agreed or partially agreed that the proposed qualification structure and assessment approach is appropriate and that the proposed qualification **was manageable** for learners.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The tense 'was manageable' is inconsistent with 'is appropriate' when reporting current findings about the proposed qualification.
15,13,states,"The Approval Criteria from Qualifications Wales **states** that learners must develop knowledge and understanding of Christianity (or Catholic Christianity) and at least one other religion to be chosen from the following list: Buddhism, Hinduism, Islam, Judaism and Sikhism (Sikhi).",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"'Criteria' is a plural noun, so the verb should be 'state' for subject-verb agreement."
16,14,i.e.,"• Relating to the specific units, some respondents felt there were repeated topics **i.e.** human rights, with some respondents questioning why a religious studies qualification was teaching human rights.",ErrorCategory.SPELLING_ERROR,95,"'i.e.' (that is) is misused here; 'e.g.' (for example) or 'such as' would be appropriate as 'human rights' is an example, not a rephrasing."
17,14,nonreligious,"Unit 3 – Human experience and the world focuses on how environmental issues are approached by people with different religious and/or **nonreligious** beliefs, whereas, Unit 4 – Human rights focuses on ethical/moral, human rights issues from religious and non-religious perspectives.",ErrorCategory.CONSISTENCY_ERROR,95,"The term 'non-religious' is hyphenated elsewhere in the document (e.g., page 13), so 'nonreligious' is inconsistent."
18,14,states,"Human rights have historically been an area of study within religious studies, and the Approval Criteria from Qualifications Wales **states** that human rights must be explored through the unique subject lens of religious studies.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"'Criteria' is a plural noun, so the verb should be 'state' for subject-verb agreement."
19,15,from reading,"It will validly secure the requirements of the Approval Criteria that learners must develop their skills **from reading** a variety of text and media, understand and interpret their meaning and message and allow them to further explore ""Cymraeg and me"", whilst building on the skills and knowledge developed as part of the Core Cymraeg qualification.",ErrorCategory.STYLISTIC_PREFERENCE,85,'Through reading' or 'in reading' would be more idiomatic and clearer than 'from reading' in this context.
20,15,and allow them,"It will validly secure the requirements of the Approval Criteria that learners must develop their skills from reading a variety of text and media, understand and interpret their meaning and message **and allow them** to further explore ""Cymraeg and me"", whilst building on the skills and knowledge developed as part of the Core Cymraeg qualification.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The phrasing breaks parallelism with the preceding verbs ('develop', 'understand', 'interpret'). It should be 'and explore' to maintain the list of actions learners must take."
21,16,represent,Our specification writer for this unit is aware of the concerns and we will aim to include writing that **represent** a variety of perspectives reflecting the diverse nature of Welsh citizenship and its cultures in order to make the unit interesting and relevant to learners.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The verb 'represent' should be 'represents' to agree with the singular subject 'writing'.
22,16,nonexamination,The Approval Criteria states that 50% of the qualification will be assessed through **nonexamination** assessment and marked by the centre.,ErrorCategory.STYLISTIC_PREFERENCE,90,"For consistency and clarity in British English, 'non-examination' should be hyphenated, as seen elsewhere in the document."
23,16,nonexamination,"To help support concerns about teacher and learner workload, we have spread the **nonexamination** assessments across the Autumn and Spring terms to aid manageability.",ErrorCategory.STYLISTIC_PREFERENCE,90,"For consistency and clarity in British English, 'non-examination' should be hyphenated, as seen elsewhere in the document."
