issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Approved,- [Made for Wales GCSE Qualification Approval Criteria](https://qw-website-prod-master.azurewebsites.net/media/t1lhpbwl/made-for-wales-gcse-qualification-approval-criteria.pdf) which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'Approved' should be lowercase 'approved' as it is not part of a proper noun title in this context, but rather a descriptive adjective."
1,3,contains,- [Standard Conditions of Recognition](https://qualifications.wales/media/p54jkkfe/standard-conditions-of-recognition.pdf) which **contains** the rules that all awarding bodies and their qualifications must meet when offering qualifications to learners in Wales.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'Standard Conditions of Recognition' is plural, so the verb should be 'contain' to maintain subject-verb agreement."
2,3,subject specific,- Approval Criteria for GCSE [French](https://qualifications.wales/media/jyrjdwvm/gcse-french-approval-criteria.pdf) which sets out the **subject specific** requirements for GCSE French qualifications from September 2025 and beyond.,ErrorCategory.STYLISTIC_PREFERENCE,88,The compound adjective 'subject-specific' should be hyphenated when preceding the noun 'requirements'.
3,4,compris,"Addition of the following twelve items to the core vocabulary: à<br>l'extérieur, abandonner, chanteur, **compris**, éducatif,<br>employeur, grands-parents, important, instrument, mignon,<br>rare, sorte.",ErrorCategory.CONSISTENCY_ERROR,85,"In a vocabulary list where other verbs are presented as infinitives (e.g., 'abandonner'), 'compris' (past participle/adjective) is inconsistent if intended as a verb; the infinitive 'comprendre' would be expected."
4,5,for arrangements,3.2                                                   Overview **for arrangements** for non-examination assessment (NEA),ErrorCategory.STYLISTIC_PREFERENCE,90,The phrasing 'Overview for arrangements' is grammatically awkward; 'Overview of arrangements' is the standard and more natural English idiom.
5,5,Curriculum for,Appendix C: Opportunities for embedding elements of the **Curriculum for** |                                                       |                                                                | 92 |,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The phrase 'Curriculum for' is incomplete; the full and correct title is 'Curriculum for Wales'.
6,6,7-10 minutes Preparation time,Non-examination assessment Speaking test: **7-10 minutes Preparation time**: 10 minutes,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The lack of punctuation between '7-10 minutes' and 'Preparation time' creates a run-on phrase, making the information unclear; a full stop or semicolon is required."
7,7,subject specific skills,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/languages-literacy-and-communication/principles-of-progression/) along with the [statements of what](https://hwb.gov.wales/curriculum-for-wales/languages-literacy-and-communication/statements-of-what-matters/) [matters](https://hwb.gov.wales/curriculum-for-wales/languages-literacy-and-communication/statements-of-what-matters/) and those **subject specific skills** and concepts outlined in the ['Designing your](https://hwb.gov.wales/curriculum-for-wales/languages-literacy-and-communication/designing-your-curriculum/) [Curriculum'](https://hwb.gov.wales/curriculum-for-wales/languages-literacy-and-communication/designing-your-curriculum/) section of the Languages, Literacy and Communication Area of Learning and Experiences.",ErrorCategory.STYLISTIC_PREFERENCE,90,Compound adjectives like 'subject-specific' should be hyphenated when they precede the noun they modify for clarity and adherence to formal style.
8,7,in order to be effective,"use languages **in order to be effective** as they interact, explore ideas, express viewpoints, knowledge and understanding",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'in order to' can often be replaced by 'to' for conciseness in formal writing without altering the meaning.
9,8,high frequency and high utility,a core vocabulary list based on **high frequency and high utility** vocabulary[5](#page-7-4),ErrorCategory.STYLISTIC_PREFERENCE,90,Compound adjectives such as 'high-frequency' and 'high-utility' should be hyphenated when they precede the noun 'vocabulary' for improved readability and formal consistency.
10,8,reoccurring,"It will allow teachers to deliver the vocabulary through their own engaging and motivating topics, using language in a natural and **reoccurring** way.",ErrorCategory.SPELLING_ERROR,95,"The correct word for something that happens repeatedly is 'recurring', not 'reoccurring'."
11,9,which supports,"The qualification allows learners to develop a strong foundation of knowledge, skills and understanding **which supports** progression to post-16 study and prepares learners for life, learning and work.",ErrorCategory.STYLISTIC_PREFERENCE,85,"In a restrictive clause (one essential to the meaning of the noun it modifies, without a preceding comma), 'that' is generally preferred over 'which' in British English for clarity."
12,9,specific as possible,Language used should be **specific as possible**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The comparative construction requires 'as' before 'specific' to form 'as specific as possible'.
13,9,up to date version,WJEC will inform centres of any amendments and the most **up to date version** of the specification will always be on the website.,ErrorCategory.STYLISTIC_PREFERENCE,90,The phrase 'up-to-date' functions as a compound adjective and should be hyphenated when preceding the noun 'version'.
14,11,Equal but no additional credit,**Equal but no additional credit** will be given for learners who use vocabulary outside the specified list in productive tasks.,ErrorCategory.STYLISTIC_PREFERENCE,85,The phrasing 'Equal but no additional credit' is awkward and could be rephrased for greater clarity and conciseness in a formal document. It implies a contradiction.
15,16,"message, learners are not expected to understand every word, the purpose is to be able to write about the work they have studied.","It is likely that some works will contain words that are outside of the vocabulary lists; in this case teachers will need to ensure that learners understand the general **message, learners are not expected to understand every word, the purpose is to be able to write about the work they have studied.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This sentence contains multiple independent clauses joined only by commas, creating a comma splice."
