issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,1,th,...mmer of 2025:  - Unit 1: Tuesday 13<sup>**th**</sup> May (am) - Unit 2: Friday 6<sup>t...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The text '13<sup>th</sup>' is a standard and correct way to write ordinal numbers in dates.
1,1,th,...h</sup> May (am) - Unit 2: Friday 6<sup>**th**</sup> June (pm)  ## **UNIT 3 NEA ADMINI...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The text '6<sup>th</sup>' is a standard and correct way to write ordinal numbers in dates.
2,1,th,"...eted before Christmas, is Friday 17<sup>**th**</sup> January. You should have plastic ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The text '17<sup>th</sup>' is a standard and correct way to write ordinal numbers in dates.
3,1,and,...ease let us know if you don't have these** and** we can ensure they are with you in plen...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,The absence of a comma before the conjunction 'and' does not create ambiguity or hinder comprehension in this sentence.
4,1,href,"...led in as well. Please email them to <a **href**=""GCSEGeography@wjec.co.uk"">GCSEGeograph...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'href' is an HTML attribute and not part of the prose text requiring linguistic correction.
5,2,and,...ext year so good luck with your planning** and** we hope these fieldwork projects are su...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,The absence of a comma before the conjunction 'and' does not create ambiguity or hinder comprehension in this sentence.
6,2,and,...ork has gone into getting it ready to go** and** we would like to extend our thanks to e...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,The absence of a comma before the conjunction 'and' does not create ambiguity or hinder comprehension in this sentence.
7,2,th,...ion Conference will be held from 15<sup>**th**</sup> to 17<sup>th</sup> April at Oxfor...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The text '15<sup>th</sup>' is a standard and correct way to write ordinal numbers in dates.
8,2,th,... be held from 15<sup>th</sup> to 17<sup>**th**</sup> April at Oxford Brookes Universit...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The text '17<sup>th</sup>' is a standard and correct way to write ordinal numbers in dates.
9,3,href,"...visit the Digital Resources website (<a **href**=""https://resources.wjec.co.uk/"">https:/...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'href' is an HTML attribute and not part of the prose text requiring linguistic correction.
10,3,2024,"...derstanding of the subject content.  In **2024** we had, for the first time in a long ti...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The number '2024' is correctly used as a year in the sentence.
11,3,href,"...n be found on our Appointees page at <a **href**=""https://appointees.wjec.co.uk"">https:/...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'href' is an HTML attribute within a link tag and not part of the prose text requiring linguistic correction.
