issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,sixstage,"...rtake a fieldwork enquiry following the **sixstage** enquiry process.  The assignment, which...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'six-stage' should be hyphenated when preceding the noun it modifies; its unhyphenated form is a common parsing error.
1,16,',...ind the correct definition for the term **'**drainage basin' below.<br>Put a tick (✓)...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The HTML entity `&#x27;` is a parsing artifact and should be a single quote.
2,16,rainfallprecipitation,...trees in winter so less interception of **rainfallprecipitation** is higher in winter so more water in th...,PassCode.LTC,ErrorCategory.PARSING_ERROR,98,The words 'rainfall' and 'precipitation' have been merged during parsing and should be separated.
3,16,riverslower,...s higher in winter so more water in the **riverslower** temperatures meaning less evaporation f...,PassCode.LTC,ErrorCategory.PARSING_ERROR,98,The words 'rivers' and 'lower' have been merged during parsing and should be separated.
4,16,surfacessnow,...meaning less evaporation from the river **surfacessnow** is more likely in winter so adds water ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,98,The words 'surfaces' and 'snow' have been merged during parsing and should be separated.
5,16,meltingwinter,...winter so adds water to the rivers when **meltingwinter** storms bring more rainfall so more wate...,PassCode.LTC,ErrorCategory.PARSING_ERROR,98,The words 'melting' and 'winter' have been merged during parsing and should be separated.
6,16,dischargeprecipitation,"... rivers more quickly and increases flow/**dischargeprecipitation** is higher in winter, so soil becomes sa...",PassCode.LTC,ErrorCategory.PARSING_ERROR,98,The words 'discharge' and 'precipitation' have been merged during parsing and should be separated.
7,16,quicklylower,"...re quickly and water enters rivers more **quicklylower** temperatures give frozen ground, so les...",PassCode.LTC,ErrorCategory.PARSING_ERROR,98,The words 'quickly' and 'lower' have been merged during parsing and should be separated.
8,16,riverssnow,...ater is available to evaporate from the **riverssnow** is more likely in winter so adds water ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,98,The words 'rivers' and 'snow' have been merged during parsing and should be separated.
9,16,happenwinter,...zen underneath and infiltration doesn't **happenwinter** storms bring more rainfall that leads t...,PassCode.LTC,ErrorCategory.PARSING_ERROR,98,The words 'happen' and 'winter' have been merged during parsing and should be separated.
10,17,so,"...ants willing to do low paid, menial jobs** so** a range of employment is available - mi...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The omission of a comma before 'so' does not create ambiguity and is a valid stylistic choice.
11,18,well structured,"...onse that has purpose, is organised and **well structured**. | | 3    | 5-6 marks<br>A good discuss...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,Hyphenation of 'well structured' as a predicate adjective is a stylistic choice and not strictly required.
12,18,well structured,... a clear response that is organised and **well structured**.                                       ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,Hyphenation of 'well structured' as a predicate adjective is a stylistic choice and not strictly required.
