issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,8,UKLearners,...>Regional inequalities in Wales and the **UKLearners** should know what is meant by inequality...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'UK' and 'Learners' have been merged due to a PDF parsing error, requiring a space or punctuation."
1,8,educationemploymentinvestmentracereligionrural,"...s and the UK, such as those seen in:<br>**educationemploymentinvestmentracereligionrural** and urban locationsservices (such as br...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,Multiple distinct words representing categories of inequality have been merged into a single token due to a PDF parsing error.
2,8,locationsservices,"...ntinvestmentracereligionrural and urban **locationsservices** (such as broadband connectivity, mobile...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'locations' and 'services' have been merged due to a PDF parsing error.
3,8,some of south,"...t Swansea have the highest speeds, with **some of south** and north-east Wales being relatively g...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,85,"The phrasing 'some of south' is grammatically awkward and should be rephrased, e.g., 'some parts of south'."
4,9,out,...closure of these industries also led to **out** migration. This can cause a spiral of d...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,'Out migration' should be hyphenated as 'out-migration' or written as one word 'outmigration' to form a correct compound noun.
5,10,econom y,"...mmes, Young Persons Guarantee, circular **econom y** - education – targeted funding e.g. Pup...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'economy' has been split into two tokens due to a PDF parsing error.
6,11,among,...lieve that this has created a hierarchy **among** nations and given a<br>higher value to ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The word 'among' is used correctly in this context; 'amongst' is a stylistic alternative but not a correction.
7,11,colonialismdemographic,"...r>of the development gap, including:<br>**colonialismdemographic** characteristicsgeographical locationglo...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,Multiple distinct words representing causes of the development gap have been merged into a single token due to a PDF parsing error.
8,11,characteristicsgeographical,"...p, including:<br>colonialismdemographic **characteristicsgeographical** locationglobalisationindustrialisationn...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,Multiple distinct words representing causes of the development gap have been merged into a single token due to a PDF parsing error.
9,11,locationglobalisationindustrialisationnatural,...demographic characteristicsgeographical **locationglobalisationindustrialisationnatural** resourcesurbanisation.                 ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,Multiple distinct words representing causes of the development gap have been merged into a single token due to a PDF parsing error.
10,11,resourcesurbanisation,...onglobalisationindustrialisationnatural **resourcesurbanisation**.                                       ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'resources' and 'urbanisation' have been merged due to a parsing error during PDF conversion.
11,14,Organisations,...e access to markets. - Non-Governmental **Organisations** (NGOs) that work in countries to develo...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Organisations' is correctly spelled and capitalized in this context as part of a proper noun/term.
12,17,degradatio n,"...labour, which can lead to environmental **degradatio n** - profits often repatriated to home cou...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'degradation' has been split by an extraneous space due to a parsing error.
13,17,eco -friendly,"...ent promotes sustainable tourism, where **eco -friendly** resorts help to conserve marine biodive...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'eco-friendly' has an incorrect space around the hyphen due to a parsing error.
14,17,eco -tourism,...ough tourism:  - promoting cultural and **eco -tourism** can provide communities with a sustaina...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound noun 'eco-tourism' has an incorrect space around the hyphen due to a parsing error.
15,18,costa-ricas-eco-tourism,...ld/30/1/costa-ricas-eco-tourism/) [30/1/**costa-ricas-eco-tourism**/](https://www.hoddereducationmagazines....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,This is part of a URL path and should not be flagged as a linguistic error.
