issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,shou,...-------------------------  | 1 (b). You **shou** | uld use evidence from Map 2 and your ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'should' has been incorrectly split across two table cells due to a parsing error.
1,6,uld,...------------------  | 1 (b). You shou | **uld** use evidence from Map 2 and your own kn...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'should' has been incorrectly split across two table cells due to a parsing error.
2,6,th,...                    |     |  | | Define **th**          | ne term 'development gap'.  ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'the' has been incorrectly split across two table cells due to a parsing error.
3,6,ne,...      |     |  | | Define th          | **ne** term 'development gap'.                ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'the' has been incorrectly split across two table cells due to a parsing error.
4,25,fewest,... living wage in the North West and West/**fewest** jobs paid below the living wage in the ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The word 'fewest' is used correctly in this context to describe the lowest number of jobs paid below the living wage.
5,25,fewest,... Newport (and others nearby named) have **fewest** jobs paid below the living wage. (NB - ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The word 'fewest' is used correctly in this context to describe the lowest number of jobs paid below the living wage.
6,25,fewest,... Newport (and others nearby named) have **fewest** jobs paid below the living wage. Areas ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The word 'fewest' is used correctly in this context to describe the lowest number of jobs paid below the living wage.
7,25,second highest,"...d below the living wage. Areas with the **second highest** percentages include Powys, Wrexham and ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'second-highest' should be hyphenated for clarity and correct grammar.
8,25,second lowest,"...rn counties of Wales and areas with the **second lowest** percentage include Carmarthenshire, Mon...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'second-lowest' should be hyphenated for clarity and correct grammar.
9,29,MNC's,...a positive multiplier effect when other **MNC's** then locate in the same areas. If they ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The apostrophe is incorrectly used for a plural; the correct form is 'MNCs' (without an apostrophe).
10,34,well structured,"...onse that has purpose, is organised and **well structured**. |  {35}-------------------------------...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The compound adjective 'well structured' is correctly unhyphenated when used as a predicate adjective following the noun.
11,36,Milankovitch Cycles,...d one mark for naming the process:<br>• **Milankovitch Cycles**<br>• sunspots<br>• volcanic eruptions. ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Milankovitch Cycles' is a correctly capitalized proper noun and scientific term.
12,36,Milankovitch Cycles,...                   |   |  |   | |     | **Milankovitch Cycles**<br>• Long term changes to the Earth's o...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"This is a table entry where 'Milankovitch Cycles' is a term followed by its definition, not a grammatical error."
13,36,northern hemisphere,...br>• Currently perihelion is during the **northern hemisphere** winter and so ice and snow generally on...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"While 'Northern Hemisphere' is also common, 'northern hemisphere' is acceptable when used descriptively in a general context."
14,37,the,...impacts will vary on a much finer scale **the** can be shown in a global map with a han...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The word 'the' should be 'than' to form the correct comparative phrase 'finer scale than can be shown'.
15,37,are,...n one country.<br>• The type of impacts **are** not clear.<br>• No year is given on the...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The singular subject 'type' requires the singular verb 'is', not 'are', for subject-verb agreement."
16,37,symbolsso,...shown in a global map with a handful of **symbolsso** it is not clear exactly where the impac...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'symbols' and 'so' have been incorrectly merged due to a parsing error and should be separated.
17,37,are,...acts are felt.<br>• The type of impacts **are** not clear as some impacts can be positi...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The singular subject 'type' requires the singular verb 'is', not 'are', for subject-verb agreement."
18,39,low lying,... include:  - Rising sea levels flooding **low lying** coastal land and beaches. - Contaminati...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'low-lying' should be hyphenated when it precedes the noun it modifies.
19,39,changea,...ronmental and social impacts of climate **changea** balanced approach that clearly explains...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'change' and 'a' have been incorrectly merged due to a parsing error and should be separated.
20,39,countrya,"...lains both types of impact on one named **countrya** clear response that has purpose, is org...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'countrya' is a parsing error where 'country' and 'a' have been merged due to PDF extraction.
