issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,assessmentthere,...t:<br>all candidates participate in the **assessmentthere** is sufficient supervision to ensure tha...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'assessment' and 'there' have been merged due to a PDF conversion error.
1,5,authenticatedthe,... supervision to ensure that work can be **authenticatedthe** work an individual candidate submits fo...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'authenticated' and 'the' have been merged due to a PDF conversion error.
2,5,outside of,...cess evidence they have been developing **outside of** supervised activities.  ## **Authentica...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Outside of' is a grammatically correct and commonly used idiom in British English.
3,7,5 th,...4 marks and samples via IAMIS will be ****5 th** May** in the year of award. The moderat...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The space between '5' and 'th' is an OCR artifact; it should be '5th'.
4,9,issuespecify,...>geographical concepts<br>linked to the **issuespecify** the locality of the<br>issue.[6 marks] ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'issue' and 'specify' have been merged due to a PDF conversion error.
5,9,bookletpermitted,...Not permitted<br>Resources:<br>resource **bookletpermitted** notes.Collaboration:<br>Not permitted |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'booklet' and 'permitted' have been merged due to a PDF conversion error.
6,10,notesmake,"...ditional research within your permitted **notesmake** reference to people, economy and the en...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'notes' and 'make' have been merged due to a PDF conversion error.
7,10,environmentjustify,"...ke reference to people, economy and the **environmentjustify** your choice.[10 marks]<br>(b) Explain w...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'environment' and 'justify' have been merged due to a PDF conversion error.
8,10,bookletpermitted,...Not permitted<br>Resources:<br>resource **bookletpermitted** notes.Collaboration:<br>Not permitted |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'booklet' and 'permitted' have been merged due to a PDF conversion error.
9,13,well structured,... basic. | The response is organised and **well structured**. Communication is clear and logical. | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Well structured' is grammatically acceptable as a predicate adjective and does not require hyphenation in this context.
10,20,well structured,...>a clear response that is organised and **well structured**.               | 2    | 3-4 marks<br>A ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The compound adjective 'well structured' is correctly unhyphenated when used predicatively after the noun 'response'.
