issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,Unit,Learners should also develop their mathematical and statistical skills whilst preparing for this **Unit**. The depth of coverage required of these skills is given in Appendix B on pages 44-45 of the specification.,ErrorCategory.CONSISTENCY_ERROR,85,"The term 'unit' is inconsistently capitalised; it should be lowercase when used as a generic noun, even when referring to the specific unit being discussed, to maintain consistency with other uses in the document (e.g., 'the different units', 'overview of unit')."
1,5,practice,"Centres are encouraged to undertake further fieldwork during the course, either to support learning or to **practice** for the Unit 2 enquiry, however this is not required to be declared on the fieldwork statement.",ErrorCategory.SPELLING_ERROR,95,"In British English, 'practise' is the verb (to do something repeatedly to improve skill), and 'practice' is the noun (the act of doing something repeatedly). Here, the verb form is required."
2,5,Unit,Learners should also develop their mathematical and statistical skills whilst preparing for this **Unit**. The depth of coverage required of these skills is given in Appendix B on pages 44-45 of the specification.,ErrorCategory.CONSISTENCY_ERROR,85,"The term 'unit' is inconsistently capitalised; it should be lowercase when used as a generic noun, even when referring to the specific unit being discussed, to maintain consistency with other uses in the document (e.g., 'the different units', 'overview of unit')."
3,6,Unit,Learners should also develop their mathematical and statistical skills whilst preparing for this **Unit**. The depth of coverage required of these skills is given in Appendix B on pages 44-45 of the specification.,ErrorCategory.CONSISTENCY_ERROR,85,"The term 'unit' is inconsistently capitalised; it should be lowercase when used as a generic noun, even when referring to the specific unit being discussed, to maintain consistency with other uses in the document (e.g., 'the different units', 'overview of unit')."
4,6,Unit,Learners should also develop their mathematical and statistical skills whilst preparing for this **Unit**. The depth of coverage required of these skills is given in Appendix B on pages 44-45 of the specification.,ErrorCategory.CONSISTENCY_ERROR,85,"The term 'unit' is inconsistently capitalised; it should be lowercase when used as a generic noun, even when referring to the specific unit being discussed, to maintain consistency with other uses in the document (e.g., 'the different units', 'overview of unit')."
5,6,Phase 1,In **Phase 1** of the decision-making candidates will need to research the issue beyond the Resource Pack.,ErrorCategory.STYLISTIC_PREFERENCE,75,"Unless 'Phase' is part of a formal proper noun or specific title, it should generally be lowercase when referring to a generic stage in a process (e.g., 'phase 1')."
6,10,i.e.:,"Assessment Pack this contains the Sample Assessment Materials (SAMs) **i.e.:** sample exam papers and sample NEA tasks, relevant controls for the NEA and, mark schemes",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The abbreviation 'i.e.' should be followed by a comma, not a colon, in formal British English writing."
7,10,"and,","Assessment Pack this contains the Sample Assessment Materials (SAMs) i.e.: sample exam papers and sample NEA tasks, relevant controls for the NEA **and,** mark schemes",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not precede 'and' when it connects two items in a simple list.
8,10,said documents,This guide builds upon the information in the specification and assessment pack to help further your understanding of **said documents**.,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'said documents' is overly formal and legalistic; 'these documents' or 'the documents mentioned' would be more appropriate and natural for an educational guide.
9,10,"column, we use","When you look through the specification you will notice in the amplification **column, we use** a variety of wording before the list of content learners need to know; we call this a stem:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses ('you will notice in the amplification column' and 'we use a variety of wording') with only a comma."
10,10,example they,"When learners are required to demonstrate greater depth than<br>straight identification or recall, for **example they** can apply<br>knowledge to familiar or unfamiliar contexts and can synthesise and<br>evaluate information for a given purpose.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required after 'for example' when it introduces an explanatory phrase or clause.
11,11,then use,"This is one of the most widely used command words. If an explanation is required, **then use** two command words: 'describe and explain'.",ErrorCategory.STYLISTIC_PREFERENCE,75,The word 'then' is often redundant in 'if...then' constructions and can be omitted for conciseness and improved flow.
