issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,2,year 10 and complete all units by the end of year 11,"A: Although it is designed as a two-year qualification where candidates will start in September of **year 10 and complete all units by the end of year 11**, centres may choose to deliver the qualification as appropriate to their curriculum plan.",ErrorCategory.CONSISTENCY_ERROR,90,"Specific academic years (Year 10, Year 11) should be consistently capitalised, as seen elsewhere in the document (e.g., 'Year 10' later on the same page)."
1,2,year 11 candidates,"Also Unit 4 requires a maturity and depth of knowledge in terms of critical analysis and evaluation, and this would suggest **year 11 candidates** may be better equipped to attempt this assessment at the very end of the course.",ErrorCategory.CONSISTENCY_ERROR,90,"Specific academic years (Year 11) should be consistently capitalised, as seen elsewhere in the document (e.g., 'Year 10' later in the same paragraph)."
2,2,published.,### **Q: When will resources such as textbooks and online blended learning be **published.**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A question requires a question mark at the end, not a full stop."
3,2,Blended Learning resources,"Instead, we have produced Blended Learning Resources which are available now in Welsh and English. The **Blended Learning resources** are editable so that centres can tailor them to their individual settings.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Blended Learning Resources' is capitalised earlier in the sentence, suggesting it is a specific title or proper noun and should be consistently capitalised."
4,2,"knowledge organisers, however these","For each topic area there are also **knowledge organisers, however these** are not editable.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma splice is used to join two independent clauses with 'however'. A semicolon or a full stop should be used before 'however' in this context.
5,2,"NEA, however most","A: The Assessment Packs set out the necessary controls for each **NEA, however most** of the NEA tasks will be completed under high control conditions",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma splice is used to join two independent clauses with 'however'. A semicolon or a full stop should be used before 'however' in this context.
6,3,field work experiences,A: Fieldwork is the foundation of good geographical enquiry so we would encourage you to plan valuable **field work experiences**.,ErrorCategory.CONSISTENCY_ERROR,95,"The term 'fieldwork' is consistently used as a single word elsewhere in the document (e.g., 'fieldwork skills', 'fieldwork statement')."
7,3,e.g. from,"primary data is collected, and/or relevant secondary data **e.g. from** previous fieldwork is used.",ErrorCategory.STYLISTIC_PREFERENCE,85,"In formal British English, 'e.g.' is typically followed by a comma."
8,3,to practice and justify,"Opportunities should be identified to **practice and justify** appropriate methods of data presentation and analysis,",ErrorCategory.SPELLING_ERROR,95,"In British English, 'practise' is the verb and 'practice' is the noun. Here, the verb form is required."
9,3,"pre-release material where the candidate must use their own research, and knowledge and understanding. Pre-release is a new feature","A: It is a similar type of assessment but has specific tasks to be completed in response to **pre-release material where the candidate must use their own research, and knowledge and understanding. Pre-release is a new feature** of the GCSE specification.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Pre-release' is inconsistently capitalised. Given it refers to a specific feature of the specification, it should be consistently capitalised (e.g., 'Pre-release material' and 'Pre-release')."
