issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,5,to the order,"Aside from Unit 1, which is an introductory unit, there is no hierarchy **to the order** the units should be taught.",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'hierarchy to the order' is less common and slightly awkward; 'hierarchy in the order' or 'hierarchy regarding the order' would be clearer and more stylistically appropriate in British English.
1,7,one of themes,"If candidates choose to resit this unit later, they must undertake a fieldwork enquiry for **one of themes** selected for the academic year they are submitting.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite article 'the' is missing before 'themes' to complete the phrase 'one of the themes'.
2,7,to practice,"Centres are encouraged to undertake further fieldwork during the course, either to support learning or **to practice** for the Unit 2 enquiry, however this is not required to be declared on the fieldwork statement.",ErrorCategory.SPELLING_ERROR,95,"In British English, 'practise' is the verb and 'practice' is the noun. The context requires the verb form."
3,9,in practice used by geographers,"AO4 Select, use and apply skills and techniques **in practice used by geographers** to support geographical enquiry.",ErrorCategory.AMBIGUOUS_PHRASING,85,"The phrasing 'in practice used by geographers' is awkward and could be rephrased for clarity, such as 'skills and techniques used in practice by geographers'."
4,9,who would have the confidence,"The aim is for learners to become independent, balanced and sympathetic geographers **who would have the confidence** and skills to investigate their local environment.",ErrorCategory.STYLISTIC_PREFERENCE,80,The conditional 'would have' makes the sentence less direct; 'who have the confidence' or 'with the confidence' would be more concise and assertive.
5,9,supports/impacts on,Learners should also understand how each stage **supports/impacts on** all subsequent stages and therefore the importance of early decisions made.,ErrorCategory.STYLISTIC_PREFERENCE,90,The use of a slash to combine verbs is informal and awkward in a formal document; it should be written as 'supports and impacts on' or 'supports and impacts'.
6,9,based around,"As the rest of the unit is taught, examples and discussions could be **based around** this concept.",ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'based around' is sometimes used informally, 'based on' is the more precise and formally accepted idiom in British English."
7,11,cynefin,Learners can then swap their predicted outcomes with a partner who would then add justification to the predictions and highlight where **cynefin** is/could be addressed.,ErrorCategory.CONSISTENCY_ERROR,95,"The term 'Cynefin' is capitalised earlier in the document, indicating it is treated as a specific concept or proper noun, and should be consistently capitalised."
8,12,learner's,Teachers should emphasise the value of using GIS to enhance the accuracy of **learner's** fieldwork outcomes.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The possessive form for multiple learners should be 'learners'' (plural possessive), not 'learner's' (singular possessive)."
9,12,sides,Put an OS map extract on the whiteboard and ask learners to identify potential study **sides** for 3 different fieldwork investigations.,ErrorCategory.SPELLING_ERROR,98,The word 'sides' is incorrect in this context; 'sites' is the correct term for locations of study.
10,13,consideration are,Class discussion about what sympathetic geographers and ethical **consideration are**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Subject-verb agreement error: 'consideration' is singular, but the plural verb 'are' is used. It should be 'ethical considerations are'."
11,14,justify why,"They are told that there is only time to collect data from<br>three sites, so the groups need to identify their chosen sites and **justify why**.",ErrorCategory.STYLISTIC_PREFERENCE,80,'Justify why' is informal; 'justify their choice' or 'provide justification for their selection' would be more appropriate in formal writing.
12,15,as to how,Thought should be given **as to how** the data is going to be used which may influence how it is recorded.,ErrorCategory.STYLISTIC_PREFERENCE,80,'As to how' is wordy; 'to how' or 'about how' would be more concise and professional.
