issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,have decided,Qualifications Wales **have decided** that these qualifications will be introduced in a phased way; WJEC is now developing the qualifications that are to be available for first teaching from September 2025 to meet these requirements.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"'Qualifications Wales' is a singular entity (an organisation), and therefore requires the singular verb 'has decided' for subject-verb agreement."
1,4,nonexamination,This was particularly prevalent in qualifications where the **nonexamination** assessment is either new or significantly increased.,ErrorCategory.SPELLING_ERROR,98,The compound word 'non-examination' requires a hyphen in British English.
2,5,well-being,"Welsh Government's guidance on **well-being**, equity and inclusion [\(https://hwb.gov.wales/evaluation-improvement-and](https://hwb.gov.wales/evaluation-improvement-and-accountability/the-national-resource-evaluation-and-improvement/what-is-the-national-resource/well-being-equity-and-inclusion/)[accountability/the-national-resource-evaluation-and-improvement/what-is-the-national](https://hwb.gov.wales/evaluation-improvement-and-accountability/the-national-resource-evaluation-and-improvement/what-is-the-national-resource/well-being-equity-and-inclusion/)[resource/well-being-equity-and-inclusion/\)](https://hwb.gov.wales/evaluation-improvement-and-accountability/the-national-resource-evaluation-and-improvement/what-is-the-national-resource/well-being-equity-and-inclusion/) describes equity as meaning equitable access to opportunities to perform in assessments, access to the same materials and spaces, unbiased assessment tasks, preventing prejudice or stereotyping and allowing students to access the assessment regardless of their background.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'wellbeing' is used as a single word on page 4, and consistency should be maintained throughout the document. 'Wellbeing' is increasingly common as a single word in British English."
3,5,nonexamination,"Some stakeholders felt that **nonexamination** assessment can further disadvantage some learners, for example, those who do not have support or access to adequate resources at home.",ErrorCategory.SPELLING_ERROR,98,The compound word 'non-examination' requires a hyphen in British English.
4,5,maximalise,"However, one stakeholder group had a different view on what impacted equity, requesting that the GCSEs have a range of assessment methods, focusing on competency-based continuous assessment methods, rather than coursework or mini-tests, to **maximalise** equity.",ErrorCategory.SPELLING_ERROR,95,"The correct British English spelling is 'maximise' (or 'maximize' in American English), not 'maximalise'."
5,5,Qualification Wales,"When we submit our qualifications to **Qualification Wales** for approval, we must stipulate how we have managed the balance of manageability, engagement, reliability and validity.",ErrorCategory.FACTUAL_INACCURACY,99,"The official name of the organisation is 'Qualifications Wales' (plural), as used consistently elsewhere in the document."
6,6,nonexamination,"Where this is the case, scanning and uploading of **nonexamination** assessment could be time-consuming, particularly when considering the scale of non-examination assessment across the suite of qualifications.",ErrorCategory.SPELLING_ERROR,98,The compound word 'non-examination' requires a hyphen in British English.
7,8,on or volume,"A couple of respondents proposed setting limits on the time spent **on or volume** of work to be submitted for the portfolio; however, after consulting further with stakeholders via our Development Advisory Group, we have decided not to proceed with this but to retain the current flexibility.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The preposition 'on' applies to 'time spent' but not correctly to 'volume of work', creating a grammatical error in parallel structure. It should be 'on the time spent or the volume of work'."
8,9,*.,"The Approval Criteria note that as part of the devising unit, learners must submit a reflective log in a non-prescribed format; this will be compulsory to access the full range of marks**\*.** Our specification writers are aware of the concerns raised within the consultation and are working to ensure that the reflective log does not impede learners' creativity and enthusiasm within the devising unit.",ErrorCategory.SPELLING_ERROR,95,"An extraneous asterisk character is present at the end of the sentence, disrupting punctuation."
9,9,states,Respondents noted concerns about the unprepared work(s) in the external examination. The Approval Criteria **states** that 30% of the qualification must be assessed by external examination which must include questions on unprepared works.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'The Approval Criteria' is plural, requiring the verb 'state' for subject-verb agreement, not 'states'."
10,9,Wales and that,"The majority of respondents agreed that the proposed qualification structure and assessment approach is appropriate, that the unit purposes are appropriate and engaging for learners and meet the qualification purpose and aims, that the proposed qualification will support the Curriculum for **Wales and that** the proposed qualification will be manageable for learners.",ErrorCategory.STYLISTIC_PREFERENCE,80,A comma (Oxford comma) before 'and that' would improve readability in this long list of parallel clauses.
11,9,states,We are unable to address this as it reflects a decision made by Qualifications Wales; the Approval Criteria **states** that a total of 35% of the qualification must be assessed by digital-only external examination which must be set and marked by the awarding body.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'The Approval Criteria' is plural, requiring the verb 'state' for subject-verb agreement, not 'states'."
