issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Approved,- [Made for Wales GCSE Qualification Approval Criteria](https://qw-website-prod-master.azurewebsites.net/media/t1lhpbwl/made-for-wales-gcse-qualification-approval-criteria.pdf) which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'Approved' is used as a verb (past participle) in this context and should therefore be lowercase, not capitalised."
1,3,contains,- [Standard Conditions of Recognition](https://qualifications.wales/media/p54jkkfe/standard-conditions-of-recognition.pdf) which **contains** the rules that all awarding bodies and their qualifications must meet when offering qualifications to learners in Wales.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'Standard Conditions of Recognition' is plural, so the verb should be 'contain' to agree with it."
2,3,subject specific,- Approval Criteria for GCSE [Geography](https://qualifications.wales/media/5v1k5uk5/gcse-geography-approval-criteria.pdf) which sets out the **subject specific** requirements for GCSE Geography qualifications from September 2025 and beyond.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Subject-specific' should be hyphenated as a compound adjective modifying 'requirements' for clarity and standard British English usage.
3,7,subject specific,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/humanities/principles-of-progression/) along with the [statements of](https://hwb.gov.wales/curriculum-for-wales/humanities/statements-of-what-matters/) [what matters](https://hwb.gov.wales/curriculum-for-wales/humanities/statements-of-what-matters/) and those **subject specific** skills and concepts outlined in the '[Designing](https://hwb.gov.wales/curriculum-for-wales/humanities/designing-your-curriculum/)  [your Curriculum](https://hwb.gov.wales/curriculum-for-wales/humanities/designing-your-curriculum/)' section of the Humanities Area of Learning and Experiences.",ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'subject-specific' should be hyphenated when preceding a noun for clarity in British English.
4,7,"page 34, the Guidance","We have also considered where the qualification can generate opportunities for integrating the learning experiences noted in 'Opportunities for integration of learning experiences' on **page 34, the Guidance** for Teaching will include further information on integrating these learning experiences into delivery.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This sentence contains a comma splice, joining two independent clauses without a coordinating conjunction or appropriate punctuation."
5,8,and by critical understanding,"explore how and why interpretations may differ **and by critical understanding** of a range of interpretations and representations derived from a variety of evidence, be better placed to evaluate their validity",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'and by critical understanding' is awkward; 'and, by critically understanding' or 'and through critical understanding' would improve clarity and flow."
6,8,climate change is influenced,heighten learners' awareness of how the future sustainability of our world and **climate change is influenced** by the impact of those actions,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The compound subject 'sustainability of our world and climate change' requires a plural verb 'are influenced'. Additionally, 'by the impact of those actions' is redundant; 'by those actions' would be more concise."
7,9,subject specific,- supporting the **subject specific** considerations for geography[3](#page-8-2) by:,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'subject-specific' should be hyphenated when preceding a noun for clarity in British English.
8,9,concepts have been mapped,Each of these **concepts have been mapped** to concepts stated within the Welsh Government 'designing your curriculum' guidance as well as those within the statements of what matters and progression steps for humanities.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The singular subject 'Each' requires the singular verb 'has been mapped' for subject-verb agreement.
9,10,specific as possible,"Language used should be **specific as possible**. Staying informed and adaptable is crucial, as inclusive language promotes dignity and equity.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The comparative structure requires 'as' before 'specific' to form 'as specific as possible'.
