issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,WJEC marked,This is a **WJEC marked** (external) non-examination assessment.,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'WJEC-marked' should be hyphenated when it precedes the noun 'assessment' for clarity in British English.
1,5,is summarised,The acceptable formats for evidence of each of the tasks **is summarised** in the task tables.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Subject-verb agreement error; the plural subject 'formats' requires the plural verb 'are'.
2,6,in the February,These forms should be sent in digitally when all candidate work is being submitted **in the February** of the year of the final award.,ErrorCategory.STYLISTIC_PREFERENCE,85,"The definite article 'the' is generally omitted before month names when referring to the month itself, not a specific instance."
3,6,Candidate's,"The forms must be completed and securely attached to the **Candidate's** work, which is then uploaded via Surpass.",ErrorCategory.CONSISTENCY_ERROR,90,"'Candidate' is not a proper noun and should not be capitalised in this context, especially as it is lowercase elsewhere in the document."
4,6,refer the,You should **refer the** JCQ Instructions for conducting non-examination assessment for further information on managing assessment within our GCSE Qualifications.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The verb 'refer' in this context requires the preposition 'to' when indicating a source of information.
5,7,Centres,Further topics will be released at a later date; **Centres** can select one of the two topics.,ErrorCategory.CONSISTENCY_ERROR,90,"The common noun 'centre' should be lowercase for consistency, as used elsewhere in the document (e.g., 'by the centre', 'your centre')."
6,7,Centres,**Centres** have the flexibility to decide when during the year learners undertake the assignment.,ErrorCategory.CONSISTENCY_ERROR,90,"The common noun 'centre' should be lowercase for consistency, as used elsewhere in the document."
7,7,one of topics,"If candidates choose to re-sit this unit at a later date, they must undertake a fieldwork enquiry for **one of topics** selected for the academic year they are submitting.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite article 'the' is missing before 'topics'. The correct phrasing is 'one of the topics'.
8,7,Centres,"**Centres** will be expected to carry out fieldwork for the Unit 2 enquiry on one day, outside the classroom and school grounds.",ErrorCategory.CONSISTENCY_ERROR,90,"The common noun 'centre' should be lowercase for consistency, as used elsewhere in the document."
9,7,practice,"Centres are encouraged to undertake further fieldwork during the course, either to support learning or to **practice** for the Unit 2 enquiry, however this is not required to be declared on the fieldwork statement.",ErrorCategory.SPELLING_ERROR,95,"In British English, 'practise' is the verb and 'practice' is the noun. Here, a verb is required, so it should be 'practise'."
10,7,Centres,"**Centres** are encouraged to undertake further fieldwork during the course, either to support learning or to practice for the Unit 2 enquiry, however this is not required to be declared on the fieldwork statement.",ErrorCategory.CONSISTENCY_ERROR,90,"The common noun 'centre' should be lowercase for consistency, as used elsewhere in the document."
11,10,topicgive,You should:<br>link your question/s to a given **topicgive** a predicted and justified outcome.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space or punctuation mark (e.g., semicolon or comma) is missing between 'topic' and 'give', creating a run-on."
12,10,title)explain,"Ordnance Survey (OS) maps to locate fieldwork study sites using four and six figure grid references, ensuring that they have all the correct information (for example, scale, north arrow, key and **title)explain** why the location is appropriate.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space or punctuation mark (e.g., semicolon or comma) is missing between 'title)' and 'explain', creating a run-on."
13,10,risksrecognise,"You should:<br>recognise what safety risks need consideration and suggest strategies that will reduce these **risksrecognise** the need to be sympathetic geographers, by recognising ethical considerations, including human rights and diversity and/or the need to minimise the",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space or punctuation mark (e.g., semicolon or comma) is missing between 'risks' and 'recognise', creating a run-on."
14,10,fieldwork projects<br>consider,"environmental impact of<br>**fieldwork projects<br>consider** the impact of<br>other restrictions on data<br>collection<br>(for example,<br>accessibility, time,<br>equipment and travel).",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The sentence is a run-on; a full stop or semicolon is needed after 'projects' to separate the two independent clauses, even with the line break."
15,13,dataaccurately,"understanding the<br>reliability and validity<br>of secondary **dataaccurately** reference all<br>sources of secondary<br>data by citing sources,<br>using a bibliography/<br>resource list.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The words 'data' and 'accurately' are merged, and a comma is missing between them, hindering readability and grammatical correctness."
16,14,analyse,You should:**analyse** them in relation to the original enquiry questions.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the colon, which is required for correct punctuation and readability."
17,14,question/suse,draw supported conclusions which answer the original enquiry **question/suse** relevant primary and secondary data to support the conclusions.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The words 'question/s' and 'use' are merged, and a comma is missing between them, hindering readability and grammatical correctness."
18,14,Marks,Explain how your enquiry conclusions link to geographical concepts.<br>[6 **Marks**],ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Marks' is inconsistent with other instances of '[X marks]' used throughout the document, which use lowercase 'marks'."
19,14,enquirycollecting,planning the **enquirycollecting** evidenceprocessing and presenting dataanalysing and applying datadrawing conclusions.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The words 'enquiry' and 'collecting' are merged, and a comma is missing between them, hindering readability and grammatical correctness."
20,14,evidenceprocessing,planning the enquirycollecting **evidenceprocessing** and presenting dataanalysing and applying datadrawing conclusions.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The words 'evidence' and 'processing' are merged, and a comma is missing between them, hindering readability and grammatical correctness."
21,14,dataanalysing,collecting evidenceprocessing and presenting **dataanalysing** and applying datadrawing conclusions.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The words 'data' and 'analysing' are merged, and a comma is missing between them, hindering readability and grammatical correctness."
