issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,0,"| Tasks | 6 |
| Mark scheme | **0** |",ErrorCategory.FACTUAL_INACCURACY,98,A page number cannot be '0'. This is a factual inaccuracy in the table of contents.
1,5,assessmentthere is sufficient,The centre must ensure that:<br>all candidates participate in the **assessmentthere is sufficient** supervision to ensure that work can be authenticatedthe work an individual candidate submits for assessment is his/her own.Candidates' work must always remain within the centre and must be stored securely between timetabled sessions.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,This is a run-on sentence; 'assessment' and 'there is sufficient' are two independent clauses that should be separated by a full stop and 'There' should be capitalised.
2,5,authenticatedthe work an,The centre must ensure that:<br>all candidates participate in the assessmentthere is sufficient supervision to ensure that work can be **authenticatedthe work an** individual candidate submits for assessment is his/her own.Candidates' work must always remain within the centre and must be stored securely between timetabled sessions.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,This is a run-on sentence; 'authenticated' and 'the work an' are two independent clauses that should be separated by a full stop and 'The' should be capitalised.
3,5,own.Candidates' work,The centre must ensure that:<br>all candidates participate in the assessmentthere is sufficient supervision to ensure that work can be authenticatedthe work an individual candidate submits for assessment is his/her **own.Candidates' work** must always remain within the centre and must be stored securely between timetabled sessions.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,This is a run-on sentence; 'his/her own' and 'Candidates' work' are two independent clauses that should be separated by a full stop and 'Candidates'' should be capitalised.
4,5,formats for evidence of each of the tasks is summarised,The acceptable **formats for evidence of each of the tasks is summarised** in the task tables. Any modified assessment must enable the candidate to generate the evidence required in this table.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'formats' is plural, so the verb should be 'are summarised' to maintain subject-verb agreement."
5,6,authentic; reliable,"- evidence presented for assessment is valid, **authentic; reliable** and credible",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A semicolon is incorrectly used to separate items in a simple list of adjectives; a comma should be used instead.
6,6,refer the JCQ Instructions,You should **refer the JCQ Instructions** for conducting non-examination assessment for further information on managing assessment within our GCSE Qualifications.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'refer' in this context requires the preposition 'to' (i.e., 'refer to the JCQ Instructions')."
7,8,the United Nations',"demonstrate how your chosen option links to specific goals from the:
  - **the United Nations'** Sustainable Development Goals (SDGs)
  - the well-being goals in the Well-being of Future Generations Act (Wales) 2015.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The definite article 'the' is redundant before 'United Nations'' when it follows 'from the:'.
8,8,the well-being goals,"demonstrate how your chosen option links to specific goals from the:
  - the United Nations' Sustainable Development Goals (SDGs)
  - **the well-being goals** in the Well-being of Future Generations Act (Wales) 2015.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The definite article 'the' is redundant before 'well-being goals' when it follows 'from the:'.
9,9,issuespecify,You should:<br>demonstrate the<br>geographical concepts<br>linked to the **issuespecify** the locality of the<br>issue.[6 marks],ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The words 'issue' and 'specify' are merged, likely missing a full stop or comma to separate two distinct instructions."
10,9,bookletpermitted,Resources:<br>resource **bookletpermitted** notes.Collaboration:<br>Not permitted,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The words 'booklet' and 'permitted' are merged, likely missing a comma or conjunction between them."
11,10,option,(c) Assess the potential positive and negative impacts that you have presented for each of the proposed **option** to form a sustainability impact assessment.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The word 'option' should be plural ('options') to agree with 'each of the proposed options'.
12,10,notesmake,"You should:<br>analyse the information in the resource booklet and any additional research within your permitted **notesmake** reference to people, economy and the environmentjustify your choice.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a run-on sentence; the clause 'make reference' should be separated from 'notes' by a semicolon or full stop, as it is a new item in the list of actions."
13,10,environmentjustify,"analyse the information in the resource booklet and any additional research within your permitted notesmake reference to people, economy and the **environmentjustify** your choice.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a run-on sentence; the clause 'justify your choice' should be separated from 'environment' by a semicolon or full stop, as it is a new item in the list of actions."
14,10,SDGs)the,Demonstrate how your chosen option for the location in question links to specific goals from:<br>the United Nations' Sustainable Development Goals (**SDGs)the** well-being goals in the Well-being of Future Generations Act (Wales) 2015.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The two items in the list following the colon are run together; they should be separated by a semicolon or presented as separate bullet points.
15,14,benefits to,A sound response that<br>communicates some **benefits to**<br>the economy.,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with other descriptions in the mark scheme (e.g., 'benefits for society' and 'benefits for the economy' in other columns), 'benefits for' is preferred over 'benefits to' when referring to the recipient."
16,14,benefits to,A sound response that<br>communicates some **benefits to**<br>the environment.,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with other descriptions in the mark scheme (e.g., 'benefits for society' and 'benefits for the environment' in other columns), 'benefits for' is preferred over 'benefits to' when referring to the recipient."
17,15,negative impacts to,A sound response that<br>communicates some of the<br>**negative impacts to** the<br>environment.,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with other descriptions in the mark scheme (e.g., 'negative impacts for society' and 'negative impacts for the economy' in the same column), 'negative impacts for' is preferred over 'negative impacts to' when referring to the recipient."
18,20,wellbeing goals,"A very good response, which demonstrates: clear knowledge and understanding of the **wellbeing goals** relevant to the option chosen and location in question • the selection of appropriate wellbeing goals • an organised and well-structured approach.",ErrorCategory.CONSISTENCY_ERROR,90,The term 'well-being goals' is used on page 21 and aligns with the official title 'Well-being of Future Generations Act (Wales) 2015'. Consistent hyphenation is required.
19,20,"SDGs, that","A good response, which demonstrates: • some knowledge and understanding of appropriate **SDGs, that** may be relevant to the chosen option and location in question • the selection of some appropriate SDGs • a generally clear and structured approach.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not precede 'that' when introducing a restrictive clause. 'that may be relevant' is a restrictive clause necessary to the meaning of 'SDGs'.
