issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,8,outside of,... specified in this specification. Words **outside of** the specification grammar and vocabular...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The phrase 'outside of' is grammatically acceptable, though 'outside' alone would also be correct."
1,8,but,... used that is beyond the defined content** but** that fulfils the task requirements.  Th...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,A comma is not grammatically required before 'but' when it connects two dependent clauses.
2,11,"""","...or positive/negative viewpoints (e.g., ***""**Einige glauben, dass Chatrooms nützlich ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The '&quot;' entity is an artifact of the PDF-to-markdown conversion, representing a valid quotation mark."
3,11,"""","...e glauben, dass Chatrooms nützlich sind **""*** vs. *""Andere sagen, dass Chatrooms gef...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The '&quot;' entity is an artifact of the PDF-to-markdown conversion, representing a valid quotation mark."
4,11,"""","...n, dass Chatrooms nützlich sind ""* vs. ***""**Andere sagen, dass Chatrooms gefährlich ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The '&quot;' entity is an artifact of the PDF-to-markdown conversion, representing a valid quotation mark."
5,11,"""","..., dass Chatrooms gefährlich sein können **""***). Learners should look out for conjunc...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The '&quot;' entity is an artifact of the PDF-to-markdown conversion, representing a valid quotation mark."
6,13,several learner,"...ng sentence parts. Discuss answers from **several learner** s to collect a range of responses , e.g...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The space between 'learner' and 's' is a parsing error; the word should be 'learners' (plural).
7,14,Ping -Pong,...luding with their personal viewpoint. - **Ping -Pong**: Learners can work in pairs: Learner A ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'Ping-Pong' is a compound noun that should be hyphenated without spaces, indicating a parsing error."
8,14,er,"...rticiples last, e.g. *ich bin gefahren, **er** ist gegangen*.  {15}-------------------...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'er' is a correct German pronoun used appropriately within a German example sentence.
9,16,be practise,"...-----  Once adapted, reading skills can **be practise** using the following activities: • For s...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The verb form 'practise' is incorrect; it should be the past participle 'practised' after 'can be'.
10,16,Schweiz,...ht ein Praktikum bei einer Firma in der **Schweiz**. Er ist jeden Tag in einem Büro und mus...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"Schweiz is a correct German proper noun for Switzerland, used appropriately in the German example sentence."
11,16,Wien,"..., e.g. *Noah arbeitet für eine Firma in **Wien**. – N(oah) w(orks) f(or) a c(ompany) i(n...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"Wien is a correct German proper noun for Vienna, used appropriately in the German example sentence."
12,16,(,...r eine Firma in Wien. – N(oah) w(orks) f**(**or) a c(ompany) i(n) V(ienna).*  {17}---...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The parenthesis is correctly used as part of an abbreviation explanation and is not a grammatical error.
13,18,German speaking,...| Look at the history of immigration in **German speaking** countries to understand where and why i...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,German-speaking should be hyphenated as a compound adjective for improved clarity and adherence to British English style conventions.
14,18,Goethe Institut,.../kul/bib/fio.html – rent films from the **Goethe Institut**.        | | Engage with the language fr...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Goethe Institut is a correct proper noun for the German cultural institution.
15,21,German speaking,"...Example  • Compare schools in Wales and **German speaking** countries.  <span id=""page-20-0""></span...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,German-speaking should be hyphenated as a compound adjective for improved clarity and adherence to British English style conventions.
16,22,German speaking,"...habits, comparing the sustainability in **German speaking** countries and Wales, while practicing t...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,German-speaking should be hyphenated as a compound adjective for improved clarity and adherence to British English style conventions.
17,22,Im,...e Windräder. - #Alternativenergie.* Or ***Im** Meer gibt es zu viel Plastik. - # Wasse...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Im is a correct German word (contraction of 'in dem') used appropriately in the German example sentence.
18,23,German speaking,... reports. - News reports from authentic **German speaking** websites offer up-to-date resources tha...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,German-speaking should be hyphenated as a compound adjective for improved clarity and adherence to British English style conventions.
19,24,German Speaking,...e of texts related to school systems in **German Speaking** Countries and Wales. Compare and contra...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,German-speaking should be hyphenated as a compound adjective for improved clarity and adherence to British English style conventions.
20,27,German speaking,... Give learners a budget for a trip to a **German speaking** country e.g.350 Euro. Ask them to plan ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The compound adjective 'German-speaking' requires a hyphen when preceding a noun in formal British English.
21,30,Schweiz,"...dir vor, du bist ein Reiseleiter in der **Schweiz**.""* Learners create a narrative around t...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Schweiz' is a correctly used German proper noun within a German language prompt.
22,29,Schweiz,"...dir vor, du bist ein Reiseleiter in der **Schweiz**.""* Learners create a narrative around t...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Schweiz' is the correct German word for Switzerland and is used appropriately within the German example phrase.
