issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,13,but,... used that is beyond the defined content** but** that fulfils the task requirements.  | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The conjunction 'but' correctly connects a dependent clause to the main clause, and no comma is grammatically required."
1,16,outside of,... some works will contain words that are **outside of** the vocabulary lists; in this case teac...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Outside of' is an accepted idiomatic expression in British English and is grammatically correct in this context.
2,16,but,... used that is beyond the defined content** but** that fulfils the task requirements.  | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The conjunction 'but' correctly connects a dependent clause to the main clause, and no comma is grammatically required."
3,20,but,... used that is beyond the defined content** but** that fulfils the task requirements.  | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The conjunction 'but' correctly connects a dependent clause to the main clause, and no comma is grammatically required."
4,23,centres,...aterials.  The task will be released to **centres** each year in March prior to the summer ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Centres' is the correct British English spelling and is used consistently throughout the document.
5,26,an,"...                           | genitive: (**an**)statt, auβerhalb, innerhalb, trozt, wäh...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'An' is part of the German preposition '(an)statt' and is not an English grammatical error; this is a parsing artifact from the mixed-language table.
6,26,er,"...                    | subject: ich, du, **er**, sie, es, man, wir, ihr, Sie, sie (I, y...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Er' is a correct German subject pronoun and is not an English grammatical error; this is a parsing artifact from the mixed-language table.
7,30,ai,"...eben, Fehler, Meer, denken      | | [ei/**ai**]                                      |...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Ai' is part of a German sound-spelling correspondence and is not an English grammatical error; this is a parsing artifact from the mixed-language table.
8,30,au,...| Vater                            | | [**au**]                                       ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Au' is part of a German sound-spelling correspondence and is not an English grammatical error; this is a parsing artifact from the mixed-language table.
9,31,ever changing,"...-----------------------  As language is **ever changing**, the Duden could accept the new use of ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Ever changing' is a grammatically correct and commonly used compound adjective, and hyphenation is a stylistic choice not required for clarity."
