issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,2025 For,Teaching from **2025 For** award from 2027,ErrorCategory.STYLISTIC_PREFERENCE,85,"The two phrases are presented without punctuation or a conjunction, which can make the meaning slightly unclear; a comma or full stop would improve readability."
1,1,Qualifications Wales regulated,This **Qualifications Wales regulated** qualification is not available to centres in England.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The compound adjective 'Qualifications Wales-regulated' requires hyphenation when preceding the noun 'qualification' for clarity in British English.
2,3,amplification,Understanding the specification **amplification**,ErrorCategory.STYLISTIC_PREFERENCE,80,The term 'amplification' is an unusual choice in this context; 'elaboration' or 'detailed explanation' would be clearer and more conventional.
3,4,"learning,","As such, ideas that could be incorporated into teaching and **learning,** can be found in the Guidance for Teaching documents for these qualifications, and we encourage teachers to research these documents for further guidance.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not separate the subject ('ideas that could be incorporated into teaching and learning') from its main verb ('can be found').
4,5,"should,","The examples given are neither prescriptive, nor exhaustive and teachers can and **should,** deliver the vocabulary through their own engaging and motivating topics, using language in a natural and reoccurring way.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not separate the auxiliary verbs ('can and should') from the main verb ('deliver').
5,5,reoccurring,"The examples given are neither prescriptive, nor exhaustive and teachers can and should, deliver the vocabulary through their own engaging and motivating topics, using language in a natural and **reoccurring** way.",ErrorCategory.STYLISTIC_PREFERENCE,85,"While 'reoccurring' is not incorrect, 'recurring' is generally preferred and more idiomatic when referring to something that happens repeatedly or at intervals, which fits the context of language use."
6,7,detail,"There will be a teacher booklet that will provide instructions and guidance as to how to conduct the assessment, and WJEC will provide **detail** as to the read aloud and role-play card to be allocated to each learner in the Assessment Pack.",ErrorCategory.STYLISTIC_PREFERENCE,90,The plural 'details' is more appropriate when referring to specific pieces of information rather than a general sense of thoroughness.
7,8,role play card,"The Assessment Pack will be updated and released annually and will include an updated **role play card** allocation table along with the specific period in which the speaking assessments, and Unit 2 must take place.",ErrorCategory.CONSISTENCY_ERROR,95,"The term 'role-play card' is hyphenated on page 7 when used as a compound adjective, and should be hyphenated here for consistency."
8,13,i.e:,"Assessment Pack this contains the Sample Assessment Materials (SAMs) **i.e:** sample exam papers and sample NEA tasks, relevant controls for the NEA and mark schemes",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after 'i.e.' in British English for correct punctuation.
9,13,said documents,This guide builds upon the information in the specification and assessment pack to help further your understanding of **said documents**.,ErrorCategory.STYLISTIC_PREFERENCE,80,The use of 'said' as an adjective (meaning 'previously mentioned') is overly formal and less common in modern educational guides; 'these documents' or 'the aforementioned documents' would be more appropriate.
10,14,components identify,Analyse | Separate information into **components identify** their characteristics.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A conjunction (e.g., 'and') or punctuation is needed to correctly link 'components' and 'identify their characteristics' to form a grammatically sound phrase."
11,14,given info,Consider | Review and respond to **given info**.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Info' is an informal abbreviation; 'information' should be used in formal documents.
12,14,Support case,Justify | **Support case** with evidence.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A definite or indefinite article (e.g., 'a' or 'the') is missing before 'case' to make the phrase grammatically correct."
13,14,Definition,Name | **Definition**,ErrorCategory.FACTUAL_INACCURACY,90,'Definition' is not the meaning of the command word 'Name'; 'Identify or make a list' (as stated in the subsequent entry) is a more accurate definition for 'Name'.
14,14,To suggest as appropriate.,Recommend/<br>Improve | **To suggest as appropriate.**,ErrorCategory.FACTUAL_INACCURACY,90,The definition 'To suggest as appropriate' only applies to 'Recommend' and does not accurately define 'Improve'.
15,14,situation or issue,"Reflect | To consider thoughts, experiences, **situation or issue**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Articles are missing before 'situation' and 'issue', or the nouns should be pluralised (e.g., 'a situation or an issue' or 'situations or issues')."
16,14,intention making,Review | To consider something with the **intention making** changes if necessary.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The preposition 'of' is missing after 'intention' (i.e., 'with the intention of making changes')."
