issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,8,non-verbal,"All responses will be **non-verbal** and in Cymraeg/English, apart from the response in Section B to the extended writing task.",ErrorCategory.FACTUAL_INACCURACY,95,"Written responses, even if not spoken, are a form of verbal communication as they use words. The term 'non-verbal' is therefore inaccurate in this context."
1,10,audience,• understand and respond to different types of language<br>written for different purposes and **audience**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The noun 'audience' should be plural 'audiences' to agree with 'different purposes' and 'different types of language'.
2,10,gist to,Learners<br>could be asked to skim and scan a passage for the **gist to** a specific<br>question.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Gist of' is the more idiomatic and common prepositional phrase in British English.
3,11,? What are the opening times? Ask,"Rather than ask learners specific questions about a fact, e.g. Where does the festival take place **? What are the opening times? Ask** learners to give **two details** about the festival instead.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This sentence contains a run-on sentence and incorrect punctuation; the two example questions are followed by a question mark, then immediately by another independent clause without proper conjunction or punctuation."
4,11,conclusion,Ensure that learners can identify a range of ways in which opinions can be expressed as well as draw **conclusion**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The noun 'conclusion' should be plural 'conclusions' to match the general nature of the statement.
5,11,link into,"Learners should look out for conjunctions such as *weil, den n, obwohl* that will **link into** justifications and greater detail.",ErrorCategory.STYLISTIC_PREFERENCE,85,'Link to' or 'link with' are more idiomatic and precise in this context than 'link into'.
6,12,", i.e.","They need to develop a structure d approach of fine -reading skills to translate details correctly incl. vocabulary, correct tenses, adverbs and complex structures **, i.e.** *um…zu* .",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"There should not be a space before the comma in 'structures, i.e.'."
7,12,word -for word,"Translation is about conveying meaning, not just translating **word -for word**.",ErrorCategory.SPELLING_ERROR,95,The compound adverb should be hyphenated as 'word-for-word' in British English.
8,12,are,"Learners could be given ""part translations"" with parts of the text in German and parts **are** in English (gap -fill).",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The verb 'are' is redundant here; the phrase should be 'parts in English' or 'parts that are in English'.
9,12,subject -verb object,"Learners break down complex German sentences into **subject -verb object** (highlight in different colours) and translate, focusing on the placement of verbs and other structural elements.",ErrorCategory.SPELLING_ERROR,95,The compound noun phrase should be hyphenated as 'subject-verb-object'.
10,12,Faulty – translations',**Faulty – translations'**: Provide learners with a German text alongside an English translation (e.g. a paragraph from a book or an article).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,This appears to be a heading or title; the dash is extraneous and the apostrophe is incorrectly placed for a plural noun or a title. It should likely be 'Faulty translations'.
11,12,clause,"Start with a basic sentence, add adjectives, adverbs, **relative clause**, conjunctions etc. to break up complex sentence structures:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The noun 'clause' should be plural 'clauses' to match the other plural nouns in the list (adjectives, adverbs, conjunctions)."
