issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Role play cards,| Allocation of **Role play cards**: | 9 |,ErrorCategory.STYLISTIC_PREFERENCE,80,"When 'role play' functions as a compound adjective modifying 'cards', it is typically hyphenated in British English (e.g., 'role-play cards')."
1,5,one-side,Candidates can make notes on **one-side** of A4 paper for the read aloud and role play during the preparation time (the notes will not be marked as part of the assessment).,ErrorCategory.SPELLING_ERROR,95,"The phrase 'one side' should be written as two separate words, not hyphenated, when referring to a single face of a piece of paper."
2,5,"role play, they","The teacher will start the **role play, they** are not required to read out the scenario to the candidate and **must not** rephrase the prompts.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This sentence contains a comma splice, joining two independent clauses ('The teacher will start the role play' and 'they are not required...') with only a comma."
3,7,complete and continuous,"Candidates may refer to prepared bullet points to support them with the delivery of their presentation [max. 30 words], **complete and continuous** sentences are not permitted.",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'continuous sentences' is not standard terminology; 'complete sentences' is sufficient and clearer in this context.
4,7,",","Candidates may refer to prepared bullet points [max 30 words]**,** to support them with the delivery of their presentation.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is incorrectly placed after the parenthetical phrase '[max 30 words]'.
5,8,1 minute. The discussion should last between 2-3 minutes. Total time for presentation and discussion: 3-4 minutes. Total marks for presentation and discussion: 24 marks (AO1 – 16 marks) (AO3 – 8 marks),The presentation should last **no longer than 1 minute. The discussion should last between 2-3 minutes. Total time for presentation and discussion: 3-4 minutes. Total marks for presentation and discussion: 24 marks (AO1 – 16 marks) (AO3 – 8 marks)**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Multiple independent clauses and fragments are incorrectly joined, creating a run-on sentence and unclear separation of information."
6,9,one-side,Candidates can make notes on **one-side** of A4 paper on the theme of the conversation during the preparation time (the notes will not be marked as part of the assessment).,ErrorCategory.SPELLING_ERROR,95,"'One side' should be two words, not hyphenated, as it is not functioning as a compound adjective before a noun."
7,9,2-4 minutes Total marks,**Total time for conversation: 2-4 minutes Total marks: 25 marks**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Two distinct statements are joined without proper punctuation; a full stop or semicolon is needed after '2-4 minutes'.
8,9,rephrasing. In order,"The teacher should use their judgement as to when to move on if a candidate does not understand or respond to a question even after **rephrasing. In order** to sustain conversation and avoid long silences, it is better to move to a different question to encourage the candidate to keep talking.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence where two independent clauses are incorrectly joined by a full stop without proper capitalisation of the second clause.
9,9,Teachers,When asking questions **Teachers** should use the different areas of the broad theme as well as the candidate's interests and experiences to continue the conversation.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"'Teachers' should be lowercase as it is not a proper noun and is part of the sentence, not a heading or the start of a new sentence."
10,10,"presentation), this","The second candidate must be given the prescribed card from the next row (depending on their choice of presentation)**, this** sequence will continue for each teacher (not by the centre as a whole).",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses with only a comma. A semicolon or conjunction is required."
11,11,audio recorded,"The assessment will be carried out by teachers at the centre, **audio recorded** and marked by external examiners.",ErrorCategory.STYLISTIC_PREFERENCE,85,"As a compound adjective modifying 'assessment', 'audio-recorded' should be hyphenated for clarity."
12,11,Teacher,The **Teacher** may open the packs up to three working days in advance of the first assessment date at the centre.,ErrorCategory.CONSISTENCY_ERROR,90,"The word 'Teacher' is used generically here and should be lowercase for consistency with general English usage, unless it is a formal title consistently applied throughout the document."
13,11,conducted on,Centres must keep a record of the schedule (including dates) on which the assessments are **conducted on** the declaration form below.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The second 'on' is redundant; the assessments are conducted, and the record is on the form."
14,11,Assessment Pack and this,This form is for the centre and candidates to sign and declare that assessments have been conducted according to the requirements in the **Assessment Pack and this** must be submitted to WJEC with the audio recordings.,ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrasing is grammatically permissible but awkward; rephrasing to '..., and it must be submitted...' would improve flow."
15,11,10 minutes preparation time,"Candidates are advised to spend their **10 minutes preparation time**, practising the readaloud sub-vocally, making notes on what to say in the role play and conversation and of course, practising their presentation.",ErrorCategory.STYLISTIC_PREFERENCE,85,"When '10 minutes' modifies 'preparation time' as a compound adjective, it should be hyphenated as '10-minute preparation time'."
16,11,readaloud,"Candidates are advised to spend their 10 minutes preparation time, practising the **readaloud** sub-vocally, making notes on what to say in the role play and conversation and of course, practising their presentation.",ErrorCategory.SPELLING_ERROR,95,'Read aloud' should be two words or hyphenated as 'read-aloud' when used as a noun or adjective; 'readaloud' as a single word is not standard British English.
17,11,",","Candidates are advised to spend their 10 minutes preparation time**,** practising the readaloud sub-vocally, making notes on what to say in the role play and conversation and of course, practising their presentation.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The comma after 'preparation time' incorrectly separates the verb 'spend' from its object 'practising'.
18,11,support with,The candidate may bring prepared bullet points [maximum 30 words] to **support with** the delivery of the presentation into the assessment.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The verb 'support' typically takes a direct object or is followed by 'in' or 'for' (e.g., 'support the delivery' or 'support in the delivery'); 'support with' is unidiomatic here."
19,11,into,The candidate may bring prepared bullet points [maximum 30 words] to support with the delivery of the presentation **into** the assessment.,ErrorCategory.STYLISTIC_PREFERENCE,80,'During the assessment' or 'for the assessment' would be more appropriate and natural phrasing in this context.
20,11,one-side,"...make notes on the read aloud and role play, and the allocated theme of the conversation on **one-side** of A4 paper and refer to these during the assessment.",ErrorCategory.SPELLING_ERROR,95,'One side' should be two separate words; 'one-side' is not a standard compound word.
21,11,remove the bullet points from the candidate,The teacher must check the notes prior to the commencement of the assessment and **remove the bullet points from the candidate** if they contain complete and continuous sentences.,ErrorCategory.AMBIGUOUS_PHRASING,85,"This phrasing is ambiguous and could imply removing physical bullet points from the person. It should refer to the notes or the paper containing them (e.g., 'remove the notes from the candidate')."
22,12,1 minute and 2-3 minutes,| Presentation and discussion | **1 minute and 2-3 minutes** |,ErrorCategory.AMBIGUOUS_PHRASING,90,"The timing is unclear; it should specify if '1 minute' is for the presentation and '2-3 minutes' for the discussion, or if it's a combined total."
23,12,begins it,Once the recording **begins it** cannot be paused or stopped until the end of the assessment.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A comma is required after an introductory subordinate clause (e.g., 'Once the recording begins, it cannot be paused...')."
24,12,teacher,"In any such circumstance, the **teacher** must inform WJEC immediately via the Examinations Officer at the centre.",ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with 'Examinations Officer' (which is capitalised), and given the formal context, 'Teacher' should also be capitalised when referring to the role."
25,12,WJEC marked,This is a **WJEC marked** (external) non-examination assessment.,ErrorCategory.STYLISTIC_PREFERENCE,85,"As a compound adjective modifying 'assessment', 'WJEC-marked' should be hyphenated for clarity and standard British English usage."
26,12,assessment,The following arrangements must be followed when managing the **assessment**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A colon is required after an introductory phrase that precedes a list or explanation.
27,13,one-side,Candidates may take the pre-prepared bullet points for the presentation and the notes made on **one-side** of A4 paper during the preparation time into their assessment.,ErrorCategory.SPELLING_ERROR,95,"The phrase 'one side' should be written as two separate words, not hyphenated, when referring to a single side of paper."
28,17,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'one-word' should be hyphenated when preceding a noun in British English.
29,18,Stadtmite,Sind Sie krank? Besuchen Sie uns in der **Stadtmite** und wir können Ihnen helfen.,ErrorCategory.SPELLING_ERROR,98,The German word 'Stadtmitte' (city centre) is misspelled as 'Stadtmite'. (Duden)
30,18,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'one-word' should be hyphenated when preceding a noun in British English.
31,19,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'one-word' requires a hyphen in British English when used before a noun.
32,20,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'one-word' requires a hyphen in British English when used before a noun.
33,21,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'one-word' requires a hyphen in British English when used before a noun.
34,22,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'one-word' should be hyphenated when used before a noun.
35,23,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'one-word' should be hyphenated when used before a noun.
36,24,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'one-word' should be hyphenated when used before a noun.
37,25,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'one-word' should be hyphenated in British English when used before a noun. 'Oneword' is not a recognised single word.
38,26,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'one-word' should be hyphenated in British English when used before a noun. 'Oneword' is not a recognised single word.
39,27,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'one-word' should be hyphenated in British English when used before a noun. 'Oneword' is not a recognised single word.
40,28,Oneword,You should try to reply with a short phrase or sentence including a relevant verb. **Oneword** answers will not be enough for full marks.,ErrorCategory.SPELLING_ERROR,95,"The compound adjective 'one-word' requires a hyphen when used before a noun (e.g., 'one-word answers') in British English."
41,32,Sports,Es gibt viele **Sports** im Freizeitzentrum. Man kann Handball spielen und schwimmen gehen.,ErrorCategory.SPELLING_ERROR,95,"The English word 'Sports' is used in a German sentence; it should be 'Sportarten' (sports activities) or 'Sport' (sport as a collective noun) in German. Given 'viele', 'Sportarten' is more appropriate."
