issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,c,| Candidate Assessment Pack | **c**,ErrorCategory.FACTUAL_INACCURACY,95,"The character 'c' is not a valid page number in the context of a table of contents, indicating an error in the content or an OCR misinterpretation of a number."
1,6,semi-autobiographic,"This film is based on the **semi-autobiographic** novel of Judith Kerr and explores the themes of escape, the rise of the National Socialist Party of Germany, persecution, antisemitism and discrimination.",ErrorCategory.SPELLING_ERROR,98,The correct adjective form is 'semi-autobiographical' when referring to a novel that is partly autobiographical.
2,6,German,This film is about a Turkish family who come to **German** as guest workers in the 1960's.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The context requires the name of the country, 'Germany', not the language or nationality, 'German'."
3,7,non-examination,This is a WJEC marked (external) **non-examination** assessment.,ErrorCategory.STYLISTIC_PREFERENCE,85,Compound adjective 'non-examination' is typically hyphenated in British English for clarity.
4,7,internet,"Where tasks are produced digitally, online dictionaries, spelling and grammar checking programmes and access to **internet** must be disabled.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,'Internet' is a proper noun and should be capitalised.
5,8,declaration form,Centres must keep a record of the date on which the assessment is conducted including the name of the work studied on the Candidate and Centre **declaration form** below.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Candidate and Centre Declaration Form' is capitalised elsewhere in the document, indicating it is a specific document title and should be consistently capitalised."
6,8,outside of,Centres must have in place systems to ensure candidates cannot access evidence they have been developing **outside of** supervised activities.,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'outside of' is often considered verbose; 'outside' is sufficient and more concise.
7,9,is summarised,The acceptable formats for evidence of each of the tasks **is summarised** in the task tables.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The plural subject 'formats' requires the plural verb 'are summarised' for subject-verb agreement.
8,9,declaration form,Centres must also ensure that candidates complete a candidate **declaration form**; these are included in the candidate assessment pack.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Candidate Declaration Form' is capitalised elsewhere in the document, indicating it is a specific document title and should be consistently capitalised."
9,9,accepted,The form can be completed electronically or manually. Electronic signatures will be **accepted**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The sentence is missing a full stop at the end.
10,9,non-examination,You should refer to the JCQ Instructions for conducting **non-examination** assessment for further information on managing assessment within our GCSE Qualifications.,ErrorCategory.STYLISTIC_PREFERENCE,85,Compound adjective 'non-examination' is typically hyphenated in British English for clarity.
11,9,Qualifications,You should refer to the JCQ Instructions for conducting non-examination assessment for further information on managing assessment within our GCSE **Qualifications**.,ErrorCategory.CONSISTENCY_ERROR,88,"'Qualifications' is generally not capitalised in this general context unless it is part of a specific, formal title."
12,12,the kind of help and how much they can give you,"Your teacher is allowed to help you to understand the assessment requirements and the task, but there are rules about **the kind of help and how much they can give you**. You should speak to your teacher if you have any questions about what you are and are not allowed to do as you are completing the tasks, as they will know how much help they are allowed to give you.",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrasing 'the kind of help and how much they can give you' is slightly awkward; 'the kind and amount of help' or 'the kind of help and the extent to which they can give it' would be more concise.
13,12,how much help they are allowed to give you,"You should speak to your teacher if you have any questions about what you are and are not allowed to do as you are completing the tasks, as they will know **how much help they are allowed to give you**.",ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrase 'how much help they are allowed to give you' is repeated shortly after a similar construction, leading to slight redundancy."
