issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Approved,- [Made for Wales GCSE Qualification Approval Criteria](https://qw-website-prod-master.azurewebsites.net/media/t1lhpbwl/made-for-wales-gcse-qualification-approval-criteria.pdf) which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'Approved' should be lowercase as it functions as a descriptive adjective within the sentence, not a proper noun or the start of a new sentence."
1,3,contains,- [Standard Conditions of Recognition](https://qualifications.wales/media/p54jkkfe/standard-conditions-of-recognition.pdf) which **contains** the rules that all awarding bodies and their qualifications must meet when offering qualifications to learners in Wales.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'Standard Conditions of Recognition' is plural, requiring the verb 'contain' for correct subject-verb agreement."
2,3,subject specific,"- Approval Criteria for GCSE [Health and Social Care, and Childcare](https://qualifications.wales/media/1tfaaqpt/gcse-health-and-social-care-and-childcare-approval-criteria.pdf) which sets out the **subject specific** requirements for GCSE Health and Social Care, and Childcare from September 2026 and beyond.",ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'subject-specific' should be hyphenated when preceding a noun in British English for clarity and consistency.
3,7,wellbeing,"- understand the principles of human development, health and **wellbeing**
- explore how the health and social care, and childcare sectors support and promote the development, health and **wellbeing** of individuals",ErrorCategory.CONSISTENCY_ERROR,95,The term 'wellbeing' is used inconsistently; official Hwb links within the document use 'well-being'.
4,7,subject specific,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/principles-of-progression/) along with the [statements of what matters](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/statements-of-what-matters/) and those [**subject specific** skills and concepts](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/designing-your-curriculum/#specific-considerations-for-this-area) outlined in the '[Designing your Curriculum](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/designing-your-curriculum/)' section of the Health and wellbeing Area of Learning and Experiences.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Compound adjective 'subject specific' should be hyphenated as 'subject-specific' when preceding a noun.
5,7,wellbeing,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/principles-of-progression/) along with the [statements of what matters](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/statements-of-what-matters/) and those [subject specific skills and concepts](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/designing-your-curriculum/#specific-considerations-for-this-area) outlined in the '[Designing your Curriculum](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/designing-your-curriculum/)' section of the Health and **wellbeing** Area of Learning and Experiences.",ErrorCategory.CONSISTENCY_ERROR,95,The term 'wellbeing' is used inconsistently; the official Hwb title 'Health and Well-being Area of Learning and Experiences' uses 'well-being'.
6,8,",","- supporting the statements of what matters[1](#page-7-0) **,** by giving learners the opportunity to:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not separate the footnote reference from the conjunction 'by'.
7,8,statements of what matters,"- supporting the **statements of what matters**[1](#page-7-0) , by giving learners the opportunity to:",ErrorCategory.CONSISTENCY_ERROR,95,"As an official title within the Curriculum for Wales, 'Statements of What Matters' should be consistently capitalised, as per Hwb guidance."
8,8,wellbeing,"understand the factors that affect physical health and **wellbeing** throughout the lifespan including health-promoting behaviours, for example, physical activity, including an understanding of health-harming behaviours",ErrorCategory.CONSISTENCY_ERROR,95,The term 'wellbeing' is used inconsistently; official Hwb links within the document use 'well-being'.
9,8,wellbeing,"help learners explore the connections between their experiences, mental health and emotional **wellbeing**",ErrorCategory.CONSISTENCY_ERROR,95,The term 'wellbeing' is used inconsistently; official Hwb links within the document use 'well-being'.
10,8,wellbeing,"create a culture where talking about mental health and emotional **wellbeing** is normalised in health and social care, and childcare",ErrorCategory.CONSISTENCY_ERROR,95,The term 'wellbeing' is used inconsistently; official Hwb links within the document use 'well-being'.
11,8,principles of progression,- supporting the **principles of progression**[2](#page-7-1) by encouraging learners to:,ErrorCategory.CONSISTENCY_ERROR,95,"As an official title within the Curriculum for Wales, 'Principles of Progression' should be consistently capitalised, as per Hwb guidance."
12,8,",",- supporting the principles of progression[2](#page-7-1) **by** encouraging learners to:,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not separate the footnote reference from the conjunction 'by'.
13,8,wellbeing,"develop their independence and agency in matters relating to health and **wellbeing**, resulting in a growing responsibility for their own health and **wellbeing**",ErrorCategory.CONSISTENCY_ERROR,95,The term 'wellbeing' is used inconsistently; official Hwb links within the document use 'well-being'.
14,8,wellbeing,develop conceptual knowledge and critical understanding in a range of aspects of health and **wellbeing** and personal behaviour,ErrorCategory.CONSISTENCY_ERROR,95,The term 'wellbeing' is used inconsistently; official Hwb links within the document use 'well-being'.
15,8,wellbeing,"develop connections between aspects of health and **wellbeing** and a wide range of topics and issues in health and social care, and childcare contexts",ErrorCategory.CONSISTENCY_ERROR,95,The term 'wellbeing' is used inconsistently; official Hwb links within the document use 'well-being'.
16,8,2,<sup>©</sup> WJEC CBAC Ltd 2025. **2** <https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/principles-of-progression>,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The number '2' appears to be a misplaced footnote reference that should be superscripted (<sup>2</sup>) for consistency with other footnotes.
17,9,subject specific,"- supporting the **subject specific** considerations for GCSE Health and Social Care, and Childcare[3](#page-8-2) by giving learners the opportunity to:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Compound adjective 'subject specific' should be hyphenated as 'subject-specific' when preceding a noun.
18,9,",","- supporting the subject specific considerations for GCSE Health and Social Care, and Childcare[3](#page-8-2) **,** by giving learners the opportunity to:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not separate the footnote reference from the conjunction 'by'.
19,9,and / or,"develop literacy skills, being able to organise writing and adapt language confidently, enabling learners to apply for learning pathways and a preferred career, possibly in health and social care **and / or** childcare",ErrorCategory.STYLISTIC_PREFERENCE,80,"The use of 'and / or' is often considered clunky in formal writing; 'and/or' or rephrasing (e.g., 'and/or childcare') is preferred."
