issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,7,best,"...ered to him.  And said, 'Methink ye are **best** worthy  To wear the crown and be our Ki...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,This is an archaic or poetic phrasing from a historical text and is grammatically acceptable within that context.
1,12,day light,"...Ridley, and play the man. We shall this **day light** such a candle in England, by God's grac...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"This is an archaic usage of 'this day' as a temporal adverbial phrase, common in 16th-century English."
2,13,for ever,"...n of Wales shall be, stand and continue **for ever** from henceforth incorporated, united an...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'For ever' (two words) is an acceptable and historically accurate spelling in British English, especially in formal and legal texts."
3,14,',...tem 19  **Item 19** An article entitled **'**Welsh had more legal status after Acts o...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The `&#x27;` is an HTML entity for a single quote, indicating a parsing error from PDF to markdown."
4,14,',"...2022). Nation Cymru describes itself as **'**a news service by the people of Wales, f...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The `&#x27;` is an HTML entity for a single quote, indicating a parsing error from PDF to markdown."
5,14,A large number of,...any of the wills were written in Welsh. **A large number of** the wills were dictated orally by famil...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'A large number of' is a grammatically correct and stylistically acceptable phrase.
6,14,death bed,"...ghbours who were with the sick on their **death bed**, and many were unable to speak English....",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Deathbed' should be spelled as one word as it functions as a compound noun.
7,14,recognise,...said the reality was they would have to **recognise** these Welsh language documents as legal...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Recognise' is the correct British English spelling.
8,14,Withvay,"... upon a mountain in north Wales called ""**Withvay**"" [Wyddfa], otherwise called ""Snoyden [S...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'Withvay' is presented as a historical spelling of a proper noun, with the modern spelling provided in brackets."
9,15,sturdie,"...or punishment of Rogues, Vagabonds, and **sturdie** Beggers* (1597)  And bee it enacted by ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Sturdie' is an archaic spelling from the title of a historical document and should be preserved as a direct quote.
10,15,Beggers,"...hment of Rogues, Vagabonds, and sturdie **Beggers*** (1597)  And bee it enacted by the auth...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The spelling 'Beggers' is an archaic but correct form within the historical document being quoted.
11,15,begger,"...red to bee a Rogue, Vagabond, or sturdy **begger**, which shall bee at any time after the ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The spelling 'begger' is an archaic but correct form within the historical document being quoted.
12,15,comming,"...ime after the said feast of Easter next **comming**, taken begging, vagrant, wandering or m...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The spelling 'comming' is an archaic but correct form within the historical document being quoted.
13,15,misordering,"...g, taken begging, vagrant, wandering or **misordering** themselues in any part of this Realme, ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The word 'misordering' is a valid English word, and its use here is appropriate within the historical context."
14,15,vpon,"...Realme, or the Dominion of Wales, shall **vpon** their apprehension bee stripped naked f...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The spelling 'vpon' is an archaic but correct form within the historical document being quoted.
15,15,vpwards,"...sion bee stripped naked from the middle **vpwards**, and shall be openly whipped vntill his...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The spelling 'vpwards' is an archaic but correct form within the historical document being quoted.
16,15,vntill,"...le vpwards, and shall be openly whipped **vntill** his or her body be bloudy: and shall be...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The spelling 'vntill' is an archaic but correct form within the historical document being quoted.
17,16,Odeboyz,...e First National Welfare System' on the **Odeboyz** blog (2019). The blog is a  collection ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'Odeboyz' is a proper noun, the name of a blog, and therefore correctly spelled as written."
18,16,.,...e been a religious duty now was a choice**.** Sixty years of undirected assistance sh...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The period is correctly used to end a sentence, separating it from the subsequent sentence."
19,16,anymore,"...r and the poor weren't *God's Children* **anymore**.  By basing poor relief in the parish, ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Anymore' is a correct and commonly used single word in British English, especially in negative constructions."
20,17,',...husband Guildford Dudley in the article **'**Lady Jane Grey: The 'Nine Day Queen' on ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The flagged character is an HTML entity for a single quote, indicating a parsing error from the original document."
21,19,',"...British History, writing in the article **'**Yes, there were black Tudors – and they ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The flagged character is an HTML entity for a single quote, indicating a parsing error from the original document."
22,20,a small number of,...es. Elizabethan London was also home to **a small number of** Jewish converts to Christianity. In spi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'a small number of' is grammatically correct and stylistically appropriate in this context.
23,21,so,... waking hours involved work of some sort** so** time for sport was a rarity. In the ear...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"A comma before 'so' would improve clarity when connecting two independent clauses, but its omission does not create ambiguity here."
24,21,lastditch,...-week festival that was pretty much his **lastditch** effort to impress her. Her time was com...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"'Last-ditch' is a compound adjective that requires a hyphen for correct spelling, as confirmed by the OED."
25,21,apartments,"..., and Elizabeth stayed in the new state **apartments** that Leicester built.  Even though Dudl...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'apartments' is used correctly in this context to refer to a suite of rooms.
26,22,many walk,...hristian exercises. In time of sickness **many walk** abroad and amuse themselves by hearing ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The phrase 'many walk abroad' is grammatically correct, with 'many' functioning as a pronoun."
27,23,',"... | | 6.      | From a website entitled, **'**The Wars of The<br>Roses'https://thewars...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The flagged character is an HTML entity for a single quote, indicating a parsing error from the original document."
28,23,sturdie,"...for punishment of rogues, vagabonds and **sturdie** beggers<br>[Accessed: 10.11.2024]      ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Sturdie' is an archaic spelling preserved as part of a direct quote from a historical document title.
29,23,beggers,"...shment of rogues, vagabonds and sturdie **beggers**<br>[Accessed: 10.11.2024]              ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Beggers' is an archaic spelling preserved as part of a direct quote from a historical document title.
30,22,britains-longest-siege,...o.uk/surrender-of-harlech-castle-end-of **britains-longest-siege**/ [Accessed 28.10.24] | | 7. | From http...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in 'britains-longest-siege' should be 'britain's-longest-siege'.
31,22,shakespeare,...-his-world/reputation/crimes-alleged-by **shakespeare**/#:~:text=Despite%20the%20widespread%20b...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,Missing hyphen in 'shakespeare' should be 'Shakespeare' with capitalization.
