issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,whou,... were not able to vote and the only men **whou** could were those who owned their own ho...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The word 'whou' is a misspelling of the pronoun 'who'.
1,4,politicl,"...ngaged in direct action; they disrupted **politicl** meetings, chained themselves to railing...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The word 'politicl' is a misspelling of the adjective 'political'.
2,4,license,...'s door and leave them at liberty under **license** until they have recovered their health ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"In British English, the noun form is 'licence', not 'license'."
3,6,organization,"...e German colonies, and an international **organization** to prevent war.  In an off-the-cuff spe...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,95,"The British English spelling for the noun is 'organisation', not 'organization'."
4,6,shole,"... that Germany should be made to pay the **shole** cost of the war. Sir Eric Geddes, one o...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The word 'shole' is a misspelling of the adjective 'whole'.
5,7,were,...ce which shall endure would be hastened **were** it possible for America to take her pla...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The use of 'were' in 'were it possible' is a grammatically correct and formal subjunctive construction.
6,10,worstaffected,... (22.1% of the working population). The **worstaffected** areas were the old industrial centres o...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"This is a hyphenation issue for a compound adjective, which should be treated as a parsing artifact according to instructions."
7,10,dependants,... heads of families. An unemployed man's **dependants** do not figure on the list unless they t...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Dependants' is the correct British English spelling for the plural noun referring to people.
8,12,British empire,"...nd after the [First World] War, and the **British empire** was based on crude racial assumptions. ...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,'British Empire' is a proper noun and requires capitalization.
9,14,dancehall,"...to spend. If white Americans favoured a **dancehall** or pub, then black men found themselves...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Dancehall' is a valid single compound word in British English.
10,14,1950's,"...o sound on this footage.**  [Tiger Bay, **1950's** -](https://www.youtube.com/watch?v=XrQ4...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,An apostrophe should not be used to form the plural of a decade; '1950s' is the correct form.
11,15,uppermiddle-class,"... him and said: ""This is going to be the **uppermiddle-class** English version of our Tennessee Monkey...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Hyphenation issues are to be treated as parsing errors and should not be reported as per instructions.
12,16,the girls around her,"...ting the mini. For that, she pointed to **the girls around her**, the teen customers who'd begun mobbing...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is grammatically required to set off the non-restrictive appositive phrase 'the teen customers who'd begun mobbing her boutique Bazaar'.
13,17,mo,...*Theme** Religion  # Tonic  Religion  A **mo**  **Topic** A movement in decline?  Item...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'A mo' is an incomplete word fragment resulting from a PDF-to-text conversion error, likely intended to be 'A movement'."
14,17,fifteenyear-old,"... attended the pilgrimage to commemorate **fifteenyear-old** Mary Jones, who in 1800, after saving m...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Hyphenation issues are to be treated as parsing errors and should not be reported as per instructions.
15,18,Catholic church,...hows the pattern for Anglican and Roman **Catholic church** attendance in the UK across the twentie...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,'Church' should be capitalized when referring to the Roman Catholic Church as a proper noun institution.
16,19,gonna,"...g contract, but not in a way that we're **gonna** compromise anything that we do. Which i...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Gonna' is part of a direct quote and should be preserved to maintain the authenticity of the speaker's informal language.
17,20,',"...usic journalist, writing in the article **'**About Punk Music in  Wales' as part of t...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"`&#x27;` is an HTML entity for an apostrophe/single quote, indicating a parsing error from PDF-to-text conversion."
18,20,',.../pages/about_punk.shtml) part one (from **'**The 'birth' of punk…' to 'They tried to ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"`&#x27;` is an HTML entity for an apostrophe/single quote, indicating a parsing error from PDF-to-text conversion."
19,20,',...ml) part one (from 'The 'birth' of punk…**'** to 'They tried to play it live on the d...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"`&#x27;` is an HTML entity for an apostrophe/single quote, indicating a parsing error from PDF-to-text conversion."
20,20,"""","...day in Llandaff fields but were arrested**""**.')  **Theme** Culture  **Topic** Punk –...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The highlighted character is a legitimate closing quotation mark within the quoted text, and the tool has incorrectly flagged it as an error."
21,20,un-punk,"...e cultural fabric. Nostalgia, that most **un-punk** of notions, hangs heavy over festivals ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The term 'un-punk' is a valid and stylistically appropriate neologism used to describe something contrary to the punk ethos in this specific cultural context.
22,21,1950's,"...                   | | 23. | Tiger Bay, **1950's** - Film 96861 - YouTube                 ...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,An apostrophe should not be used to form the plural of a decade; '1950s' is the correct form according to British English style guides.
