issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,made-for-wales-gcses,...form/reforming/qualified-for-the-future/**made-for-wales-gcses**/#approval-criteria\)](https://qualifica...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The term 'made-for-wales-gcses' is correctly formatted as part of a URL path.
1,3,CymraegGCSE,...---| | Level 2 Award in Additional Core **CymraegGCSE** Art and DesignGCSE BusinessGCSE Compute...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'Cymraeg' and 'GCSE' have been merged due to a PDF parsing error, requiring a space for correct readability."
2,3,DesignGCSE,... in Additional Core CymraegGCSE Art and **DesignGCSE** BusinessGCSE Computer ScienceGCSE Core ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'Design' and 'GCSE' have been merged due to a PDF parsing error, requiring a space for correct readability."
3,3,BusinessGCSE,...nal Core CymraegGCSE Art and DesignGCSE **BusinessGCSE** Computer ScienceGCSE Core CymraegGCSE D...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'Business' and 'GCSE' have been merged due to a PDF parsing error, requiring a space for correct readability."
4,3,ScienceGCSE,"...rt and DesignGCSE BusinessGCSE Computer **ScienceGCSE** Core CymraegGCSE DramaGCSE French, Germ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'Science' and 'GCSE' have been merged due to a PDF parsing error, requiring a space for correct readability."
5,3,CymraegGCSE,"... BusinessGCSE Computer ScienceGCSE Core **CymraegGCSE** DramaGCSE French, German and SpanishGCS...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'Cymraeg' and 'GCSE' have been merged due to a PDF parsing error, requiring a space for correct readability."
6,3,DramaGCSE,"...E Computer ScienceGCSE Core CymraegGCSE **DramaGCSE** French, German and SpanishGCSE Geograph...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'Drama' and 'GCSE' have been merged due to a PDF parsing error, requiring a space for correct readability."
7,3,SpanishGCSE,"...ymraegGCSE DramaGCSE French, German and **SpanishGCSE** Geography | GCSE Cymraeg Language and L...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'Spanish' and 'GCSE' have been merged due to a PDF parsing error, requiring a space for correct readability."
8,3,NutritionGCSE,...rature (Single and Double)GCSE Food and **NutritionGCSE** HistoryGCSE Mathematics and NumeracyGCS...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'Nutrition' and 'GCSE' have been merged due to a PDF parsing error, requiring a space for correct readability."
9,3,HistoryGCSE,... and Double)GCSE Food and NutritionGCSE **HistoryGCSE** Mathematics and NumeracyGCSE MusicGCSE ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'History' and 'GCSE' have been merged due to a PDF parsing error, requiring a space for correct readability."
10,3,NumeracyGCSE,...tritionGCSE HistoryGCSE Mathematics and **NumeracyGCSE** MusicGCSE Religious StudiesGCSE The Sci...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'NumeracyGCSE' is a parsing error where 'Numeracy' and 'GCSE' should be separated by a space.
11,3,MusicGCSE,...istoryGCSE Mathematics and NumeracyGCSE **MusicGCSE** Religious StudiesGCSE The Sciences (Dou...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'MusicGCSE' is a parsing error where 'Music' and 'GCSE' should be separated by a space.
12,3,StudiesGCSE,...cs and NumeracyGCSE MusicGCSE Religious **StudiesGCSE** The Sciences (Double) |  The consultati...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'StudiesGCSE' is a parsing error where 'Studies' and 'GCSE' should be separated by a space.
13,6,and,...greater detail with Qualifications Wales** and** we will also be discussing the issue wi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The conjunction 'and' correctly joins two independent clauses; a comma is optional and its omission does not create an error.
14,7,all of the,...ications will provide stakeholders with **all of the** information they require in due course....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'All of the' is a grammatically correct and common phrasing in British English.
15,10,and,...hat the content is teachable in the time** and** we will strengthen our focus on reviewi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The conjunction 'and' correctly joins two independent clauses; a comma is optional and its omission does not create an error.
16,11,and,... balance of physical and human geography** and** we have updated the possible areas to b...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The conjunction 'and' correctly joins two independent clauses; a comma is optional and its omission does not create an error.
17,11,that that,...ts generally agreed or partially agreed **that that** the proposed assessment approach is app...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The repetition of 'that' is a clear grammatical error.
18,13,and,...sed concern that the weighting was heavy** and** it would impact on teacher workload. We...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The conjunction 'and' correctly joins two independent clauses; a comma is optional and its omission does not create an error.
19,14,whether or not,...dual learners or groups of learners and **whether or not** the teacher performs the control elemen...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Whether or not' is a grammatically correct and commonly used idiom in English.
