issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,5,they've developed,This would allow learners to implement their understanding of historical concepts and the analysis and evaluation skills **they've developed** throughout Units 1 and 3.,ErrorCategory.STYLISTIC_PREFERENCE,85,Contractions like 'they've' are generally avoided in formal academic writing; 'they have developed' is preferred for a more professional tone.
1,7,Glyndwr,- 1.2 Owain **Glyndwr** c.1354–1416,ErrorCategory.FACTUAL_INACCURACY,95,"The correct Welsh spelling, consistently used by WJEC in its official documents, is 'Glyndŵr' with a circumflex."
2,10,said documents,This guide builds upon the information in the specification and assessment pack to help further your understanding of **said documents**.,ErrorCategory.STYLISTIC_PREFERENCE,85,The use of 'said' as an adjective is overly formal and legalistic; 'these documents' or 'the aforementioned documents' would be more appropriate for an educational guide.
3,10,Guidance for Teaching documents,Teachers should refer to **Guidance for<br>Teaching documents** for further guidance on the depth and<br>breadth to which this content should be taught.,ErrorCategory.CONSISTENCY_ERROR,80,"If 'Guidance for Teaching documents' refers to a specific document title, it should be consistently capitalised. If it is a generic description, it should be lowercase."
4,12,Present key points.,| Discuss | **Present key points.** |,ErrorCategory.AMBIGUOUS_PHRASING,90,"The definition 'Present key points' for 'Discuss' is too simplistic and potentially misleading, especially when a more comprehensive definition is provided later in the document for the same command word, creating inconsistency and ambiguity."
5,12,components identify,| Analyse | Separate information into **components identify** their characteristics. |,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A conjunction 'and' is missing between 'components' and 'identify' to correctly link the two verbs in the definition.
6,12,intention making,| Review | To consider something with the **intention making** changes if<br>necessary. |,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The preposition 'of' is missing between 'intention' and 'making'.
7,13,will then be the term used,"Items | Items **will then be the term used** in assessments to label specific pieces of content, covering both contemporary sources and historical interpretations.",ErrorCategory.STYLISTIC_PREFERENCE,85,"In a definitional context, 'Items are the term used' or 'Items refers to the term used' would be more direct and appropriate than 'will then be the term used', which implies a future or conditional application."
8,14,Objective based,#### **Objective based mark scheme:**,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'Objective-based' should be hyphenated when preceding the noun 'mark scheme' in British English.
9,14,Levels based,#### **Levels based mark schemes:**,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'Levels-based' should be hyphenated when preceding the noun 'mark schemes' in British English.
